NetworkId, hNodes, Accuracy, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, Total
0, 2, 0.00478788, 200, 200, 100, 200, 100, 600, 100, 100, 200, 100, 1900
1, 2, 0.00491698, 200, 200, 100, 200, 100, 100, 200, 100, 5000, 100, 6300
2, 2, 0.00480286, 200, 200, 100, 200, 100, 600, 100, 100, 200, 100, 1900
3, 2, 0.00471985, 200, 1300, 100, 200, 100, 200, 100, 100, 200, 100, 2600
4, 2, 0.00457304, 200, 200, 100, 200, 100, 100, 700, 100, 1500, 100, 3300
5, 2, 0.00473267, 200, 1500, 100, 200, 100, 200, 100, 100, 200, 100, 2800
6, 2, 0.00471813, 200, 200, 100, 200, 100, 5000, 100, 100, 200, 100, 6300
7, 2, 0.00466815, 200, 200, 100, 200, 100, 100, 900, 100, 5000, 100, 7000
8, 2, 0.00465465, 200, 200, 100, 200, 100, 100, 1500, 100, 2100, 100, 4700
9, 2, 0.00479412, 200, 200, 100, 200, 100, 600, 100, 100, 200, 100, 1900
10, 2, 0.00476334, 200, 1700, 100, 200, 100, 200, 100, 100, 200, 100, 3000
11, 2, 0.00472967, 200, 1600, 100, 200, 100, 200, 100, 100, 200, 100, 2900
12, 2, 0.00515294, 200, 200, 100, 200, 100, 100, 200, 100, 5000, 100, 6300
13, 2, 0.00475399, 200, 1500, 100, 200, 100, 200, 100, 100, 200, 100, 2800
14, 2, 0.00470912, 200, 1200, 100, 200, 100, 200, 100, 100, 200, 100, 2500
15, 2, 0.00463271, 200, 200, 100, 200, 100, 100, 1900, 100, 200, 100, 3200
16, 2, 0.00471408, 200, 1200, 100, 200, 100, 200, 100, 100, 200, 100, 2500
17, 2, 0.00622645, 200, 200, 100, 200, 100, 100, 200, 100, 5000, 100, 6300
18, 2, 0.00460058, 200, 200, 100, 200, 100, 100, 200, 100, 5000, 100, 6300
19, 2, 0.00456574, 200, 200, 100, 200, 100, 600, 100, 100, 5000, 100, 6700
20, 3, 0.00381043, 200, 200, 100, 5000, 100, 200, 100, 100, 200, 100, 6300
21, 3, 0.00459905, 200, 1200, 100, 200, 100, 200, 100, 100, 200, 100, 2500
22, 3, 0.00480725, 200, 1500, 100, 200, 100, 200, 100, 100, 200, 100, 2800
23, 3, 0.00458673, 200, 200, 100, 200, 100, 500, 500, 100, 5000, 100, 7000
24, 3, 0.00306608, 200, 200, 100, 200, 100, 100, 5000, 100, 200, 100, 6300
25, 3, 0.00472903, 200, 1200, 100, 200, 100, 200, 100, 100, 200, 100, 2500
26, 3, 0.0047619, 200, 1700, 100, 200, 100, 200, 100, 100, 200, 100, 3000
27, 3, 0.00466629, 200, 1700, 100, 200, 100, 200, 100, 100, 200, 100, 3000
28, 3, 0.00460033, 200, 200, 100, 200, 100, 5000, 100, 100, 200, 100, 6300
29, 3, 0.00468727, 200, 1600, 100, 200, 100, 200, 100, 100, 200, 100, 2900
