pass,msqer
1, 0.00521482
2, 0.00306473
3, 0.00305526
4, 0.00305526
5, 0.00305526
6, 0.00305526
7, 0.00305526
8, 0.00305526
9, 0.00305526
10, 0.00305526
11, 0.00305526
12, 0.00305526
13, 0.00305526
14, 0.00305526
15, 0.00305526
16, 0.00305526
17, 0.00305526
18, 0.00305526
19, 0.00305526
20, 0.00305526
21, 0.00305526
22, 0.00305526
23, 0.00305526
24, 0.00305526
25, 0.00305526
26, 0.00305526
27, 0.00305526
28, 0.00305526
29, 0.00305526
30, 0.00305526
31, 0.00305526
32, 0.00305526
33, 0.00305526
34, 0.00305526
35, 0.00305526
36, 0.00305526
37, 0.00305526
38, 0.00305526
39, 0.00305526
40, 0.00305526
41, 0.00305526
42, 0.00305526
43, 0.00305526
44, 0.00305526
45, 0.00305526
46, 0.00305526
47, 0.00305526
48, 0.00305526
49, 0.00305526
50, 0.00305526
51, 0.00305526
52, 0.00305526
53, 0.00305526
54, 0.00305526
55, 0.00305526
56, 0.00305526
57, 0.00305526
58, 0.00305526
59, 0.00305526
60, 0.00305526
61, 0.00305526
62, 0.00305526
63, 0.00305526
64, 0.00305526
65, 0.00305526
66, 0.00305526
67, 0.00305526
68, 0.00305526
69, 0.00305526
70, 0.00305526
71, 0.00305526
72, 0.00305526
73, 0.00305526
74, 0.00305526
75, 0.00305526
76, 0.00305526
77, 0.00305526
78, 0.00305526
79, 0.00305526
80, 0.00305526
81, 0.00305526
82, 0.00305526
83, 0.00305526
84, 0.00305526
85, 0.00305526
86, 0.00305526
87, 0.00305526
88, 0.00305526
89, 0.00305526
90, 0.00305526
91, 0.00305526
92, 0.00305526
93, 0.00305526
94, 0.00305526
95, 0.00305526
96, 0.00305526
97, 0.00305526
98, 0.00305526
99, 0.00305526
100, 0.00305526
101, 0.00305526
102, 0.00305526
103, 0.00305526
104, 0.00305526
105, 0.00305526
106, 0.00305526
107, 0.00305526
108, 0.00305526
109, 0.00305526
110, 0.00305526
111, 0.00305526
112, 0.00305526
113, 0.00305526
114, 0.00305526
115, 0.00305526
116, 0.00305526
117, 0.00305526
118, 0.00305526
119, 0.00305526
120, 0.00305526
121, 0.00305526
122, 0.00305526
123, 0.00305526
124, 0.00305526
125, 0.00305526
126, 0.00305526
127, 0.00305526
128, 0.00305526
129, 0.00305526
130, 0.00305526
131, 0.00305526
132, 0.00305526
133, 0.00305526
134, 0.00305526
135, 0.00305526
136, 0.00305526
137, 0.00305526
138, 0.00305526
139, 0.00305526
140, 0.00305526
141, 0.00305526
142, 0.00305526
143, 0.00305526
144, 0.00305526
145, 0.00305526
146, 0.00305526
147, 0.00305526
148, 0.00305526
149, 0.00305526
150, 0.00305526
151, 0.00305526
152, 0.00305526
153, 0.00305526
154, 0.00305526
155, 0.00305526
156, 0.00305526
157, 0.00305526
158, 0.00305526
159, 0.00305526
160, 0.00305526
161, 0.00305526
162, 0.00305526
163, 0.00305526
164, 0.00305526
165, 0.00305526
166, 0.00305526
167, 0.00305526
168, 0.00305526
169, 0.00305526
170, 0.00305526
171, 0.00305526
172, 0.00305526
173, 0.00305526
174, 0.00305526
175, 0.00305526
176, 0.00305526
177, 0.00305526
178, 0.00305526
179, 0.00305526
180, 0.00305526
181, 0.00305526
182, 0.00305526
183, 0.00305526
184, 0.00305526
185, 0.00305526
186, 0.00305526
187, 0.00305526
188, 0.00305526
189, 0.00305526
190, 0.00305526
191, 0.00305526
192, 0.00305526
193, 0.00305526
194, 0.00305526
195, 0.00305526
196, 0.00305526
197, 0.00305526
198, 0.00305526
199, 0.00305526
200, 0.00305526
