epoch, rmse, rmse-dn, rsqr, mrse
1000, 0.0455238, 56.4905, 0.70703, 0.0478928
2000, 0.0386199, 47.9235, 0.732461, 0.0413587
3000, 0.0371307, 46.0755, 0.759826, 0.0433007
4000, 0.0363731, 45.1354, 0.771827, 0.0481193
5000, 0.0357146, 44.3182, 0.78367, 0.0500209
6000, 0.0350001, 43.4316, 0.795874, 0.04922
7000, 0.0342156, 42.4581, 0.807623, 0.047481
8000, 0.0334837, 41.5499, 0.817443, 0.0449628
9000, 0.0328842, 40.8059, 0.825292, 0.0404106
10000, 0.032372, 40.1704, 0.831915, 0.0346707
11000, 0.0318583, 39.5329, 0.837458, 0.0296004
12000, 0.0311725, 38.682, 0.840741, 0.0259817
13000, 0.0303483, 37.6593, 0.841991, 0.0236774
14000, 0.029748, 36.9143, 0.844811, 0.0226858
15000, 0.0293815, 36.4595, 0.847213, 0.0224879
16000, 0.029167, 36.1933, 0.849094, 0.0225839
17000, 0.029003, 35.9898, 0.851372, 0.0228218
18000, 0.0287564, 35.6839, 0.855082, 0.0231289
19000, 0.0283311, 35.1561, 0.861336, 0.023222
20000, 0.0279556, 34.6901, 0.866877, 0.023073
21000, 0.0276416, 34.3005, 0.870219, 0.0230486
22000, 0.0273501, 33.9388, 0.872146, 0.022969
23000, 0.0270808, 33.6045, 0.873501, 0.0227312
24000, 0.0268136, 33.273, 0.875066, 0.0222643
25000, 0.0265563, 32.9537, 0.87755, 0.0215347
26000, 0.026312, 32.6506, 0.880872, 0.0207213
27000, 0.0260614, 32.3396, 0.883828, 0.0200667
28000, 0.0258332, 32.0565, 0.885315, 0.0196807
29000, 0.0256304, 31.8048, 0.885064, 0.01953
30000, 0.0254731, 31.6096, 0.884193, 0.0194113
31000, 0.025363, 31.473, 0.883599, 0.0192654
32000, 0.0252879, 31.3797, 0.883161, 0.019142
33000, 0.0252393, 31.3195, 0.882987, 0.0190265
35000, 0.0244436, 30.332, 0.886206, 0.0185806
36000, 0.0243351, 30.1974, 0.885775, 0.0185817
37000, 0.0242798, 30.1288, 0.885218, 0.0186419
38000, 0.0242561, 30.0994, 0.884498, 0.0187286
39000, 0.0242555, 30.0987, 0.883751, 0.0188136
41000, 0.0238702, 29.6205, 0.884573, 0.0186369
42000, 0.0238511, 29.5968, 0.883804, 0.0187198
43000, 0.0238495, 29.5949, 0.88302, 0.0188083
45000, 0.023572, 29.2505, 0.884486, 0.0185707
46000, 0.0235523, 29.2261, 0.883897, 0.0186447
47000, 0.0235463, 29.2186, 0.883376, 0.0187262
49000, 0.0233466, 28.9708, 0.885528, 0.0183581
50000, 0.0233252, 28.9442, 0.884825, 0.0184653
51000, 0.0233153, 28.9319, 0.88441, 0.0185479
52000, 0.0233107, 28.9262, 0.884011, 0.0186322
53000, 0.02331, 28.9254, 0.883531, 0.0187327
55000, 0.0231505, 28.7274, 0.886181, 0.0182827
56000, 0.023134, 28.707, 0.885542, 0.0183888
57000, 0.0231248, 28.6956, 0.885019, 0.0184893
58000, 0.0231218, 28.6918, 0.884542, 0.0185853
60000, 0.0230129, 28.5567, 0.887056, 0.0181531
61000, 0.0229987, 28.5391, 0.886472, 0.0182473
62000, 0.0229908, 28.5292, 0.886045, 0.0183249
63000, 0.0229862, 28.5236, 0.885693, 0.0184012
64000, 0.022984, 28.5208, 0.885255, 0.0184935
66000, 0.0229027, 28.4199, 0.887479, 0.0181225
67000, 0.0228922, 28.4069, 0.886994, 0.0181962
68000, 0.022886, 28.3992, 0.886573, 0.018263
69000, 0.0228817, 28.3939, 0.88625, 0.0183246
70000, 0.0228798, 28.3915, 0.885907, 0.0183898
72000, 0.0228182, 28.3151, 0.887779, 0.0181043
73000, 0.02281, 28.3049, 0.887389, 0.0181605
74000, 0.0228044, 28.298, 0.887071, 0.0182055
75000, 0.0228004, 28.2931, 0.886746, 0.0182603
76000, 0.0227973, 28.2891, 0.886435, 0.0183104
77000, 0.022796, 28.2876, 0.886153, 0.0183627
79000, 0.0227409, 28.2192, 0.887801, 0.0181274
80000, 0.0227343, 28.211, 0.887433, 0.0181774
81000, 0.0227305, 28.2063, 0.88714, 0.0182166
82000, 0.022727, 28.2019, 0.886858, 0.0182582
83000, 0.0227234, 28.1975, 0.886516, 0.0183134
84000, 0.0227211, 28.1947, 0.886185, 0.0183634
85000, 0.02272, 28.1933, 0.885889, 0.0184169
87000, 0.022666, 28.1263, 0.887605, 0.0181725
88000, 0.0226598, 28.1186, 0.887192, 0.0182297
89000, 0.0226559, 28.1137, 0.886872, 0.0182759
90000, 0.0226527, 28.1098, 0.886593, 0.0183155
91000, 0.0226494, 28.1056, 0.886259, 0.0183697
92000, 0.0226478, 28.1036, 0.885997, 0.0184109
93000, 0.0226468, 28.1024, 0.885732, 0.0184532
95000, 0.0225917, 28.0341, 0.887355, 0.0182237
96000, 0.0225859, 28.0269, 0.886977, 0.0182731
97000, 0.0225815, 28.0214, 0.88666, 0.0183134
98000, 0.0225778, 28.0168, 0.886415, 0.0183513
99000, 0.0225743, 28.0125, 0.886111, 0.0183978
100000, 0.0225716, 28.0091, 0.885847, 0.0184384
101000, 0.0225704, 28.0076, 0.885547, 0.01848
102000, 0.0225695, 28.0065, 0.885277, 0.018526
104000, 0.0225079, 27.9301, 0.887159, 0.0182412
105000, 0.0224997, 27.9199, 0.886753, 0.018294
106000, 0.0224936, 27.9123, 0.886453, 0.0183362
107000, 0.022487, 27.9041, 0.886118, 0.0183851
108000, 0.0224814, 27.8972, 0.885821, 0.0184271
109000, 0.0224767, 27.8913, 0.885538, 0.0184683
110000, 0.0224728, 27.8865, 0.88528, 0.0185085
111000, 0.0224699, 27.883, 0.885079, 0.0185448
112000, 0.0224669, 27.8792, 0.884804, 0.0185893
113000, 0.0224656, 27.8775, 0.884645, 0.0186206
114000, 0.0224619, 27.873, 0.884356, 0.0186687
115000, 0.0224576, 27.8676, 0.884123, 0.0187066
116000, 0.0224529, 27.8618, 0.883979, 0.0187301
117000, 0.0224461, 27.8534, 0.883822, 0.0187451
118000, 0.0224377, 27.8429, 0.88372, 0.0187433
119000, 0.0224232, 27.825, 0.883564, 0.0187367
120000, 0.0224028, 27.7997, 0.883534, 0.0187062
121000, 0.0223744, 27.7644, 0.883611, 0.018658
122000, 0.0223394, 27.721, 0.883883, 0.0185848
123000, 0.0223013, 27.6737, 0.884279, 0.0185002
124000, 0.0222666, 27.6307, 0.884696, 0.0184088
125000, 0.0222412, 27.5991, 0.885048, 0.0183218
126000, 0.0222255, 27.5796, 0.885278, 0.0182433
127000, 0.0222195, 27.5721, 0.885552, 0.0181581
129000, 0.0216606, 26.8787, 0.89464, 0.0171648
130000, 0.0216419, 26.8555, 0.894735, 0.0171387
131000, 0.0216384, 26.8511, 0.894966, 0.017066
133000, 0.0213032, 26.4351, 0.898926, 0.0163765
134000, 0.0212885, 26.4169, 0.898854, 0.0163943
135000, 0.021285, 26.4126, 0.89895, 0.0163825
137000, 0.0210788, 26.1567, 0.901744, 0.0157621
138000, 0.0210668, 26.1418, 0.901508, 0.01582
139000, 0.0210624, 26.1363, 0.90151, 0.0158447
141000, 0.0209427, 25.9878, 0.903663, 0.0153324
142000, 0.0209313, 25.9737, 0.903461, 0.0153854
143000, 0.0209232, 25.9636, 0.903408, 0.0154205
144000, 0.0209185, 25.9577, 0.903338, 0.0154594
145000, 0.0209163, 25.955, 0.903271, 0.0154924
146000, 0.0209161, 25.9548, 0.903185, 0.0155293
148000, 0.0208202, 25.8358, 0.90518, 0.0150626
149000, 0.0208133, 25.8273, 0.905066, 0.0151096
150000, 0.0208082, 25.8209, 0.904963, 0.0151501
151000, 0.0208043, 25.816, 0.904841, 0.0151931
152000, 0.0208038, 25.8154, 0.90477, 0.0152305
154000, 0.0207383, 25.7341, 0.906403, 0.0148371
155000, 0.0207322, 25.7266, 0.906315, 0.0148735
156000, 0.0207277, 25.721, 0.906314, 0.014902
157000, 0.0207241, 25.7165, 0.906256, 0.0149348
158000, 0.0207207, 25.7123, 0.906153, 0.014974
159000, 0.02072, 25.7115, 0.906097, 0.0150071
161000, 0.0206672, 25.6459, 0.907549, 0.0146543
162000, 0.0206625, 25.64, 0.907474, 0.0146916
163000, 0.0206586, 25.6353, 0.907432, 0.0147191
164000, 0.0206552, 25.631, 0.907376, 0.0147466
165000, 0.0206526, 25.6278, 0.907322, 0.0147801
166000, 0.020651, 25.6258, 0.907194, 0.014817
167000, 0.0206508, 25.6256, 0.907099, 0.0148523
169000, 0.0206009, 25.5636, 0.908643, 0.0144919
170000, 0.0205967, 25.5584, 0.908534, 0.0145287
171000, 0.0205934, 25.5543, 0.908428, 0.014561
172000, 0.020591, 25.5514, 0.908396, 0.0145843
173000, 0.0205885, 25.5483, 0.908271, 0.0146191
174000, 0.020587, 25.5464, 0.908183, 0.0146532
176000, 0.0205462, 25.4958, 0.909511, 0.0143363
177000, 0.0205441, 25.4932, 0.909444, 0.0143609
178000, 0.020541, 25.4893, 0.90936, 0.0143922
179000, 0.0205378, 25.4854, 0.909275, 0.0144202
180000, 0.0205361, 25.4833, 0.909225, 0.0144467
181000, 0.0205343, 25.481, 0.909141, 0.0144764
182000, 0.0205336, 25.4802, 0.909049, 0.0145059
184000, 0.0204945, 25.4316, 0.910365, 0.0141881
185000, 0.0204924, 25.429, 0.910241, 0.0142232
186000, 0.0204895, 25.4255, 0.910158, 0.014254
187000, 0.0204876, 25.423, 0.91018, 0.0142737
188000, 0.020485, 25.4199, 0.909969, 0.0143127
189000, 0.020484, 25.4187, 0.909857, 0.0143435
190000, 0.0204834, 25.4178, 0.909822, 0.0143672
192000, 0.0204454, 25.3707, 0.911106, 0.0140571
193000, 0.0204447, 25.3698, 0.911012, 0.0140848
194000, 0.0204423, 25.3668, 0.910891, 0.014117
195000, 0.0204402, 25.3642, 0.910879, 0.0141377
196000, 0.0204389, 25.3627, 0.910849, 0.0141603
197000, 0.0204382, 25.3618, 0.910668, 0.0141977
199000, 0.020405, 25.3206, 0.911721, 0.0139421
201000, 0.0204001, 25.3145, 0.911709, 0.0139458
203000, 0.0203952, 25.3084, 0.911752, 0.0139436
205000, 0.0203904, 25.3025, 0.911808, 0.0139381
207000, 0.0203856, 25.2965, 0.91184, 0.013935
209000, 0.0203808, 25.2905, 0.911852, 0.0139331
210000, 0.0203758, 25.2844, 0.911896, 0.0139276
211000, 0.0203713, 25.2787, 0.911946, 0.0139212
212000, 0.0203671, 25.2736, 0.912035, 0.013909
213000, 0.0203626, 25.268, 0.912094, 0.0138991
214000, 0.0203581, 25.2624, 0.912144, 0.0138912
215000, 0.0203535, 25.2567, 0.912184, 0.0138847
216000, 0.020349, 25.251, 0.912249, 0.0138755
217000, 0.0203447, 25.2457, 0.912307, 0.0138652
218000, 0.0203403, 25.2403, 0.912351, 0.0138563
219000, 0.0203362, 25.2352, 0.912424, 0.013844
220000, 0.0203317, 25.2296, 0.912496, 0.0138332
221000, 0.0203272, 25.2241, 0.91258, 0.0138198
222000, 0.0203229, 25.2187, 0.912658, 0.0138081
223000, 0.0203188, 25.2135, 0.912724, 0.0137964
224000, 0.0203145, 25.2083, 0.912799, 0.0137824
225000, 0.02031, 25.2027, 0.91289, 0.0137677
226000, 0.0203059, 25.1976, 0.912972, 0.0137543
227000, 0.0203017, 25.1923, 0.913056, 0.0137409
228000, 0.0202975, 25.1872, 0.913151, 0.0137252
229000, 0.0202937, 25.1825, 0.913254, 0.0137075
230000, 0.0202897, 25.1774, 0.913331, 0.0136931
231000, 0.0202858, 25.1726, 0.913405, 0.0136812
232000, 0.0202819, 25.1678, 0.913489, 0.0136674
233000, 0.0202784, 25.1634, 0.913608, 0.0136497
234000, 0.0202746, 25.1587, 0.913721, 0.013634
235000, 0.0202708, 25.154, 0.913813, 0.0136196
236000, 0.0202673, 25.1496, 0.913924, 0.0136045
237000, 0.0202636, 25.1452, 0.914024, 0.0135914
238000, 0.0202602, 25.1409, 0.91411, 0.013579
239000, 0.0202568, 25.1367, 0.914218, 0.0135631
240000, 0.0202532, 25.1321, 0.914313, 0.0135486
241000, 0.0202494, 25.1275, 0.914382, 0.0135371
242000, 0.0202458, 25.123, 0.914447, 0.0135254
243000, 0.0202421, 25.1184, 0.91453, 0.0135134
244000, 0.0202385, 25.1139, 0.914611, 0.0135008
245000, 0.0202349, 25.1095, 0.9147, 0.0134876
246000, 0.0202313, 25.105, 0.914775, 0.0134747
247000, 0.0202274, 25.1002, 0.914866, 0.0134606
248000, 0.0202237, 25.0956, 0.914958, 0.013447
249000, 0.02022, 25.091, 0.91506, 0.0134329
250000, 0.0202165, 25.0866, 0.915141, 0.0134202
251000, 0.0202127, 25.082, 0.915241, 0.013406
252000, 0.020209, 25.0773, 0.915331, 0.0133927
253000, 0.0202053, 25.0728, 0.915406, 0.0133796
254000, 0.0202016, 25.0682, 0.915467, 0.0133694
255000, 0.020198, 25.0637, 0.915523, 0.0133609
256000, 0.0201944, 25.0593, 0.915609, 0.013349
257000, 0.0201909, 25.0548, 0.915693, 0.013337
258000, 0.0201873, 25.0505, 0.915759, 0.0133284
259000, 0.0201837, 25.046, 0.915833, 0.0133167
260000, 0.0201801, 25.0415, 0.915912, 0.0133034
261000, 0.0201766, 25.0371, 0.916005, 0.0132893
262000, 0.020173, 25.0327, 0.916077, 0.013279
263000, 0.0201693, 25.0281, 0.916164, 0.0132653
264000, 0.0201656, 25.0235, 0.916248, 0.0132511
265000, 0.020162, 25.019, 0.916321, 0.0132393
266000, 0.0201581, 25.0142, 0.916398, 0.0132268
267000, 0.0201544, 25.0096, 0.916481, 0.0132149
268000, 0.0201509, 25.0052, 0.916574, 0.0132008
269000, 0.020147, 25.0004, 0.916627, 0.0131921
270000, 0.0201434, 24.9959, 0.916694, 0.0131803
271000, 0.0201397, 24.9914, 0.91675, 0.0131699
272000, 0.0201361, 24.9869, 0.916826, 0.0131573
273000, 0.0201327, 24.9826, 0.916896, 0.0131444
274000, 0.0201292, 24.9783, 0.916965, 0.0131307
275000, 0.0201253, 24.9734, 0.917027, 0.0131197
276000, 0.0201215, 24.9688, 0.917064, 0.0131122
277000, 0.020118, 24.9644, 0.917109, 0.0131029
278000, 0.0201147, 24.9603, 0.917161, 0.0130927
279000, 0.0201113, 24.9562, 0.917194, 0.0130841
280000, 0.0201077, 24.9517, 0.917237, 0.013075
281000, 0.0201041, 24.9471, 0.917265, 0.0130666
282000, 0.0201004, 24.9426, 0.917304, 0.0130564
283000, 0.0200971, 24.9385, 0.917357, 0.0130464
284000, 0.0200939, 24.9345, 0.917427, 0.0130334
285000, 0.0200906, 24.9305, 0.917468, 0.0130239
286000, 0.0200876, 24.9266, 0.917517, 0.0130126
287000, 0.0200844, 24.9228, 0.917552, 0.0130028
288000, 0.0200812, 24.9188, 0.917594, 0.0129948
289000, 0.0200781, 24.9149, 0.917635, 0.0129857
290000, 0.0200746, 24.9106, 0.917661, 0.0129786
291000, 0.0200715, 24.9067, 0.917688, 0.0129726
292000, 0.0200681, 24.9025, 0.917701, 0.0129677
293000, 0.0200648, 24.8984, 0.917733, 0.0129591
294000, 0.0200615, 24.8943, 0.917778, 0.012949
295000, 0.0200582, 24.8902, 0.917827, 0.0129383
296000, 0.0200548, 24.886, 0.917871, 0.0129275
297000, 0.0200514, 24.8818, 0.917904, 0.0129183
298000, 0.0200486, 24.8783, 0.917964, 0.0129051
299000, 0.0200456, 24.8746, 0.91803, 0.0128913
300000, 0.0200429, 24.8713, 0.918086, 0.0128767
301000, 0.0200399, 24.8675, 0.918153, 0.0128618
302000, 0.0200369, 24.8638, 0.918195, 0.0128507
303000, 0.020034, 24.8602, 0.918241, 0.0128391
304000, 0.020031, 24.8564, 0.918306, 0.012825
305000, 0.0200277, 24.8524, 0.918343, 0.0128159
306000, 0.0200243, 24.8481, 0.918377, 0.012807
307000, 0.0200207, 24.8437, 0.918397, 0.0127998
308000, 0.0200171, 24.8392, 0.918411, 0.0127926
309000, 0.0200136, 24.8348, 0.918425, 0.0127857
310000, 0.0200104, 24.8309, 0.918452, 0.0127777
311000, 0.0200074, 24.8272, 0.918499, 0.0127687
312000, 0.0200044, 24.8235, 0.918555, 0.0127567
313000, 0.0200013, 24.8196, 0.918607, 0.0127455
314000, 0.0199983, 24.8159, 0.918657, 0.0127341
315000, 0.0199951, 24.8119, 0.918726, 0.0127209
316000, 0.0199921, 24.8082, 0.918797, 0.0127071
317000, 0.0199891, 24.8045, 0.918851, 0.0126959
318000, 0.0199859, 24.8005, 0.918902, 0.012685
319000, 0.0199827, 24.7965, 0.918947, 0.012676
320000, 0.0199795, 24.7925, 0.918996, 0.0126655
321000, 0.0199764, 24.7888, 0.919053, 0.0126535
322000, 0.0199731, 24.7846, 0.91909, 0.0126431
323000, 0.0199697, 24.7805, 0.919134, 0.0126321
324000, 0.0199663, 24.7762, 0.91914, 0.0126261
325000, 0.0199628, 24.7719, 0.919181, 0.0126179
326000, 0.0199596, 24.7678, 0.919234, 0.0126079
327000, 0.0199563, 24.7638, 0.919281, 0.0125989
328000, 0.0199532, 24.7599, 0.919338, 0.0125883
329000, 0.0199499, 24.7559, 0.919427, 0.012574
330000, 0.0199467, 24.7518, 0.919517, 0.0125606
331000, 0.0199433, 24.7477, 0.919597, 0.0125474
332000, 0.0199401, 24.7436, 0.919667, 0.0125361
333000, 0.019937, 24.7398, 0.919729, 0.0125259
334000, 0.019934, 24.7361, 0.919779, 0.0125156
335000, 0.0199309, 24.7323, 0.919839, 0.0125049
336000, 0.0199281, 24.7288, 0.919912, 0.012492
337000, 0.0199253, 24.7253, 0.919986, 0.0124796
