Row, Correct, Predicted
1, 0.329614, 0.336221
2, 0.117454, 0.131182
3, 0.198531, 0.193114
4, 0.10332, 0.0989949
5, 0.108992, 0.111723
6, 0.145452, 0.158314
7, 0.122459, 0.12623
8, 0.563139, 0.570706
9, 0.166745, 0.145829
10, 0.129587, 0.131039
11, 0.161236, 0.171516
12, 0.138783, 0.150555
13, 0.167755, 0.162463
14, 0.248116, 0.231511
15, 0.10127, 0.103335
16, 0.26141, 0.258422
17, 0.123922, 0.114797
18, 0.110851, 0.112199
19, 0.209683, 0.214516
20, 0.108747, 0.116361
21, 0.109821, 0.11309
22, 0.129652, 0.154278
23, 0.166813, 0.158124
24, 0.1028, 0.104206
25, 0.110298, 0.110229
26, 0.109878, 0.118761
27, 0.101496, 0.102591
28, 0.164462, 0.184526
29, 0.548279, 0.557302
30, 0.18155, 0.184001
31, 0.101432, 0.102704
32, 0.131539, 0.122353
33, 0.1994, 0.213013
34, 0.151993, 0.158805
35, 0.107558, 0.104044
36, 0.208508, 0.201114
37, 0.129347, 0.1515
38, 0.180858, 0.190437
39, 0.262518, 0.266949
40, 0.111744, 0.118319
41, 0.115134, 0.148275
42, 0.253566, 0.26022
43, 0.164897, 0.185946
44, 0.156657, 0.151732
45, 0.105333, 0.104104
46, 0.208598, 0.188689
47, 0.111223, 0.114551
48, 0.729116, 0.733133
49, 0.104653, 0.109219
50, 0.12437, 0.130503
51, 0.149737, 0.145725
52, 0.101422, 0.104407
53, 0.1073, 0.111935
54, 0.100255, 0.0995963
55, 0.103352, 0.103377
56, 0.13667, 0.153513
57, 0.177498, 0.209566
58, 0.110644, 0.11631
59, 0.158419, 0.144949
60, 0.122534, 0.124882
61, 0.130983, 0.135971
62, 0.1432, 0.148439
63, 0.143503, 0.180627
64, 0.184531, 0.167723
65, 0.139623, 0.145104
66, 0.113107, 0.1123
67, 0.123852, 0.129243
68, 0.294163, 0.299855
69, 0.136267, 0.169844
70, 0.124642, 0.131389
71, 0.264273, 0.301183
72, 0.213101, 0.189753
73, 0.103871, 0.112885
74, 0.10951, 0.107808
75, 0.110297, 0.109988
76, 0.280334, 0.294641
77, 0.137429, 0.151402
78, 0.134751, 0.150038
79, 0.100521, 0.101062
80, 0.110344, 0.107831
81, 0.105082, 0.109639
82, 0.145826, 0.146941
83, 0.10647, 0.111587
84, 0.105927, 0.107164
85, 0.259875, 0.269777
86, 0.102879, 0.0993486
87, 0.101974, 0.104888
88, 0.12537, 0.13891
89, 0.16288, 0.168379
90, 0.157134, 0.132401
91, 0.102214, 0.101563
92, 0.106437, 0.108392
93, 0.809529, 0.816847
94, 0.101886, 0.105158
95, 0.15934, 0.160559
96, 0.382201, 0.378925
97, 0.123708, 0.121968
98, 0.16507, 0.199765
99, 0.140505, 0.124593
100, 0.111036, 0.107951
101, 0.181165, 0.164718
102, 0.150383, 0.146105
103, 0.113029, 0.136184
104, 0.14182, 0.136477
105, 0.108428, 0.104558
106, 0.140119, 0.139093
107, 0.174649, 0.169538
108, 0.130042, 0.140418
109, 0.11295, 0.124454
110, 0.241157, 0.235481
111, 0.125408, 0.144252
112, 0.100711, 0.102531
113, 0.194746, 0.169693
114, 0.236125, 0.251258
115, 0.45608, 0.486653
116, 0.355434, 0.36158
117, 0.356558, 0.364647
118, 0.12269, 0.136863
119, 0.10893, 0.112371
120, 0.100703, 0.0985943
121, 0.188267, 0.217156
122, 0.256049, 0.266235
123, 0.140005, 0.143631
124, 0.10644, 0.106522
125, 0.153564, 0.125468
126, 0.111622, 0.101597
127, 0.147888, 0.137813
128, 0.106136, 0.116403
129, 0.119677, 0.150582
130, 0.602205, 0.592836
131, 0.253012, 0.21243
132, 0.178938, 0.229102
133, 0.135336, 0.132727
134, 0.287878, 0.286361
135, 0.151299, 0.203464
136, 0.10672, 0.116396
137, 0.208316, 0.198042
138, 0.129356, 0.127564
139, 0.111975, 0.112691
140, 0.19565, 0.210379
141, 0.108759, 0.0969593
142, 0.123991, 0.131977
143, 0.112726, 0.11728
144, 0.129059, 0.12703
145, 0.164368, 0.127321
146, 0.102788, 0.107718
147, 0.192397, 0.210218
148, 0.279586, 0.342779
149, 0.321486, 0.3294
150, 0.52702, 0.536248
151, 0.10519, 0.105225
152, 0.194747, 0.209231
153, 0.184193, 0.202914
154, 0.181266, 0.215748
155, 0.9, 0.903395
156, 0.106441, 0.109594
157, 0.102018, 0.0985365
158, 0.13032, 0.125469
159, 0.105778, 0.106383
160, 0.103627, 0.105009
161, 0.144443, 0.139706
162, 0.195861, 0.220792
163, 0.218798, 0.164084
164, 0.194727, 0.190342
165, 0.117517, 0.121207
166, 0.405155, 0.399577
167, 0.776247, 0.789123
168, 0.1, 0.100577
169, 0.101487, 0.104719
170, 0.299533, 0.332847
171, 0.146468, 0.147198
172, 0.107076, 0.107702
173, 0.189618, 0.1514
174, 0.117316, 0.128509
175, 0.110757, 0.107479
176, 0.122349, 0.131099
177, 0.107594, 0.105236
178, 0.273557, 0.250198
179, 0.125122, 0.128558
180, 0.254207, 0.265741
181, 0.412547, 0.420994
182, 0.112175, 0.119351
183, 0.117986, 0.117172
184, 0.168685, 0.183363
185, 0.108569, 0.112345
186, 0.120945, 0.122682
187, 0.107431, 0.107488
188, 0.167797, 0.194723
189, 0.107022, 0.107205
190, 0.103673, 0.109648
191, 0.122009, 0.115719
192, 0.132348, 0.140048
193, 0.106032, 0.115901
194, 0.102714, 0.108496
195, 0.153149, 0.169041
196, 0.104041, 0.111
197, 0.102795, 0.106377
198, 0.132428, 0.136219
199, 0.102742, 0.109583
200, 0.285274, 0.275252
201, 0.422719, 0.424316
202, 0.114916, 0.126307
203, 0.122448, 0.140696
204, 0.108502, 0.111374
205, 0.138922, 0.155789
206, 0.245124, 0.262954
207, 0.139528, 0.149641
208, 0.172616, 0.169695
209, 0.151972, 0.151569
210, 0.151442, 0.144818
211, 0.140325, 0.148806
212, 0.396128, 0.438081
213, 0.102371, 0.105756
214, 0.526459, 0.505107
215, 0.111496, 0.109172
216, 0.311163, 0.327647
217, 0.104818, 0.107894
218, 0.211733, 0.189877
219, 0.129224, 0.130182
220, 0.137319, 0.141077
221, 0.101395, 0.104422
222, 0.112738, 0.123888
223, 0.123998, 0.135556
224, 0.110769, 0.106189
225, 0.315225, 0.305468
226, 0.117294, 0.126943
227, 0.190725, 0.191772
228, 0.219593, 0.229946
229, 0.110987, 0.121018
230, 0.102834, 0.105563
231, 0.121467, 0.130056
232, 0.151046, 0.138569
233, 0.100872, 0.102631
234, 0.205717, 0.17829
235, 0.178827, 0.2046
236, 0.212445, 0.221215
237, 0.106737, 0.104068
238, 0.113205, 0.125286
239, 0.439275, 0.450911
240, 0.155542, 0.155735
241, 0.10296, 0.104988
242, 0.145976, 0.152905
243, 0.110822, 0.112489
244, 0.100685, 0.101067
245, 0.206977, 0.178007
246, 0.157499, 0.139979
247, 0.158264, 0.178127
248, 0.1041, 0.107044
249, 0.252585, 0.263521
250, 0.124815, 0.120831
251, 0.199765, 0.215364
252, 0.115278, 0.128491
253, 0.156162, 0.151668
254, 0.134974, 0.130984
255, 0.25709, 0.197486
256, 0.116288, 0.130823
257, 0.109569, 0.113736
258, 0.186072, 0.188959
259, 0.330988, 0.303513
260, 0.194951, 0.169209
261, 0.100753, 0.100461
262, 0.104163, 0.105272
263, 0.19893, 0.209335
264, 0.236452, 0.232165
265, 0.129015, 0.128027
266, 0.749997, 0.753586
267, 0.415752, 0.416152
268, 0.113777, 0.118773
269, 0.104394, 0.102532
270, 0.11604, 0.130357
271, 0.123425, 0.137004
272, 0.136585, 0.135522
273, 0.190445, 0.181303
274, 0.113266, 0.108054
275, 0.10816, 0.104893
276, 0.117135, 0.121276
277, 0.154803, 0.14233
278, 0.116375, 0.12821
279, 0.133635, 0.108049
280, 0.162925, 0.144569
281, 0.102642, 0.102071
282, 0.263561, 0.246124
283, 0.480336, 0.484362
284, 0.113424, 0.123707
285, 0.141521, 0.131683
286, 0.108279, 0.113631
287, 0.357685, 0.341555
288, 0.130121, 0.142799
289, 0.291126, 0.319299
290, 0.103135, 0.10661
291, 0.108307, 0.113148
292, 0.164895, 0.193776
293, 0.11103, 0.106299
294, 0.210707, 0.189767
295, 0.128303, 0.159637
296, 0.100517, 0.102036
297, 0.146523, 0.129399
298, 0.113297, 0.122162
299, 0.194558, 0.21518
300, 0.234647, 0.242901
301, 0.102594, 0.103903
302, 0.10088, 0.101288
303, 0.111641, 0.115595
304, 0.115641, 0.125686
305, 0.311241, 0.30076
306, 0.232143, 0.217256
307, 0.1811, 0.175177
308, 0.133812, 0.144855
309, 0.10922, 0.116475
310, 0.351986, 0.394797
311, 0.32508, 0.294013
312, 0.103601, 0.107291
313, 0.108793, 0.1245
314, 0.112265, 0.122238
315, 0.10798, 0.103474
316, 0.142718, 0.154126
317, 0.14751, 0.16782
318, 0.131306, 0.130195
319, 0.110405, 0.113853
320, 0.170201, 0.1647
321, 0.108836, 0.103565
322, 0.124178, 0.122103
323, 0.111313, 0.131228
324, 0.138898, 0.150419
325, 0.106939, 0.104803
326, 0.163074, 0.166133
327, 0.200233, 0.211375
328, 0.261746, 0.266465
329, 0.103615, 0.107122
330, 0.138988, 0.150283
331, 0.172093, 0.171216
332, 0.113066, 0.120673
333, 0.10285, 0.105407
334, 0.149623, 0.16036
335, 0.166743, 0.205954
336, 0.130827, 0.125869
337, 0.156925, 0.201411
338, 0.243333, 0.221257
339, 0.110242, 0.110218
340, 0.106356, 0.106111
341, 0.242264, 0.262291
342, 0.132854, 0.164481
343, 0.154206, 0.157163
344, 0.137327, 0.154564
345, 0.169073, 0.150176
346, 0.215572, 0.256682
347, 0.214211, 0.224707
348, 0.100579, 0.0992846
349, 0.164687, 0.19221
350, 0.105971, 0.112123
351, 0.280686, 0.291415
352, 0.112046, 0.101317
353, 0.128556, 0.130643
354, 0.102503, 0.108297
355, 0.377871, 0.329942
356, 0.261458, 0.247447
357, 0.216679, 0.223098
358, 0.136412, 0.146927
359, 0.11021, 0.133978
360, 0.132361, 0.126259
361, 0.140196, 0.145323
362, 0.166689, 0.206915
363, 0.106399, 0.108088
364, 0.107607, 0.108621
365, 0.165846, 0.148237
366, 0.10756, 0.110726
367, 0.14934, 0.154737
368, 0.288884, 0.311992
369, 0.206283, 0.19942
