epoch, stepParameter
1000, 0.11
2000, 0.121
3000, 0.1331
4000, 0.14641
5000, 0.161051
6000, 0.177156
7000, 0.194872
8000, 0.214359
9000, 0.235795
10000, 0.259374
11000, 0.285312
12000, 0.313843
13000, 0.345227
14000, 0.37975
15000, 0.417725
16000, 0.459497
17000, 0.505447
18000, 0.555992
19000, 0.611591
20000, 0.67275
21000, 0.336375
22000, 0.370013
23000, 0.407014
24000, 0.447715
25000, 0.492487
26000, 0.246243
27000, 0.270868
28000, 0.297955
29000, 0.32775
30000, 0.360525
31000, 0.396578
32000, 0.436235
33000, 0.479859
34000, 0.527845
35000, 0.580629
36000, 0.638692
37000, 0.702562
38000, 0.772818
39000, 0.8501
40000, 0.935109
41000, 1.02862
42000, 1.13148
43000, 1.24463
44000, 1.36909
45000, 1.506
46000, 1.6566
47000, 1.82226
48000, 2.00449
49000, 2.20494
50000, 2.42543
51000, 2.66798
52000, 2.93478
53000, 1.46739
54000, 1.61413
55000, 1.77554
56000, 0.88777
57000, 0.976547
58000, 0.488273
59000, 0.537101
60000, 0.26855
61000, 0.295405
62000, 0.324946
63000, 0.357441
64000, 0.393185
65000, 0.196592
66000, 0.216252
67000, 0.237877
68000, 0.261664
69000, 0.287831
70000, 0.316614
71000, 0.348275
72000, 0.383103
73000, 0.421413
74000, 0.463554
75000, 0.50991
76000, 0.560901
77000, 0.28045
78000, 0.308495
79000, 0.339345
80000, 0.37328
81000, 0.410608
82000, 0.451668
83000, 0.496835
84000, 0.248418
85000, 0.273259
86000, 0.300585
87000, 0.330644
88000, 0.363708
89000, 0.181854
90000, 0.20004
91000, 0.220043
92000, 0.242048
93000, 0.266253
94000, 0.133126
95000, 0.146439
96000, 0.161083
97000, 0.177191
98000, 0.19491
99000, 0.1
100000, 0.11
101000, 0.121
102000, 0.1331
103000, 0.1
104000, 0.11
105000, 0.1
106000, 0.11
107000, 0.1
108000, 0.11
109000, 0.1
110000, 0.11
111000, 0.1
112000, 0.11
113000, 0.1
114000, 0.0999693
115000, 0.0999687
116000, 0.0999682
117000, 0.0999676
118000, 0.099967
119000, 0.0999664
120000, 0.0999658
121000, 0.0999652
122000, 0.0999646
123000, 0.099964
124000, 0.0999633
125000, 0.0999627
126000, 0.099962
127000, 0.0999613
128000, 0.0999606
129000, 0.0999599
130000, 0.0999592
131000, 0.0999585
132000, 0.0999578
133000, 0.099957
134000, 0.0999562
135000, 0.0999555
136000, 0.0999547
137000, 0.0999539
138000, 0.099953
139000, 0.0999522
140000, 0.0999513
141000, 0.0999505
142000, 0.0999496
143000, 0.0999487
144000, 0.0999478
145000, 0.0999468
146000, 0.0999459
147000, 0.0999449
148000, 0.0999439
149000, 0.0999429
150000, 0.0999419
151000, 0.0999409
152000, 0.0999398
153000, 0.0999388
154000, 0.0999377
155000, 0.0999366
156000, 0.0999354
157000, 0.0999343
158000, 0.0999331
159000, 0.0999319
160000, 0.0999307
161000, 0.0999295
162000, 0.0999282
163000, 0.0999269
164000, 0.0999256
165000, 0.0999243
166000, 0.0999229
167000, 0.0999216
168000, 0.0999202
169000, 0.0999187
170000, 0.0999173
171000, 0.0999158
172000, 0.0999143
173000, 0.0999128
174000, 0.0999112
175000, 0.0999096
176000, 0.099908
177000, 0.0999064
178000, 0.0999047
179000, 0.099903
180000, 0.0999013
181000, 0.0998995
182000, 0.0998977
183000, 0.0998959
184000, 0.099894
185000, 0.0998922
186000, 0.0998902
187000, 0.0998883
188000, 0.0998863
189000, 0.0998843
190000, 0.0998822
191000, 0.0998801
192000, 0.099878
193000, 0.0998758
194000, 0.0998736
195000, 0.0998713
196000, 0.099869
197000, 0.0998667
198000, 0.0998643
199000, 0.0998619
200000, 0.0998594
201000, 0.0998569
202000, 0.0998544
203000, 0.0998518
204000, 0.0998491
205000, 0.0998464
206000, 0.0998437
207000, 0.0998409
208000, 0.0998381
209000, 0.0998352
210000, 0.0998322
211000, 0.0998293
212000, 0.0998262
213000, 0.0998231
214000, 0.09982
215000, 0.0998168
216000, 0.0998135
217000, 0.0998102
218000, 0.0998068
219000, 0.0998033
220000, 0.0997998
221000, 0.0997963
222000, 0.0997926
223000, 0.0997889
224000, 0.0997852
225000, 0.0997814
226000, 0.0997775
227000, 0.0997735
228000, 0.0997695
229000, 0.0997654
230000, 0.0997612
231000, 0.0997569
232000, 0.0997526
233000, 0.0997482
234000, 0.0997437
235000, 0.0997391
236000, 0.0997345
237000, 0.0997298
238000, 0.099725
239000, 0.0997201
240000, 0.0997151
241000, 0.09971
242000, 0.0997049
243000, 0.0996996
244000, 0.0996943
245000, 0.0996888
246000, 0.0996833
247000, 0.0996776
248000, 0.0996719
249000, 0.0996661
250000, 0.0996601
251000, 0.0996541
252000, 0.0996479
253000, 0.0996417
254000, 0.0996353
255000, 0.0996288
256000, 0.0996222
257000, 0.0996155
258000, 0.0996087
259000, 0.0996017
260000, 0.0995946
261000, 0.0995874
262000, 0.0995801
263000, 0.0995726
264000, 0.099565
265000, 0.0995573
266000, 0.0995494
267000, 0.0995414
268000, 0.0995333
269000, 0.099525
270000, 0.0995166
271000, 0.099508
272000, 0.0994992
273000, 0.0994903
274000, 0.0994813
275000, 0.0994721
276000, 0.0994627
277000, 0.0994532
278000, 0.0994435
279000, 0.0994336
280000, 0.0994236
281000, 0.0994133
282000, 0.0994029
283000, 0.0993923
284000, 0.0993816
285000, 0.0993706
286000, 0.0993594
287000, 0.0993481
288000, 0.0993365
289000, 0.0993248
290000, 0.0993128
291000, 0.0993006
292000, 0.0992882
293000, 0.0992756
294000, 0.0992628
295000, 0.0992497
296000, 0.0992364
297000, 0.0992229
298000, 0.0992092
299000, 0.0991952
300000, 0.0991809
301000, 0.0991665
302000, 0.0991517
303000, 0.0991367
304000, 0.0991214
305000, 0.0991059
306000, 0.0990901
307000, 0.099074
308000, 0.0990577
309000, 0.099041
310000, 0.0990241
311000, 0.0990068
312000, 0.0989893
313000, 0.0989715
314000, 0.0989533
315000, 0.0989348
316000, 0.0989161
317000, 0.0988969
318000, 0.0988775
319000, 0.0988577
320000, 0.0988376
321000, 0.0988171
322000, 0.0987962
323000, 0.098775
324000, 0.0987535
325000, 0.0987315
326000, 0.0987092
327000, 0.0986865
328000, 0.0986634
329000, 0.0986399
330000, 0.0986159
331000, 0.0985916
332000, 0.0985669
333000, 0.0985417
334000, 0.0985161
335000, 0.09849
336000, 0.0984635
337000, 0.0984366
338000, 0.0984091
339000, 0.0983812
340000, 0.0983529
341000, 0.098324
342000, 0.0982946
343000, 0.0982648
344000, 0.0982344
345000, 0.0982035
346000, 0.0981721
347000, 0.0981401
348000, 0.0981076
349000, 0.0980745
350000, 0.0980409
351000, 0.0980067
352000, 0.0979719
353000, 0.0979365
354000, 0.0979005
355000, 0.0978639
356000, 0.0978267
357000, 0.0977888
358000, 0.0977503
359000, 0.0977112
360000, 0.0976714
361000, 0.0976309
362000, 0.0975897
363000, 0.0975479
364000, 0.0975053
365000, 0.097462
366000, 0.097418
367000, 0.0973732
368000, 0.0973277
369000, 0.0972814
370000, 0.0972344
371000, 0.0971865
372000, 0.0971379
373000, 0.0970884
374000, 0.0970381
375000, 0.096987
376000, 0.0969351
377000, 0.0968822
378000, 0.0968285
379000, 0.0967739
380000, 0.0967184
381000, 0.096662
382000, 0.0966046
383000, 0.0965463
384000, 0.0964871
385000, 0.0964268
386000, 0.0963656
387000, 0.0963034
388000, 0.0962401
389000, 0.0961758
390000, 0.0961105
391000, 0.0960441
392000, 0.0959766
393000, 0.095908
394000, 0.0958383
395000, 0.0957675
396000, 0.0956955
397000, 0.0956224
398000, 0.0955481
399000, 0.0954726
400000, 0.0953959
401000, 0.095318
402000, 0.0952388
403000, 0.0951584
404000, 0.0950766
405000, 0.0949936
406000, 0.0949093
407000, 0.0948236
408000, 0.0947366
409000, 0.0946482
410000, 0.0945584
411000, 0.0944672
412000, 0.0943746
413000, 0.0942805
414000, 0.0941849
415000, 0.0940879
416000, 0.0939894
417000, 0.0938894
418000, 0.0937878
419000, 0.0936846
420000, 0.0935799
421000, 0.0934736
422000, 0.0933656
423000, 0.093256
424000, 0.0931448
425000, 0.0930319
426000, 0.0929172
427000, 0.0928009
428000, 0.0926828
429000, 0.0925629
430000, 0.0924413
431000, 0.0923178
432000, 0.0921925
433000, 0.0920654
434000, 0.0919364
435000, 0.0918055
436000, 0.0916727
437000, 0.091538
438000, 0.0914014
439000, 0.0912627
440000, 0.0911221
441000, 0.0909795
442000, 0.0908348
443000, 0.090688
444000, 0.0905392
445000, 0.0903884
446000, 0.0902353
447000, 0.0900802
448000, 0.0899229
449000, 0.0897634
450000, 0.0896017
451000, 0.0894379
452000, 0.0892717
453000, 0.0891034
454000, 0.0889327
455000, 0.0887598
456000, 0.0885845
457000, 0.0884069
458000, 0.088227
459000, 0.0880447
460000, 0.08786
461000, 0.0876729
462000, 0.0874834
463000, 0.0872915
464000, 0.0870971
465000, 0.0869002
466000, 0.0867008
467000, 0.086499
468000, 0.0862946
469000, 0.0860877
470000, 0.0858783
471000, 0.0856663
472000, 0.0854517
473000, 0.0852345
474000, 0.0850148
475000, 0.0847924
476000, 0.0845674
477000, 0.0843398
478000, 0.0841095
479000, 0.0838766
480000, 0.083641
481000, 0.0834028
482000, 0.0831618
483000, 0.0829182
484000, 0.0826719
485000, 0.0824229
486000, 0.0821713
487000, 0.0819169
488000, 0.0816598
489000, 0.0813999
490000, 0.0811374
491000, 0.0808722
492000, 0.0806042
493000, 0.0803336
494000, 0.0800602
495000, 0.0797841
496000, 0.0795053
497000, 0.0792238
498000, 0.0789397
499000, 0.0786528
500000, 0.0783633
501000, 0.078071
502000, 0.0777762
503000, 0.0774786
504000, 0.0771784
505000, 0.0768756
506000, 0.0765702
507000, 0.0762622
508000, 0.0759515
509000, 0.0756384
510000, 0.0753226
511000, 0.0750043
512000, 0.0746836
513000, 0.0743603
514000, 0.0740345
515000, 0.0737063
516000, 0.0733757
517000, 0.0730427
518000, 0.0727073
519000, 0.0723696
520000, 0.0720295
521000, 0.0716872
522000, 0.0713426
523000, 0.0709958
524000, 0.0706468
525000, 0.0702956
526000, 0.0699423
527000, 0.069587
528000, 0.0692296
529000, 0.0688702
530000, 0.0685088
531000, 0.0681455
532000, 0.0677803
533000, 0.0674133
534000, 0.0670445
535000, 0.0666739
536000, 0.0663016
537000, 0.0659277
538000, 0.0655522
539000, 0.0651751
540000, 0.0647964
541000, 0.0644164
542000, 0.0640349
543000, 0.063652
544000, 0.0632679
545000, 0.0628825
546000, 0.0624959
547000, 0.0621081
548000, 0.0617193
549000, 0.0613294
550000, 0.0609386
551000, 0.0605469
552000, 0.0601543
553000, 0.0597609
554000, 0.0593668
555000, 0.0589719
556000, 0.0585765
557000, 0.0581805
558000, 0.0577841
559000, 0.0573871
560000, 0.0569898
561000, 0.0565922
562000, 0.0561944
563000, 0.0557964
564000, 0.0553982
565000, 0.055
566000, 0.0546018
567000, 0.0542036
568000, 0.0538056
569000, 0.0534078
570000, 0.0530102
571000, 0.0526129
572000, 0.0522159
573000, 0.0518195
574000, 0.0514235
575000, 0.0510281
576000, 0.0506332
577000, 0.0502391
578000, 0.0498457
579000, 0.0494531
580000, 0.0490614
581000, 0.0486706
582000, 0.0482807
583000, 0.0478919
584000, 0.0475041
585000, 0.0471175
586000, 0.0467321
587000, 0.046348
588000, 0.0459651
589000, 0.0455836
590000, 0.0452036
591000, 0.0448249
592000, 0.0444479
593000, 0.0440723
594000, 0.0436984
595000, 0.0433261
596000, 0.0429555
597000, 0.0425867
598000, 0.0422197
599000, 0.0418545
600000, 0.0414912
601000, 0.0411298
602000, 0.0407704
603000, 0.040413
604000, 0.0400577
605000, 0.0397044
606000, 0.0393532
607000, 0.0390042
608000, 0.0386574
609000, 0.0383128
610000, 0.0379705
611000, 0.0376304
612000, 0.0372927
613000, 0.0369573
614000, 0.0366243
615000, 0.0362937
616000, 0.0359655
617000, 0.0356397
618000, 0.0353164
619000, 0.0349956
620000, 0.0346774
621000, 0.0343616
622000, 0.0340485
623000, 0.0337378
624000, 0.0334298
625000, 0.0331244
626000, 0.0328216
627000, 0.0325214
