epoch, rmse, rmse-dn, rsqr, mrse
1000, 0.0360404, 44.7226, 0.868035, 0.0300833
2000, 0.0340711, 42.2789, 0.884693, 0.0278737
3000, 0.0328965, 40.8213, 0.882026, 0.0262083
4000, 0.0321373, 39.8792, 0.88202, 0.022353
5000, 0.0314642, 39.044, 0.882685, 0.0200202
6000, 0.0308888, 38.33, 0.883315, 0.018796
7000, 0.0301089, 37.3621, 0.889351, 0.0171347
8000, 0.0296072, 36.7396, 0.889293, 0.0169843
9000, 0.0292451, 36.2903, 0.888336, 0.0170885
10000, 0.0288487, 35.7984, 0.890383, 0.0168624
11000, 0.0286369, 35.5355, 0.891613, 0.0167011
12000, 0.0285939, 35.4822, 0.891571, 0.0165372
14000, 0.0277824, 34.4752, 0.902865, 0.0135083
15000, 0.0277148, 34.3913, 0.902695, 0.0133995
16000, 0.0276537, 34.3155, 0.901997, 0.0132241
17000, 0.0275945, 34.2421, 0.900177, 0.0133773
18000, 0.027459, 34.0739, 0.896557, 0.0141694
19000, 0.0272093, 33.7641, 0.89365, 0.014867
20000, 0.0269663, 33.4625, 0.888262, 0.0160047
21000, 0.0267931, 33.2476, 0.882921, 0.0168406
22000, 0.0266973, 33.1286, 0.879754, 0.0171029
23000, 0.0266058, 33.0151, 0.877613, 0.0172347
24000, 0.0265176, 32.9057, 0.875073, 0.0175064
25000, 0.0264737, 32.8512, 0.872544, 0.0178417
27000, 0.0259142, 32.157, 0.874311, 0.0160761
29000, 0.0257242, 31.9212, 0.88404, 0.0134833
30000, 0.025692, 31.8813, 0.881125, 0.0139247
31000, 0.0256464, 31.8247, 0.878566, 0.0144066
32000, 0.0255936, 31.7591, 0.87632, 0.0149303
33000, 0.0255614, 31.7191, 0.874905, 0.0154253
35000, 0.0255047, 31.6488, 0.886307, 0.0131205
36000, 0.025477, 31.6145, 0.883975, 0.0133925
37000, 0.0254252, 31.5501, 0.881562, 0.0137786
38000, 0.0253858, 31.5012, 0.879436, 0.014177
39000, 0.0253584, 31.4672, 0.876885, 0.0146694
40000, 0.0253294, 31.4312, 0.874535, 0.015186
41000, 0.0253197, 31.4192, 0.872084, 0.0156833
43000, 0.0252084, 31.2811, 0.882375, 0.0135286
44000, 0.0251609, 31.2222, 0.879887, 0.0138497
45000, 0.0251372, 31.1928, 0.876911, 0.01422
46000, 0.0251139, 31.1638, 0.874161, 0.0145994
47000, 0.0250889, 31.1328, 0.871536, 0.0149857
48000, 0.0250552, 31.091, 0.870316, 0.015263
49000, 0.0250314, 31.0615, 0.870384, 0.0153571
50000, 0.0249899, 31.01, 0.872239, 0.0152497
51000, 0.0249258, 30.9304, 0.876276, 0.0148758
52000, 0.0248218, 30.8014, 0.882039, 0.0143173
53000, 0.0246964, 30.6457, 0.887751, 0.0137687
54000, 0.0245374, 30.4485, 0.891773, 0.0134063
55000, 0.0243305, 30.1917, 0.89419, 0.0132275
56000, 0.0241375, 29.9523, 0.89514, 0.0132587
57000, 0.0240233, 29.8105, 0.894234, 0.0135124
59000, 0.0237973, 29.5301, 0.897689, 0.0126416
60000, 0.0236741, 29.3773, 0.896209, 0.0129084
61000, 0.0236629, 29.3633, 0.894702, 0.0131131
63000, 0.023202, 28.7914, 0.903699, 0.012243
64000, 0.0230969, 28.6609, 0.903318, 0.0124122
65000, 0.0230376, 28.5873, 0.902868, 0.0125461
66000, 0.0229928, 28.5318, 0.901957, 0.012712
68000, 0.0227813, 28.2694, 0.909217, 0.012015
69000, 0.0226987, 28.1668, 0.908972, 0.0121623
70000, 0.0226283, 28.0795, 0.908954, 0.0122665
71000, 0.0225878, 28.0293, 0.908379, 0.0124055
72000, 0.0225495, 27.9817, 0.90775, 0.0125307
73000, 0.0225313, 27.9591, 0.906929, 0.0126643
75000, 0.0223464, 27.7296, 0.913298, 0.0121591
76000, 0.0222878, 27.6569, 0.91296, 0.0122364
77000, 0.0222572, 27.6189, 0.912326, 0.0123374
80000, 0.0221668, 27.5068, 0.913649, 0.0124747
82000, 0.0216763, 26.8982, 0.907929, 0.013729
84000, 0.0214791, 26.6534, 0.904887, 0.0141487
86000, 0.0214791, 26.6534, 0.904301, 0.0139871
