Row, Correct, Predicted
1, 0.154268, 0.206466
2, 0.117135, 0.124731
3, 0.140119, 0.133936
4, 0.106319, 0.0999166
5, 0.10285, 0.100042
6, 0.9, 0.897581
7, 0.11021, 0.111616
8, 0.100753, 0.0973546
9, 0.147185, 0.135768
10, 0.454988, 0.434486
11, 0.13667, 0.155545
12, 0.124642, 0.128571
13, 0.103075, 0.109808
14, 0.181165, 0.168908
15, 0.121509, 0.123858
16, 0.355434, 0.343227
17, 0.117409, 0.137822
18, 0.108759, 0.103701
19, 0.197017, 0.172543
20, 0.162925, 0.137274
21, 0.138988, 0.149893
22, 0.101678, 0.105351
23, 0.315018, 0.280761
24, 0.110822, 0.109337
25, 0.136412, 0.151022
26, 0.103552, 0.1001
27, 0.102642, 0.103498
28, 0.526459, 0.466253
29, 0.102836, 0.100585
30, 0.102788, 0.106479
31, 0.162481, 0.139837
32, 0.140325, 0.142492
33, 0.439275, 0.447843
34, 0.217141, 0.252372
35, 0.284527, 0.283858
36, 0.138783, 0.148619
37, 0.108307, 0.113486
38, 0.188267, 0.186574
39, 0.117534, 0.132186
40, 0.134974, 0.128159
41, 0.184531, 0.15792
42, 0.131539, 0.125826
43, 0.11132, 0.119645
44, 0.121157, 0.116449
45, 0.119726, 0.113289
46, 0.342768, 0.245297
47, 0.315225, 0.301471
48, 0.142323, 0.152713
49, 0.115641, 0.120903
50, 0.167797, 0.193518
51, 0.103601, 0.0995382
52, 0.104041, 0.0994103
53, 0.110344, 0.105709
54, 0.199765, 0.277897
55, 0.102023, 0.0918232
56, 0.178732, 0.184274
57, 0.117498, 0.131425
58, 0.146523, 0.127748
59, 0.110987, 0.125246
60, 0.300505, 0.311577
61, 0.342078, 0.296853
62, 0.140196, 0.157812
63, 0.100872, 0.0945393
64, 0.106437, 0.10554
65, 0.139528, 0.142959
66, 0.128556, 0.124337
67, 0.165846, 0.145679
68, 0.111496, 0.108242
69, 0.129356, 0.123932
70, 0.137327, 0.125571
71, 0.123708, 0.117491
72, 0.125869, 0.130395
73, 0.110357, 0.1219
74, 0.158422, 0.216119
75, 0.311241, 0.297439
76, 0.143354, 0.15378
77, 0.1994, 0.228736
78, 0.371482, 0.367047
79, 0.14821, 0.185893
80, 0.103673, 0.103801
81, 0.120597, 0.117777
82, 0.106441, 0.106661
83, 0.103135, 0.0974127
84, 0.122349, 0.125626
85, 0.151299, 0.204652
86, 0.174649, 0.173029
87, 0.108541, 0.116
88, 0.115134, 0.146163
89, 0.100255, 0.0967149
90, 0.158419, 0.141304
91, 0.109878, 0.119572
92, 0.14751, 0.172803
93, 0.405155, 0.386286
94, 0.104922, 0.085559
95, 0.45608, 0.454769
96, 0.111622, 0.100188
97, 0.102879, 0.0996594
98, 0.242446, 0.209711
99, 0.119817, 0.116149
100, 0.110405, 0.120696
101, 0.166745, 0.146883
102, 0.128676, 0.131826
103, 0.1028, 0.10142
104, 0.186072, 0.199741
105, 0.185918, 0.188862
106, 0.154023, 0.150816
107, 0.136585, 0.139575
108, 0.122534, 0.124895
109, 0.113298, 0.109467
110, 0.146468, 0.144244
111, 0.122459, 0.113499
112, 0.280686, 0.279634
113, 0.280334, 0.303096
114, 0.301551, 0.318016
115, 0.11103, 0.0979439
