epoch, stepParameter
1000, 0.11
2000, 0.121
3000, 0.1331
4000, 0.14641
5000, 0.161051
6000, 0.177156
7000, 0.194872
8000, 0.214359
9000, 0.235795
10000, 0.259374
11000, 0.285312
12000, 0.313843
13000, 0.156921
14000, 0.172614
15000, 0.189875
16000, 0.208862
17000, 0.229749
18000, 0.252724
19000, 0.277996
20000, 0.305796
21000, 0.336375
22000, 0.370013
23000, 0.407014
24000, 0.447715
25000, 0.492487
26000, 0.246243
27000, 0.270868
28000, 0.135434
29000, 0.148977
30000, 0.163875
31000, 0.180263
32000, 0.198289
33000, 0.218118
34000, 0.109059
35000, 0.119965
36000, 0.131961
37000, 0.145157
38000, 0.159673
39000, 0.17564
40000, 0.193204
41000, 0.212525
42000, 0.106262
43000, 0.116889
44000, 0.128578
45000, 0.141435
46000, 0.155579
47000, 0.171137
48000, 0.18825
49000, 0.207075
50000, 0.227783
51000, 0.250561
52000, 0.275618
53000, 0.303179
54000, 0.333497
55000, 0.366847
56000, 0.403532
57000, 0.443885
58000, 0.221942
59000, 0.244137
60000, 0.26855
61000, 0.295405
62000, 0.147703
63000, 0.162473
64000, 0.17872
65000, 0.196592
66000, 0.216252
67000, 0.108126
68000, 0.118938
69000, 0.130832
70000, 0.143915
71000, 0.158307
72000, 0.174138
73000, 0.191551
74000, 0.0957757
75000, 0.105353
76000, 0.115889
77000, 0.127477
78000, 0.0637387
79000, 0.0318694
80000, 0.0350563
81000, 0.0175282
82000, 0.019281
83000, 0.01
84000, 0.011
85000, 0.01
86000, 0.01
