epoch, stepParameter
1000, 0.11
2000, 0.121
3000, 0.1331
4000, 0.14641
5000, 0.161051
6000, 0.177156
7000, 0.194872
8000, 0.214359
9000, 0.235795
10000, 0.259374
11000, 0.285312
12000, 0.313843
13000, 0.345227
14000, 0.37975
15000, 0.417725
16000, 0.459497
17000, 0.505447
18000, 0.252724
19000, 0.277996
20000, 0.305796
21000, 0.336375
22000, 0.370013
23000, 0.407014
24000, 0.203507
25000, 0.223858
26000, 0.111929
27000, 0.123122
28000, 0.1
29000, 0.11
30000, 0.1
31000, 0.11
32000, 0.1
33000, 0.11
34000, 0.1
35000, 0.11
36000, 0.1
37000, 0.11
38000, 0.1
39000, 0.0963297
40000, 0.0956598
41000, 0.0948748
42000, 0.093958
43000, 0.0928908
44000, 0.091654
45000, 0.0902272
46000, 0.0885907
47000, 0.0867255
48000, 0.084615
49000, 0.0822466
50000, 0.0796133
51000, 0.0767152
52000, 0.0735616
53000, 0.0701719
54000, 0.0665761
55000, 0.0628147
56000, 0.0589373
57000, 0.055
58000, 0.0510627
59000, 0.0471853
60000, 0.0434239
61000, 0.0398281
62000, 0.0364384
63000, 0.0332848
64000, 0.0303867
65000, 0.0277534
66000, 0.025385
67000, 0.0232745
68000, 0.0214093
69000, 0.0197728
70000, 0.018346
71000, 0.0171092
72000, 0.016042
73000, 0.0151252
74000, 0.0143402
75000, 0.0136703
76000, 0.0131001
77000, 0.0126157
78000, 0.0122051
79000, 0.0118576
80000, 0.0115639
81000, 0.0113159
82000, 0.0111068
83000, 0.0109305
84000, 0.0107821
85000, 0.0106572
86000, 0.0105521
87000, 0.0104637
88000, 0.0103894
89000, 0.010327
90000, 0.0102745
91000, 0.0102305
92000, 0.0101935
93000, 0.0101624
94000, 0.0101363
95000, 0.0101144
96000, 0.010096
97000, 0.0100806
98000, 0.0100676
99000, 0.0100567
100000, 0.0100476
101000, 0.01004
102000, 0.0100335
103000, 0.0100281
104000, 0.0100236
105000, 0.0100198
106000, 0.0100166
107000, 0.0100139
108000, 0.0100117
109000, 0.0100098
110000, 0.0100082
111000, 0.0100069
112000, 0.0100058
113000, 0.0100049
114000, 0.0100041
115000, 0.0100034
116000, 0.0100029
117000, 0.0100024
118000, 0.010002
119000, 0.0100017
120000, 0.0100014
121000, 0.0100012
122000, 0.010001
123000, 0.0100008
124000, 0.0100007
125000, 0.0100006
126000, 0.0100005
127000, 0.0100004
128000, 0.0100004
129000, 0.0100003
130000, 0.0100002
131000, 0.0100002
132000, 0.0100002
133000, 0.0100001
134000, 0.0100001
135000, 0.0100001
136000, 0.0100001
137000, 0.0100001
138000, 0.0100001
139000, 0.0100001
140000, 0.01
141000, 0.01
142000, 0.01
143000, 0.01
144000, 0.01
145000, 0.01
146000, 0.01
147000, 0.01
148000, 0.01
149000, 0.01
150000, 0.01
151000, 0.01
152000, 0.01
153000, 0.01
154000, 0.01
155000, 0.01
156000, 0.01
157000, 0.01
158000, 0.01
159000, 0.01
160000, 0.01
161000, 0.01
162000, 0.01
163000, 0.01
164000, 0.01
165000, 0.01
166000, 0.01
167000, 0.01
168000, 0.01
169000, 0.01
170000, 0.01
171000, 0.01
172000, 0.01
173000, 0.01
174000, 0.01
175000, 0.01
176000, 0.01
177000, 0.01
178000, 0.01
179000, 0.01
180000, 0.01
181000, 0.01
182000, 0.01
183000, 0.01
184000, 0.01
185000, 0.01
186000, 0.01
187000, 0.01
188000, 0.01
189000, 0.01
190000, 0.01
191000, 0.01
192000, 0.01
193000, 0.01
194000, 0.01
195000, 0.01
196000, 0.01
197000, 0.01
198000, 0.01
199000, 0.01
200000, 0.01
201000, 0.01
202000, 0.01
203000, 0.01
204000, 0.01
205000, 0.01
206000, 0.01
207000, 0.01
208000, 0.01
209000, 0.01
210000, 0.01
211000, 0.01
212000, 0.01
213000, 0.01
214000, 0.01
215000, 0.01
216000, 0.01
217000, 0.01
218000, 0.01
219000, 0.01
220000, 0.01
221000, 0.01
222000, 0.01
223000, 0.01
224000, 0.01
225000, 0.01
226000, 0.01
227000, 0.01
228000, 0.01
229000, 0.01
230000, 0.01
231000, 0.01
232000, 0.01
233000, 0.01
234000, 0.01
235000, 0.01
236000, 0.01
237000, 0.01
238000, 0.01
239000, 0.01
240000, 0.01
241000, 0.01
