epoch, rmse, rmse-dn
1000, 0.0503089, 62.4283
2000, 0.0423626, 52.5678
3000, 0.0384442, 47.7054
4000, 0.0376388, 46.706
5000, 0.0369431, 45.8427
6000, 0.0362977, 45.0419
7000, 0.0357973, 44.4209
8000, 0.0354649, 44.0084
9000, 0.0352716, 43.7686
10000, 0.0351732, 43.6464
11000, 0.0351304, 43.5934
12000, 0.035119, 43.5791
14000, 0.0350002, 43.4317
15000, 0.0349774, 43.4034
16000, 0.0349714, 43.3961
18000, 0.0349172, 43.3287
19000, 0.0349022, 43.3101
20000, 0.0348943, 43.3003
21000, 0.034893, 43.2987
23000, 0.0348732, 43.2741
24000, 0.0348674, 43.267
25000, 0.0348669, 43.2664
27000, 0.0348572, 43.2543
28000, 0.0348557, 43.2524
30000, 0.0348498, 43.2452
32000, 0.0348463, 43.2408
34000, 0.0348437, 43.2376
36000, 0.0348417, 43.2351
38000, 0.0348402, 43.2333
40000, 0.0348391, 43.2318
41000, 0.0348382, 43.2307
42000, 0.0348373, 43.2297
43000, 0.0348366, 43.2288
44000, 0.0348359, 43.2279
45000, 0.0348353, 43.2271
46000, 0.0348348, 43.2265
47000, 0.0348342, 43.2257
48000, 0.0348335, 43.2249
49000, 0.0348329, 43.2242
50000, 0.0348323, 43.2234
51000, 0.0348317, 43.2227
52000, 0.0348312, 43.2221
53000, 0.0348308, 43.2216
54000, 0.0348305, 43.2212
55000, 0.0348301, 43.2206
56000, 0.0348296, 43.2201
57000, 0.0348293, 43.2197
58000, 0.0348288, 43.219
59000, 0.0348284, 43.2185
60000, 0.0348279, 43.218
61000, 0.0348277, 43.2176
62000, 0.0348274, 43.2173
63000, 0.0348272, 43.2171
64000, 0.0348269, 43.2166
65000, 0.0348267, 43.2164
66000, 0.0348267, 43.2164
67000, 0.0348266, 43.2163
68000, 0.0348265, 43.2163
69000, 0.0348262, 43.2159
70000, 0.034826, 43.2156
71000, 0.0348256, 43.2151
72000, 0.0348253, 43.2147
73000, 0.0348252, 43.2145
74000, 0.034825, 43.2143
75000, 0.0348247, 43.2139
76000, 0.0348246, 43.2139
77000, 0.0348244, 43.2135
78000, 0.0348235, 43.2125
79000, 0.0348228, 43.2116
80000, 0.0348221, 43.2107
81000, 0.0348216, 43.2101
82000, 0.034821, 43.2094
83000, 0.0348203, 43.2085
84000, 0.0348195, 43.2075
85000, 0.0348184, 43.2062
86000, 0.0348176, 43.2051
87000, 0.0348167, 43.2041
88000, 0.034816, 43.2032
89000, 0.0348153, 43.2023
90000, 0.0348146, 43.2014
91000, 0.0348142, 43.2009
92000, 0.0348139, 43.2006
93000, 0.0348135, 43.2001
94000, 0.0348128, 43.1992
95000, 0.0348121, 43.1984
96000, 0.0348115, 43.1976
97000, 0.0348106, 43.1965
98000, 0.0348098, 43.1955
99000, 0.0348086, 43.194
100000, 0.0348078, 43.193
101000, 0.0348069, 43.1919
102000, 0.0348064, 43.1913
103000, 0.034806, 43.1907
104000, 0.034805, 43.1895
105000, 0.034804, 43.1883
106000, 0.0348033, 43.1875
107000, 0.0348018, 43.1856
108000, 0.0348011, 43.1847
109000, 0.0347995, 43.1828
110000, 0.0347982, 43.1811
111000, 0.034797, 43.1796
112000, 0.0347955, 43.1777
113000, 0.0347933, 43.175
114000, 0.0347915, 43.1728
115000, 0.0347896, 43.1704
116000, 0.0347875, 43.1678
117000, 0.034786, 43.1659
118000, 0.0347846, 43.1642
119000, 0.0347828, 43.162
120000, 0.0347813, 43.1601
121000, 0.0347787, 43.1569
122000, 0.0347769, 43.1546
123000, 0.0347751, 43.1525
124000, 0.0347742, 43.1513
125000, 0.0347722, 43.1489
126000, 0.0347708, 43.1471
127000, 0.0347696, 43.1456
128000, 0.0347678, 43.1433
129000, 0.0347663, 43.1415
130000, 0.0347653, 43.1402
131000, 0.0347644, 43.1392
132000, 0.0347629, 43.1372
133000, 0.0347612, 43.1352
134000, 0.0347603, 43.134
135000, 0.0347598, 43.1335
136000, 0.0347587, 43.1321
137000, 0.0347578, 43.1309
138000, 0.0347575, 43.1305
139000, 0.0347567, 43.1296
140000, 0.0347561, 43.1289
141000, 0.0347555, 43.1281
142000, 0.0347544, 43.1267
143000, 0.0347537, 43.1259
144000, 0.0347531, 43.1251
145000, 0.0347525, 43.1244
146000, 0.0347519, 43.1236
147000, 0.034751, 43.1225
148000, 0.0347503, 43.1217
149000, 0.0347499, 43.1211
150000, 0.0347493, 43.1204
151000, 0.0347492, 43.1203
152000, 0.0347488, 43.1198
153000, 0.0347484, 43.1193
154000, 0.0347481, 43.119
