epoch, stepParameter
1000, 0.11
2000, 0.121
3000, 0.1331
4000, 0.14641
5000, 0.161051
6000, 0.177156
7000, 0.194872
8000, 0.0974359
9000, 0.107179
10000, 0.117897
11000, 0.129687
12000, 0.142656
13000, 0.156921
14000, 0.0784607
15000, 0.0863068
16000, 0.0949375
17000, 0.104431
18000, 0.114874
19000, 0.0574372
20000, 0.0631809
21000, 0.069499
22000, 0.0764489
23000, 0.0840938
24000, 0.0925032
25000, 0.101753
26000, 0.0508767
27000, 0.0559644
28000, 0.0615609
29000, 0.067717
30000, 0.0744887
31000, 0.0819375
32000, 0.0901313
33000, 0.0450656
34000, 0.0495722
35000, 0.0247861
36000, 0.0272647
37000, 0.0136324
38000, 0.0149956
39000, 0.01
40000, 0.011
41000, 0.01
42000, 0.01
