Row, Predicted, Correct
1, 0.136176, 0.148727
2, 0.148792, 0.133635
3, 0.139722, 0.141417
4, 0.119969, 0.104342
5, 0.187328, 0.196229
6, 0.182801, 0.208598
7, 0.113995, 0.10342
8, 0.103232, 0.107607
9, 0.117288, 0.10644
10, 0.113045, 0.110987
11, 0.101173, 0.111036
12, 0.146648, 0.166745
13, 0.158513, 0.154023
14, 0.0961999, 0.106319
15, 0.351821, 0.402651
16, 0.099934, 0.110297
17, 0.116853, 0.121157
18, 0.106273, 0.102491
19, 0.135136, 0.12537
20, 0.10425, 0.110822
21, 0.0814062, 0.154206
22, 0.372089, 0.439275
23, 0.110109, 0.1091
24, 0.4586, 0.602205
25, 0.162127, 0.129652
26, 0.179036, 0.194746
27, 0.0991913, 0.10519
28, 0.209304, 0.166689
29, 0.275931, 0.311241
30, 0.0783638, 0.102972
31, 0.19356, 0.23148
32, 0.180468, 0.168685
33, 0.109931, 0.115105
34, 0.11019, 0.108992
35, 0.131801, 0.146523
36, 0.153101, 0.181997
37, 0.0915981, 0.104625
38, 0.0882433, 0.10296
39, 0.11608, 0.119817
40, 0.135224, 0.124178
41, 0.0928252, 0.102544
42, 0.125131, 0.122009
43, 0.274928, 0.40531
44, 0.184671, 0.210707
45, 0.48738, 0.439137
46, 0.275505, 0.357685
47, 0.081197, 0.100703
48, 0.0938606, 0.1028
49, 0.217148, 0.212445
50, 0.112066, 0.108307
51, 0.381048, 0.478406
52, 0.257604, 0.263934
53, 0.101108, 0.103871
54, 0.136428, 0.147185
55, 0.492676, 0.592693
56, 0.108365, 0.106316
57, 0.111271, 0.108681
58, 0.238968, 0.256049
59, 0.127, 0.117517
