Row, Predicted, Correct
1, 0.231203, 0.215572
2, 0.103208, 0.102214
3, 0.288504, 0.300505
4, 0.101939, 0.102491
5, 0.136048, 0.120077
6, 0.124905, 0.124815
7, 0.172313, 0.130914
8, 0.150357, 0.152263
9, 0.154219, 0.181997
10, 0.111284, 0.10672
11, 0.282283, 0.286304
12, 0.146225, 0.170201
13, 0.167978, 0.206977
14, 0.138917, 0.148727
15, 0.238208, 0.242264
16, 0.11776, 0.124564
17, 0.112071, 0.115105
18, 0.137744, 0.123998
19, 0.115735, 0.111036
20, 0.629358, 0.749997
21, 0.121429, 0.113417
22, 0.105972, 0.111186
23, 0.127729, 0.137327
24, 0.128158, 0.118141
25, 0.106662, 0.10816
26, 0.106942, 0.100872
27, 0.101606, 0.100213
28, 0.103396, 0.104394
29, 0.122652, 0.117517
30, 0.124374, 0.115289
31, 0.128776, 0.113403
32, 0.155386, 0.138988
33, 0.276423, 0.294163
34, 0.161618, 0.189618
35, 0.141464, 0.143356
36, 0.189335, 0.194746
37, 0.278506, 0.276431
38, 0.237565, 0.281671
39, 0.110205, 0.109821
40, 0.105054, 0.101683
41, 0.109782, 0.110757
42, 0.309201, 0.342078
43, 0.113252, 0.103673
44, 0.40768, 0.280334
45, 0.175695, 0.164462
46, 0.103635, 0.105235
47, 0.205977, 0.243333
48, 0.10342, 0.103865
49, 0.12184, 0.106316
50, 0.123178, 0.130121
51, 0.101892, 0.103601
52, 0.116689, 0.109071
53, 0.162521, 0.190445
54, 0.189889, 0.192397
55, 0.107519, 0.104342
56, 0.131481, 0.121994
57, 0.110895, 0.106399
58, 0.230483, 0.245124
59, 0.158637, 0.149737
60, 0.143585, 0.128676
61, 0.103293, 0.1028
62, 0.105318, 0.105778
63, 0.101509, 0.102594
64, 0.195546, 0.197017
65, 0.129979, 0.125122
66, 0.101397, 0.100795
67, 0.228002, 0.32508
68, 0.398898, 0.548279
69, 0.101107, 0.100517
70, 0.130859, 0.118588
71, 0.157831, 0.147996
72, 0.193794, 0.208316
73, 0.116076, 0.112738
74, 0.124832, 0.117316
75, 0.156487, 0.129652
76, 0.117688, 0.114374
77, 0.286095, 0.315225
78, 0.251827, 0.158422
79, 0.199419, 0.181266
80, 0.127348, 0.151188
81, 0.393316, 0.45608
82, 0.108602, 0.108818
83, 0.139358, 0.136412
84, 0.115811, 0.108992
85, 0.111596, 0.113107
86, 0.157315, 0.134751
87, 0.114543, 0.106337
88, 0.303203, 0.244175
89, 0.466465, 0.526459
90, 0.146457, 0.169073
91, 0.232804, 0.274922
92, 0.143814, 0.170473
93, 0.105582, 0.104809
94, 0.189945, 0.175354
95, 0.164659, 0.115134
96, 0.179303, 0.129706
97, 0.112412, 0.108747
98, 0.121755, 0.124178
99, 0.108704, 0.110851
100, 0.175643, 0.25709
101, 0.282924, 0.264273
102, 0.149419, 0.164368
103, 0.293599, 0.247382
104, 0.210593, 0.242922
105, 0.582707, 0.356558
106, 0.138124, 0.136522
107, 0.135639, 0.132348
108, 0.261188, 0.291126
109, 0.135645, 0.158419
110, 0.102047, 0.102972
111, 0.106863, 0.10296
112, 0.155311, 0.156162
113, 0.157047, 0.137319
114, 0.198326, 0.253566
115, 0.213945, 0.154268
116, 0.203255, 0.213101
117, 0.112255, 0.10893
118, 0.111117, 0.106437
119, 0.102513, 0.102023
120, 0.263649, 0.254207
121, 0.14825, 0.142718
122, 0.102149, 0.102188
123, 0.11422, 0.112265
124, 0.388925, 0.402651
125, 0.280448, 0.195511
126, 0.134779, 0.140119
127, 0.128083, 0.108541
128, 0.122769, 0.108681
129, 0.234234, 0.342768
130, 0.114656, 0.106182
131, 0.132591, 0.112201
132, 0.300436, 0.249396
133, 0.159526, 0.126728
134, 0.118443, 0.113205
135, 0.136795, 0.151972
136, 0.11131, 0.111975
137, 0.187034, 0.184531
