Row, Correct, Predicted
1, 0.12269, 0.125427
2, 0.356558, 0.358159
3, 0.130914, 0.179204
4, 0.355434, 0.328254
5, 0.25709, 0.206108
6, 0.164368, 0.13641
7, 0.120597, 0.117337
8, 0.1073, 0.113582
9, 0.217141, 0.268683
10, 0.214211, 0.236855
11, 0.263561, 0.289693
12, 0.276431, 0.318981
13, 0.141521, 0.129881
14, 0.124815, 0.121291
15, 0.110405, 0.115068
16, 0.106441, 0.106758
17, 0.415752, 0.388532
18, 0.102714, 0.10316
19, 0.124564, 0.118718
20, 0.111744, 0.11757
21, 0.184395, 0.162085
22, 0.164462, 0.182137
23, 0.301551, 0.297972
24, 0.121901, 0.136532
25, 0.133635, 0.125058
26, 0.122448, 0.141102
27, 0.129587, 0.128962
28, 0.102688, 0.103861
29, 0.143356, 0.129533
30, 0.113066, 0.121159
31, 0.166689, 0.221683
32, 0.10519, 0.105991
33, 0.156657, 0.154898
34, 0.190445, 0.17955
35, 0.132361, 0.124879
36, 0.105333, 0.0907414
37, 0.213215, 0.252707
38, 0.172843, 0.155871
39, 0.385837, 0.339337
40, 0.321445, 0.333011
41, 0.142718, 0.146307
42, 0.145976, 0.145057
43, 0.10672, 0.116668
44, 0.167755, 0.147415
45, 0.10893, 0.114435
46, 0.117409, 0.137324
47, 0.108818, 0.099725
48, 0.15934, 0.143705
49, 0.279586, 0.367505
50, 0.104096, 0.097912
51, 0.109071, 0.119875
52, 0.261458, 0.251434
53, 0.216679, 0.231929
54, 0.52702, 0.53276
55, 0.101487, 0.101813
56, 0.112046, 0.125899
57, 0.10342, 0.111015
58, 0.184193, 0.205224
59, 0.148727, 0.142628
60, 0.108836, 0.10556
61, 0.138898, 0.14465
62, 0.188267, 0.186993
63, 0.282664, 0.303475
64, 0.140196, 0.159823
65, 0.165846, 0.149645
66, 0.102544, 0.0903426
67, 0.219167, 0.223562
68, 0.127565, 0.133007
69, 0.140505, 0.128028
70, 0.120945, 0.129637
71, 0.108747, 0.111991
72, 0.776247, 0.793276
73, 0.181997, 0.154286
74, 0.117454, 0.138976
75, 0.101325, 0.0946533
76, 0.167282, 0.149707
77, 0.112784, 0.115727
78, 0.129059, 0.128009
79, 0.163074, 0.164219
80, 0.11132, 0.120509
81, 0.106136, 0.110181
82, 0.300505, 0.297187
83, 0.110242, 0.112367
84, 0.137327, 0.134919
85, 0.140119, 0.140572
86, 0.12537, 0.134111
87, 0.115641, 0.126159
88, 0.105628, 0.102536
89, 0.205717, 0.165077
90, 0.370859, 0.342493
91, 0.111975, 0.11417
92, 0.284527, 0.285163
93, 0.167797, 0.205966
94, 0.175354, 0.18939
95, 0.10088, 0.106954
96, 0.114374, 0.115738
97, 0.166813, 0.155564
98, 0.109878, 0.11673
99, 0.151993, 0.166763
100, 0.143354, 0.148117
101, 0.119817, 0.124293
102, 0.102368, 0.102159
103, 0.110357, 0.113483
104, 0.197017, 0.175498
105, 0.105971, 0.114597
106, 0.242922, 0.228016
107, 0.128676, 0.129505
108, 0.110298, 0.112278
109, 0.111036, 0.115959
110, 0.118592, 0.131081
111, 0.115289, 0.124109
112, 0.288884, 0.272656
113, 0.112157, 0.115452
114, 0.208598, 0.193248
115, 0.108502, 0.109257
116, 0.23223, 0.196316
117, 0.186049, 0.177773
118, 0.14751, 0.183139
119, 0.194951, 0.159218
120, 0.100944, 0.0997811
121, 0.145452, 0.144279
122, 0.396128, 0.421343
123, 0.113403, 0.130239
124, 0.729116, 0.744579
125, 0.106356, 0.102259
126, 0.110757, 0.110522
127, 0.105778, 0.101425
128, 0.110144, 0.107654
129, 0.166743, 0.201749
130, 0.101496, 0.104708
131, 0.245124, 0.267518
132, 0.166745, 0.141932
133, 0.291857, 0.382375
134, 0.130701, 0.137736
135, 0.402651, 0.433288
136, 0.154268, 0.20795
137, 0.119726, 0.123002
138, 0.215572, 0.260353
139, 0.102594, 0.101346
140, 0.148817, 0.144335
141, 0.129356, 0.121772
142, 0.128303, 0.151511
143, 0.233544, 0.23602
144, 0.10332, 0.113778
145, 0.112201, 0.112384
146, 0.153564, 0.144398
147, 0.10296, 0.108214
148, 0.146468, 0.142122
149, 0.104653, 0.110349
150, 0.113417, 0.119229
151, 0.140005, 0.142384
152, 0.180858, 0.18219
153, 0.280686, 0.278332
154, 0.122349, 0.13135
155, 0.15774, 0.139983
156, 0.208316, 0.191398
157, 0.109821, 0.112595
158, 0.439137, 0.45009
159, 0.138783, 0.149749
160, 0.112265, 0.12036
161, 0.210592, 0.216486
162, 0.104163, 0.110464
163, 0.104809, 0.110851
164, 0.113424, 0.12345
165, 0.178827, 0.231841
166, 0.10798, 0.106491
167, 0.206977, 0.173202
168, 0.157134, 0.126948
169, 0.100517, 0.0974489
170, 0.218798, 0.147389
171, 0.259875, 0.222944
172, 0.13003, 0.148282
173, 0.315225, 0.321956
174, 0.112265, 0.125138
175, 0.1811, 0.17728
176, 0.141417, 0.137268
177, 0.1994, 0.224023
178, 0.135639, 0.13254
179, 0.35195, 0.357766
180, 0.130121, 0.139302
181, 0.111313, 0.117635
182, 0.232143, 0.225908
183, 0.10644, 0.10942
184, 0.242446, 0.189377
185, 0.195511, 0.258557
186, 0.145826, 0.138538
187, 0.209683, 0.243367
188, 0.241157, 0.229961
189, 0.168939, 0.190098
190, 0.280334, 0.260951
191, 0.253566, 0.22033
192, 0.385624, 0.316817
193, 0.11065, 0.102647
194, 0.200233, 0.216068
195, 0.102795, 0.104212
196, 0.164687, 0.20535
197, 0.192397, 0.193727
198, 0.102018, 0.0809008
199, 0.111223, 0.115445
200, 0.103615, 0.0955391
201, 0.106319, 0.105292
202, 0.309347, 0.381416
203, 0.174649, 0.175083
