epoch, stepParameter
1000, 0.11
2000, 0.121
3000, 0.1331
4000, 0.14641
5000, 0.161051
6000, 0.177156
7000, 0.194872
8000, 0.214359
9000, 0.235795
10000, 0.259374
11000, 0.285312
12000, 0.313843
13000, 0.345227
14000, 0.37975
15000, 0.417725
16000, 0.459497
17000, 0.505447
18000, 0.555992
19000, 0.611591
20000, 0.67275
21000, 0.740025
22000, 0.814028
23000, 0.895431
24000, 0.984974
25000, 1.08347
26000, 0.541736
27000, 0.595909
28000, 0.6555
29000, 0.32775
30000, 0.360525
31000, 0.396578
32000, 0.436235
33000, 0.479859
34000, 0.527845
35000, 0.580629
36000, 0.290315
37000, 0.319346
38000, 0.351281
39000, 0.17564
40000, 0.193204
41000, 0.212525
42000, 0.233777
43000, 0.257155
44000, 0.128578
45000, 0.141435
46000, 0.155579
47000, 0.171137
48000, 0.18825
49000, 0.207075
50000, 0.103538
51000, 0.113892
52000, 0.125281
53000, 0.137809
54000, 0.1
55000, 0.11
56000, 0.121
57000, 0.1
58000, 0.11
59000, 0.1
60000, 0.11
61000, 0.1
62000, 0.11
63000, 0.1
64000, 0.11
65000, 0.1
66000, 0.11
67000, 0.1
68000, 0.0999901
69000, 0.09999
70000, 0.0999899
71000, 0.0999897
72000, 0.0999896
73000, 0.0999895
74000, 0.0999893
75000, 0.0999892
76000, 0.099989
77000, 0.0999889
78000, 0.0999888
79000, 0.0999886
80000, 0.0999885
81000, 0.0999883
82000, 0.0999882
83000, 0.099988
84000, 0.0999878
85000, 0.0999877
86000, 0.0999875
87000, 0.0999874
88000, 0.0999872
89000, 0.099987
90000, 0.0999869
91000, 0.0999867
92000, 0.0999865
93000, 0.0999863
94000, 0.0999862
95000, 0.099986
96000, 0.0999858
97000, 0.0999856
98000, 0.0999854
99000, 0.0999852
100000, 0.099985
101000, 0.0999848
102000, 0.0999846
103000, 0.0999845
104000, 0.0999842
105000, 0.099984
106000, 0.0999838
107000, 0.0999836
108000, 0.0999834
109000, 0.0999832
110000, 0.099983
111000, 0.0999827
112000, 0.0999825
113000, 0.0999823
114000, 0.0999821
115000, 0.0999818
116000, 0.0999816
117000, 0.0999814
118000, 0.0999811
119000, 0.0999809
120000, 0.0999806
121000, 0.0999804
122000, 0.0999801
123000, 0.0999798
124000, 0.0999796
125000, 0.0999793
126000, 0.099979
127000, 0.0999788
128000, 0.0999785
129000, 0.0999782
130000, 0.0999779
131000, 0.0999776
132000, 0.0999773
133000, 0.099977
134000, 0.0999767
135000, 0.0999764
136000, 0.0999761
137000, 0.0999758
138000, 0.0999755
139000, 0.0999752
140000, 0.0999749
141000, 0.0999745
142000, 0.0999742
143000, 0.0999739
144000, 0.0999735
145000, 0.0999732
146000, 0.0999728
147000, 0.0999725
148000, 0.0999721
149000, 0.0999717
150000, 0.0999714
151000, 0.099971
152000, 0.0999706
153000, 0.0999702
154000, 0.0999699
155000, 0.0999695
156000, 0.0999691
157000, 0.0999687
158000, 0.0999683
159000, 0.0999678
160000, 0.0999674
161000, 0.099967
162000, 0.0999666
163000, 0.0999661
164000, 0.0999657
165000, 0.0999652
166000, 0.0999648
167000, 0.0999643
168000, 0.0999639
169000, 0.0999634
170000, 0.0999629
171000, 0.0999624
172000, 0.0999619
173000, 0.0999614
174000, 0.0999609
175000, 0.0999604
176000, 0.0999599
177000, 0.0999594
178000, 0.0999589
179000, 0.0999583
180000, 0.0999578
181000, 0.0999572
182000, 0.0999567
183000, 0.0999561
184000, 0.0999555
185000, 0.0999549
186000, 0.0999544
187000, 0.0999538
188000, 0.0999532
189000, 0.0999525
190000, 0.0999519
191000, 0.0999513
192000, 0.0999507
193000, 0.09995
194000, 0.0999494
195000, 0.0999487
196000, 0.099948
197000, 0.0999473
198000, 0.0999467
199000, 0.099946
200000, 0.0999453
201000, 0.0999445
202000, 0.0999438
203000, 0.0999431
204000, 0.0999423
205000, 0.0999416
206000, 0.0999408
207000, 0.0999401
208000, 0.0999393
209000, 0.0999385
210000, 0.0999377
211000, 0.0999369
212000, 0.099936
213000, 0.0999352
214000, 0.0999344
215000, 0.0999335
216000, 0.0999326
217000, 0.0999318
218000, 0.0999309
219000, 0.09993
220000, 0.099929
221000, 0.0999281
222000, 0.0999272
223000, 0.0999262
224000, 0.0999253
225000, 0.0999243
226000, 0.0999233
227000, 0.0999223
228000, 0.0999213
229000, 0.0999203
230000, 0.0999192
231000, 0.0999182
232000, 0.0999171
233000, 0.099916
234000, 0.0999149
235000, 0.0999138
236000, 0.0999127
237000, 0.0999115
238000, 0.0999104
239000, 0.0999092
240000, 0.099908
241000, 0.0999068
242000, 0.0999056
243000, 0.0999044
244000, 0.0999031
245000, 0.0999019
246000, 0.0999006
247000, 0.0998993
248000, 0.099898
249000, 0.0998967
250000, 0.0998953
251000, 0.0998939
252000, 0.0998926
253000, 0.0998912
254000, 0.0998897
255000, 0.0998883
256000, 0.0998868
257000, 0.0998854
258000, 0.0998839
259000, 0.0998824
260000, 0.0998808
261000, 0.0998793
262000, 0.0998777
263000, 0.0998761
264000, 0.0998745
265000, 0.0998728
266000, 0.0998712
267000, 0.0998695
268000, 0.0998678
269000, 0.0998661
270000, 0.0998643
271000, 0.0998626
272000, 0.0998608
273000, 0.0998589
274000, 0.0998571
275000, 0.0998552
276000, 0.0998534
277000, 0.0998514
278000, 0.0998495
279000, 0.0998475
280000, 0.0998456
281000, 0.0998435
282000, 0.0998415
283000, 0.0998394
284000, 0.0998373
285000, 0.0998352
286000, 0.0998331
287000, 0.0998309
288000, 0.0998287
289000, 0.0998265
290000, 0.0998242
291000, 0.0998219
292000, 0.0998196
293000, 0.0998172
294000, 0.0998148
295000, 0.0998124
296000, 0.09981
297000, 0.0998075
298000, 0.099805
299000, 0.0998025
300000, 0.0997999
301000, 0.0997973
302000, 0.0997946
303000, 0.099792
304000, 0.0997892
305000, 0.0997865
306000, 0.0997837
307000, 0.0997809
308000, 0.099778
309000, 0.0997751
310000, 0.0997722
311000, 0.0997692
312000, 0.0997662
313000, 0.0997632
314000, 0.0997601
315000, 0.099757
316000, 0.0997538
317000, 0.0997506
318000, 0.0997474
319000, 0.0997441
320000, 0.0997407
321000, 0.0997374
322000, 0.0997339
323000, 0.0997305
324000, 0.099727
325000, 0.0997234
326000, 0.0997198
327000, 0.0997162
328000, 0.0997125
329000, 0.0997087
330000, 0.0997049
331000, 0.0997011
332000, 0.0996972
333000, 0.0996933
334000, 0.0996893
335000, 0.0996852
336000, 0.0996811
337000, 0.099677
338000, 0.0996728
339000, 0.0996685
340000, 0.0996642
341000, 0.0996598
342000, 0.0996554
343000, 0.0996509
344000, 0.0996464
345000, 0.0996418
346000, 0.0996371
347000, 0.0996324
348000, 0.0996276
349000, 0.0996228
350000, 0.0996179
351000, 0.0996129
352000, 0.0996078
353000, 0.0996027
354000, 0.0995976
355000, 0.0995923
356000, 0.099587
357000, 0.0995817
358000, 0.0995762
359000, 0.0995707
360000, 0.0995651
361000, 0.0995595
362000, 0.0995538
363000, 0.099548
364000, 0.0995421
365000, 0.0995361
366000, 0.0995301
367000, 0.099524
368000, 0.0995178
369000, 0.0995116
370000, 0.0995052
371000, 0.0994988
372000, 0.0994923
373000, 0.0994857
374000, 0.099479
375000, 0.0994722
376000, 0.0994654
377000, 0.0994584
378000, 0.0994514
379000, 0.0994443
380000, 0.0994371
381000, 0.0994298
382000, 0.0994224
383000, 0.0994149
384000, 0.0994073
385000, 0.0993996
386000, 0.0993918
387000, 0.0993839
388000, 0.0993759
389000, 0.0993678
390000, 0.0993596
391000, 0.0993513
392000, 0.0993429
393000, 0.0993344
394000, 0.0993257
395000, 0.099317
396000, 0.0993082
397000, 0.0992992
398000, 0.0992901
399000, 0.0992809
400000, 0.0992716
401000, 0.0992621
402000, 0.0992526
403000, 0.0992429
404000, 0.0992331
405000, 0.0992232
406000, 0.0992131
407000, 0.0992029
408000, 0.0991926
409000, 0.0991822
410000, 0.0991716
411000, 0.0991608
412000, 0.09915
413000, 0.099139
414000, 0.0991279
415000, 0.0991166
416000, 0.0991051
417000, 0.0990936
418000, 0.0990819
419000, 0.09907
420000, 0.099058
421000, 0.0990458
422000, 0.0990335
423000, 0.099021
424000, 0.0990083
425000, 0.0989955
426000, 0.0989825
427000, 0.0989694
428000, 0.0989561
429000, 0.0989426
430000, 0.098929
431000, 0.0989151
432000, 0.0989011
433000, 0.098887
434000, 0.0988726
435000, 0.0988581
436000, 0.0988433
437000, 0.0988284
438000, 0.0988133
439000, 0.098798
440000, 0.0987825
441000, 0.0987669
442000, 0.098751
443000, 0.0987349
444000, 0.0987186
445000, 0.0987021
446000, 0.0986854
447000, 0.0986685
448000, 0.0986513
449000, 0.098634
450000, 0.0986164
451000, 0.0985986
452000, 0.0985806
453000, 0.0985624
454000, 0.0985439
455000, 0.0985252
456000, 0.0985062
457000, 0.098487
458000, 0.0984676
459000, 0.0984479
460000, 0.098428
461000, 0.0984078
462000, 0.0983874
463000, 0.0983667
464000, 0.0983458
465000, 0.0983246
466000, 0.0983031
467000, 0.0982814
468000, 0.0982594
469000, 0.0982371
470000, 0.0982145
471000, 0.0981916
472000, 0.0981685
473000, 0.0981451
474000, 0.0981213
475000, 0.0980973
476000, 0.098073
477000, 0.0980484
478000, 0.0980234
479000, 0.0979982
480000, 0.0979726
481000, 0.0979467
482000, 0.0979205
483000, 0.097894
484000, 0.0978671
485000, 0.09784
486000, 0.0978124
487000, 0.0977845
488000, 0.0977563
489000, 0.0977278
490000, 0.0976988
491000, 0.0976696
492000, 0.0976399
493000, 0.0976099
494000, 0.0975795
495000, 0.0975488
496000, 0.0975176
497000, 0.0974861
498000, 0.0974542
499000, 0.0974219
500000, 0.0973892
501000, 0.0973561
502000, 0.0973226
503000, 0.0972886
504000, 0.0972543
505000, 0.0972195
506000, 0.0971844
507000, 0.0971487
508000, 0.0971127
509000, 0.0970762
510000, 0.0970393
511000, 0.0970019
512000, 0.096964
513000, 0.0969257
514000, 0.096887
515000, 0.0968477
516000, 0.096808
517000, 0.0967678
518000, 0.0967271
519000, 0.0966859
520000, 0.0966443
521000, 0.0966021
522000, 0.0965594
523000, 0.0965162
524000, 0.0964724
525000, 0.0964282
526000, 0.0963834
527000, 0.0963381
528000, 0.0962922
529000, 0.0962458
530000, 0.0961988
531000, 0.0961513
532000, 0.0961032
533000, 0.0960545
534000, 0.0960053
535000, 0.0959554
536000, 0.095905
537000, 0.095854
538000, 0.0958024
539000, 0.0957501
540000, 0.0956972
541000, 0.0956438
542000, 0.0955896
543000, 0.0955349
544000, 0.0954795
545000, 0.0954234
546000, 0.0953667
547000, 0.0953094
548000, 0.0952513
549000, 0.0951926
550000, 0.0951332
551000, 0.0950731
552000, 0.0950123
553000, 0.0949508
554000, 0.0948886
555000, 0.0948257
556000, 0.094762
557000, 0.0946976
558000, 0.0946325
559000, 0.0945666
560000, 0.0944999
561000, 0.0944325
562000, 0.0943644
563000, 0.0942954
564000, 0.0942257
565000, 0.0941551
566000, 0.0940838
567000, 0.0940117
568000, 0.0939387
569000, 0.0938649
570000, 0.0937903
571000, 0.0937149
572000, 0.0936386
573000, 0.0935614
574000, 0.0934834
575000, 0.0934045
576000, 0.0933247
577000, 0.0932441
578000, 0.0931625
579000, 0.0930801
580000, 0.0929967
581000, 0.0929124
582000, 0.0928272
583000, 0.0927411
584000, 0.092654
585000, 0.092566
586000, 0.092477
587000, 0.092387
588000, 0.0922961
589000, 0.0922041
590000, 0.0921112
591000, 0.0920173
592000, 0.0919224
593000, 0.0918265
594000, 0.0917295
595000, 0.0916315
596000, 0.0915325
597000, 0.0914324
598000, 0.0913313
599000, 0.0912291
600000, 0.0911258
601000, 0.0910214
602000, 0.090916
603000, 0.0908094
604000, 0.0907018
605000, 0.090593
606000, 0.0904831
607000, 0.0903721
608000, 0.0902599
609000, 0.0901466
610000, 0.0900321
611000, 0.0899165
612000, 0.0897997
613000, 0.0896818
614000, 0.0895626
615000, 0.0894422
616000, 0.0893207
617000, 0.0891979
618000, 0.089074
619000, 0.0889488
620000, 0.0888223
621000, 0.0886946
622000, 0.0885657
623000, 0.0884355
624000, 0.0883041
625000, 0.0881714
626000, 0.0880374
627000, 0.0879022
628000, 0.0877656
629000, 0.0876278
630000, 0.0874886
631000, 0.0873481
632000, 0.0872064
633000, 0.0870633
634000, 0.0869188
635000, 0.0867731
636000, 0.086626
637000, 0.0864775
638000, 0.0863277
639000, 0.0861765
640000, 0.086024
641000, 0.0858701
642000, 0.0857148
643000, 0.0855581
644000, 0.0854001
645000, 0.0852406
646000, 0.0850798
647000, 0.0849175
648000, 0.0847539
649000, 0.0845888
650000, 0.0844223
651000, 0.0842545
652000, 0.0840851
653000, 0.0839144
654000, 0.0837422
655000, 0.0835686
656000, 0.0833936
657000, 0.0832171
658000, 0.0830392
659000, 0.0828598
660000, 0.082679
661000, 0.0824967
662000, 0.082313
663000, 0.0821279
664000, 0.0819413
665000, 0.0817532
666000, 0.0815636
667000, 0.0813726
668000, 0.0811802
669000, 0.0809863
670000, 0.0807909
671000, 0.0805941
672000, 0.0803958
673000, 0.0801961
674000, 0.0799949
675000, 0.0797922
676000, 0.0795881
677000, 0.0793826
678000, 0.0791755
679000, 0.0789671
680000, 0.0787572
681000, 0.0785458
682000, 0.078333
683000, 0.0781188
684000, 0.0779031
685000, 0.0776861
686000, 0.0774675
687000, 0.0772476
688000, 0.0770263
689000, 0.0768035
690000, 0.0765793
691000, 0.0763538
692000, 0.0761268
693000, 0.0758985
694000, 0.0756688
695000, 0.0754377
696000, 0.0752052
697000, 0.0749714
698000, 0.0747362
699000, 0.0744997
700000, 0.0742618
701000, 0.0740226
702000, 0.0737822
703000, 0.0735404
704000, 0.0732973
705000, 0.0730529
706000, 0.0728072
707000, 0.0725603
708000, 0.0723121
709000, 0.0720627
710000, 0.0718121
711000, 0.0715602
712000, 0.0713071
713000, 0.0710528
714000, 0.0707974
715000, 0.0705408
716000, 0.070283
717000, 0.0700241
718000, 0.0697641
719000, 0.069503
720000, 0.0692407
721000, 0.0689774
722000, 0.0687131
723000, 0.0684476
724000, 0.0681812
725000, 0.0679137
726000, 0.0676453
727000, 0.0673758
728000, 0.0671054
729000, 0.066834
730000, 0.0665618
731000, 0.0662886
732000, 0.0660145
733000, 0.0657395
734000, 0.0654637
735000, 0.0651871
736000, 0.0649096
737000, 0.0646314
738000, 0.0643523
739000, 0.0640726
740000, 0.0637921
741000, 0.0635108
742000, 0.0632289
743000, 0.0629463
744000, 0.0626631
745000, 0.0623792
746000, 0.0620948
747000, 0.0618097
748000, 0.0615241
749000, 0.061238
750000, 0.0609513
751000, 0.0606642
752000, 0.0603765
753000, 0.0600885
754000, 0.0598
755000, 0.0595111
756000, 0.0592218
757000, 0.0589322
758000, 0.0586422
759000, 0.058352
760000, 0.0580615
761000, 0.0577707
762000, 0.0574796
763000, 0.0571884
764000, 0.056897
765000, 0.0566054
766000, 0.0563137
767000, 0.0560219
768000, 0.05573
769000, 0.055438
770000, 0.055146
771000, 0.054854
772000, 0.054562
773000, 0.05427
774000, 0.0539781
775000, 0.0536863
776000, 0.0533946
777000, 0.053103
778000, 0.0528116
779000, 0.0525203
780000, 0.0522293
781000, 0.0519385
782000, 0.051648
783000, 0.0513578
784000, 0.0510678
785000, 0.0507782
786000, 0.0504889
787000, 0.0502
788000, 0.0499115
789000, 0.0496235
790000, 0.0493359
791000, 0.0490487
792000, 0.048762
793000, 0.0484759
794000, 0.0481903
795000, 0.0479052
796000, 0.0476208
797000, 0.0473369
798000, 0.0470537
799000, 0.0467711
800000, 0.0464892
801000, 0.0462079
802000, 0.0459274
803000, 0.0456477
804000, 0.0453686
805000, 0.0450904
806000, 0.0448129
807000, 0.0445363
808000, 0.0442605
809000, 0.0439855
810000, 0.0437114
811000, 0.0434382
812000, 0.043166
813000, 0.0428946
814000, 0.0426242
815000, 0.0423547
816000, 0.0420863
817000, 0.0418188
818000, 0.0415524
819000, 0.0412869
820000, 0.0410226
821000, 0.0407593
822000, 0.040497
823000, 0.0402359
824000, 0.0399759
825000, 0.039717
826000, 0.0394592
827000, 0.0392026
828000, 0.0389471
829000, 0.0386929
830000, 0.0384398
831000, 0.0381879
832000, 0.0379373
833000, 0.0376879
834000, 0.0374397
835000, 0.0371928
836000, 0.0369471
837000, 0.0367027
838000, 0.0364596
839000, 0.0362178
840000, 0.0359773
841000, 0.0357382
842000, 0.0355003
843000, 0.0352638
844000, 0.0350286
845000, 0.0347948
846000, 0.0345623
847000, 0.0343313
848000, 0.0341015
849000, 0.0338732
850000, 0.0336462
851000, 0.0334207
852000, 0.0331965
853000, 0.0329737
854000, 0.0327524
855000, 0.0325324
856000, 0.0323139
857000, 0.0320968
858000, 0.0318812
859000, 0.031667
860000, 0.0314542
861000, 0.0312428
862000, 0.0310329
863000, 0.0308245
864000, 0.0306174
865000, 0.0304119
866000, 0.0302078
867000, 0.0300051
868000, 0.0298039
869000, 0.0296042
870000, 0.0294059
871000, 0.0292091
872000, 0.0290137
873000, 0.0288198
874000, 0.0286274
875000, 0.0284364
876000, 0.0282468
877000, 0.0280588
878000, 0.0278721
879000, 0.027687
880000, 0.0275033
881000, 0.027321
882000, 0.0271402
883000, 0.0269608
884000, 0.0267829
885000, 0.0266064
886000, 0.0264314
887000, 0.0262578
888000, 0.0260856
889000, 0.0259149
890000, 0.0257455
891000, 0.0255776
892000, 0.0254112
893000, 0.0252461
894000, 0.0250825
895000, 0.0249202
896000, 0.0247594
897000, 0.0245999
898000, 0.0244419
899000, 0.0242852
900000, 0.0241299
901000, 0.023976
