Row, Correct, Predicted
1, 0.110987, 0.118154
2, 0.170201, 0.15129
3, 0.122448, 0.119578
4, 0.212445, 0.201888
5, 0.123998, 0.134234
6, 0.105166, 0.106457
7, 0.104163, 0.0932773
8, 0.315018, 0.248853
9, 0.342768, 0.235556
10, 0.115641, 0.0994002
11, 0.102371, 0.101399
12, 0.128676, 0.134327
13, 0.35195, 0.339527
14, 0.104014, 0.109005
15, 0.154206, 0.193132
16, 0.102018, 0.0859103
17, 0.261458, 0.220907
18, 0.117498, 0.125524
19, 0.186072, 0.193155
20, 0.104653, 0.101838
21, 0.279586, 0.348193
22, 0.178827, 0.245706
23, 0.115306, 0.117955
24, 0.105628, 0.0898072
25, 0.153149, 0.15046
26, 0.132854, 0.130339
27, 0.140005, 0.133354
28, 0.112265, 0.0949538
29, 0.129015, 0.11741
30, 0.122459, 0.125235
31, 0.151188, 0.120721
32, 0.110757, 0.10954
33, 0.157499, 0.12083
34, 0.124642, 0.120644
35, 0.130914, 0.164247
36, 0.151046, 0.128236
37, 0.110822, 0.107506
38, 0.106337, 0.0875412
39, 0.301551, 0.281417
40, 0.148727, 0.128472
41, 0.106437, 0.106844
42, 0.1073, 0.109804
43, 0.106316, 0.105914
44, 0.165381, 0.165064
45, 0.162441, 0.143825
46, 0.188267, 0.186663
47, 0.125408, 0.129496
48, 0.16288, 0.165806
49, 0.120077, 0.123565
50, 0.108759, 0.101618
51, 0.10228, 0.092976
52, 0.100847, 0.0919474
53, 0.107022, 0.102433
54, 0.288884, 0.262919
55, 0.242446, 0.20107
56, 0.101325, 0.106084
57, 0.107594, 0.104559
58, 0.102688, 0.0974128
59, 0.104625, 0.0948204
60, 0.112157, 0.112196
61, 0.149623, 0.159387
62, 0.117294, 0.117
63, 0.204047, 0.188392
64, 0.215572, 0.224765
65, 0.102742, 0.103316
66, 0.186367, 0.171745
67, 0.213215, 0.286876
68, 0.23148, 0.183052
69, 0.145826, 0.13375
70, 0.205717, 0.159084
71, 0.167282, 0.163669
72, 0.147185, 0.123423
73, 0.186049, 0.161576
74, 0.120597, 0.107734
75, 0.151442, 0.131795
76, 0.111622, 0.115687
77, 0.152263, 0.142427
78, 0.130827, 0.111853
79, 0.115278, 0.127457
80, 0.156408, 0.164923
81, 0.412547, 0.406873
82, 0.160313, 0.170962
83, 0.117986, 0.110224
84, 0.117534, 0.141093
85, 0.321486, 0.343273
86, 0.162925, 0.135658
87, 0.10644, 0.108225
88, 0.105333, 0.0945976
89, 0.52702, 0.495303
90, 0.151299, 0.194692
91, 0.102368, 0.0988704
92, 0.125869, 0.121186
93, 0.100872, 0.0914733
94, 0.219593, 0.199218
95, 0.103673, 0.10135
96, 0.196229, 0.186261
97, 0.123991, 0.123244
98, 0.118592, 0.120806
99, 0.311163, 0.304424
100, 0.264273, 0.275915
101, 0.118141, 0.113882
102, 0.258124, 0.276785
103, 0.102023, 0.0952093
104, 0.129356, 0.13246
105, 0.208598, 0.180541
106, 0.194747, 0.192489
107, 0.105971, 0.111792
108, 0.127665, 0.149906
109, 0.145047, 0.145913
110, 0.122009, 0.0910436
111, 0.132457, 0.124704
112, 0.129347, 0.132514
113, 0.107076, 0.0951932
114, 0.110242, 0.100816
115, 0.107431, 0.101669
116, 0.1091, 0.0997933
117, 0.123708, 0.105743
118, 0.234647, 0.212306
119, 0.181858, 0.139075
120, 0.299533, 0.298013
121, 0.199765, 0.246751
122, 0.104041, 0.104004
123, 0.189618, 0.202206
124, 0.195861, 0.191945
125, 0.101678, 0.0957911
126, 0.371482, 0.385798
127, 0.113266, 0.103351
128, 0.309347, 0.372873
129, 0.200233, 0.189652
130, 0.144443, 0.13139
131, 0.20438, 0.163056
132, 0.10285, 0.0883019
133, 0.100711, 0.100449
134, 0.219167, 0.225181
135, 0.108747, 0.102268
136, 0.110644, 0.114607
137, 0.243333, 0.219372
138, 0.166813, 0.168163
139, 0.111832, 0.112029
140, 0.10798, 0.100403
141, 0.151232, 0.132341
142, 0.130095, 0.13138
143, 0.129706, 0.125014
144, 0.253566, 0.20535
145, 0.112265, 0.10926
146, 0.178938, 0.22287
147, 0.190445, 0.168604
148, 0.1994, 0.213596
149, 0.162481, 0.135345
150, 0.10893, 0.0916114
151, 0.100579, 0.0937802
152, 0.244175, 0.283243
153, 0.10816, 0.0894298
154, 0.151993, 0.156054
155, 0.117409, 0.120466
156, 0.164368, 0.13459
157, 0.209683, 0.232717
158, 0.151972, 0.127589
159, 0.109878, 0.11606
160, 0.18155, 0.243745
161, 0.403377, 0.357622
162, 0.110851, 0.103546
163, 0.11065, 0.104896
164, 0.112046, 0.10534
165, 0.102544, 0.0908162
166, 0.106441, 0.104398
167, 0.13667, 0.16605
168, 0.280686, 0.291376
169, 0.137327, 0.114868
170, 0.26141, 0.205439
171, 0.375542, 0.260795
172, 0.228233, 0.238606
173, 0.23223, 0.183667
174, 0.100753, 0.101783
175, 0.112199, 0.12088
176, 0.10342, 0.0956568
177, 0.1041, 0.0919195
178, 0.146468, 0.133432
179, 0.167755, 0.142451
180, 0.103871, 0.0960457
181, 0.119817, 0.11059
182, 0.113417, 0.116027
183, 0.263934, 0.285815
184, 0.135639, 0.130226
185, 0.111744, 0.114569
186, 0.194951, 0.156955
187, 0.192397, 0.195232
188, 0.140119, 0.127565
189, 0.415752, 0.307777
190, 0.156162, 0.151501
191, 0.106939, 0.102774
192, 0.121157, 0.110023
193, 0.385624, 0.281237
194, 0.199012, 0.181645
195, 0.168939, 0.203954
196, 0.206283, 0.164394
197, 0.129224, 0.112082
198, 0.115105, 0.100953
199, 0.130121, 0.115913
200, 0.104394, 0.0973448
201, 0.131306, 0.116414
202, 0.113777, 0.0911792
203, 0.150383, 0.143525
204, 0.283951, 0.206302
205, 0.454988, 0.431411
206, 0.131418, 0.184361
207, 0.148817, 0.149108
208, 0.107607, 0.0964694
209, 0.10922, 0.105676
210, 0.185918, 0.17001
211, 0.124564, 0.106085
212, 0.105778, 0.0994756
213, 0.276431, 0.279208
214, 0.102594, 0.0888062
215, 0.106136, 0.109714
216, 0.213101, 0.214163
217, 0.139162, 0.148466
218, 0.190725, 0.209671
219, 0.164897, 0.173702
220, 0.177113, 0.148933
221, 0.129674, 0.10465
222, 0.253012, 0.215342
223, 0.103974, 0.101558
224, 0.143356, 0.129985
225, 0.300505, 0.257018
226, 0.136937, 0.133651
227, 0.104922, 0.114874
228, 0.102834, 0.0956665
229, 0.108307, 0.117996
230, 0.176001, 0.150159
231, 0.123425, 0.134294
232, 0.113066, 0.117881
233, 0.274922, 0.248519
234, 0.128303, 0.146692
235, 0.109683, 0.10082
236, 0.102879, 0.104982
237, 0.106356, 0.0931902
238, 0.158419, 0.123201
239, 0.282664, 0.261839
240, 0.168685, 0.211972
241, 0.300712, 0.222734
242, 0.147888, 0.135465
243, 0.729116, 0.713478
244, 0.130701, 0.11671
245, 0.198531, 0.201584
246, 0.548279, 0.396665
247, 0.122916, 0.132385
248, 0.165144, 0.210317
249, 0.602205, 0.546195
250, 0.281671, 0.25718
251, 0.164687, 0.168372
252, 0.12775, 0.119765
253, 0.136267, 0.162871
254, 0.136522, 0.129684
255, 0.102017, 0.0918134
256, 0.104839, 0.124123
257, 0.286304, 0.309417
258, 0.100521, 0.0948338
259, 0.242264, 0.26956
260, 0.254207, 0.290872
261, 0.104342, 0.0981331
262, 0.273557, 0.278852
263, 0.102788, 0.0927074
264, 0.124178, 0.116211
265, 0.142718, 0.14161
266, 0.165846, 0.149067
267, 0.261746, 0.252198
268, 0.133812, 0.137891
269, 0.245124, 0.245367
270, 0.154803, 0.134954
271, 0.108569, 0.111739
272, 0.114916, 0.112199
273, 0.120945, 0.123505
274, 0.102214, 0.108041
275, 0.181997, 0.14026
276, 0.14821, 0.203209
277, 0.1432, 0.135993
278, 0.330988, 0.259657
279, 0.242922, 0.233463
280, 0.100685, 0.103958
281, 0.14934, 0.162138
282, 0.103865, 0.0927088
283, 0.563139, 0.515946
284, 0.101487, 0.0992357
285, 0.143354, 0.129427
286, 0.178732, 0.186878
287, 0.129587, 0.123705
288, 0.259875, 0.221225
289, 0.10756, 0.0976378
290, 0.148532, 0.127713
291, 0.110769, 0.0921638
292, 0.103075, 0.100062
293, 0.136585, 0.139183
294, 0.232143, 0.189312
295, 0.147996, 0.157606
296, 0.130983, 0.129622
297, 0.377871, 0.360731
298, 0.181165, 0.14876
299, 0.221413, 0.166616
300, 0.10647, 0.114434
301, 0.132348, 0.127989
302, 0.108681, 0.109252
303, 0.114844, 0.0869402
304, 0.130042, 0.1329
305, 0.104818, 0.0995417
306, 0.233544, 0.295417
307, 0.382201, 0.388264
308, 0.107558, 0.0950706
309, 0.111313, 0.119443
310, 0.170473, 0.14852
311, 0.422719, 0.401666
312, 0.249396, 0.262584
313, 0.102188, 0.109458
314, 0.108992, 0.102267
315, 0.115134, 0.144398
316, 0.100944, 0.10596
317, 0.108818, 0.0974703
318, 0.107647, 0.100275
319, 0.166689, 0.211514
320, 0.247382, 0.342173
321, 0.111641, 0.104415
322, 0.116288, 0.125315
323, 0.294163, 0.276567
324, 0.110405, 0.0980921
325, 0.15934, 0.147073
326, 0.180858, 0.182776
327, 0.164895, 0.189106
328, 0.206977, 0.162327
329, 0.10094, 0.087732
330, 0.102642, 0.104694
331, 0.370859, 0.305638
332, 0.312054, 0.296173
333, 0.15774, 0.150438
334, 0.275744, 0.248182
335, 0.210707, 0.192968
336, 0.138898, 0.11068
337, 0.301266, 0.210535
338, 0.103615, 0.0925111
339, 0.10296, 0.0949954
340, 0.236452, 0.241009
341, 0.112175, 0.14013
342, 0.126728, 0.14538
343, 0.138988, 0.140519
344, 0.100795, 0.099779
345, 0.101886, 0.100309
346, 0.108541, 0.107995
347, 0.100213, 0.0931083
348, 0.114374, 0.107879
349, 0.110298, 0.098266
350, 0.174649, 0.172399
351, 0.1028, 0.0962975
352, 0.125122, 0.121949
353, 0.10088, 0.095878
354, 0.104708, 0.0945207
355, 0.108428, 0.104319
356, 0.101496, 0.10127
357, 0.40531, 0.332255
358, 0.101683, 0.0962447
359, 0.141521, 0.133293
360, 0.262518, 0.283665
361, 0.342078, 0.301693
362, 0.111223, 0.0929702
363, 0.208508, 0.200334
364, 0.204666, 0.285793
365, 0.108471, 0.0932096
366, 0.370387, 0.318729
367, 0.103552, 0.101383
368, 0.439275, 0.403942
369, 0.135121, 0.120926
370, 0.138922, 0.137693
371, 0.118588, 0.121424
372, 0.101974, 0.0944276
373, 0.164462, 0.174084
374, 0.166745, 0.134764
375, 0.132361, 0.110797
376, 0.19893, 0.212423
377, 0.12437, 0.12124
378, 0.150536, 0.119113
379, 0.105235, 0.101775
380, 0.321445, 0.302188
381, 0.1811, 0.177607
382, 0.10127, 0.0987811
383, 0.122534, 0.117132
384, 0.125164, 0.121969
385, 0.284527, 0.284592
386, 0.189598, 0.171659
387, 0.194727, 0.175661
388, 0.140505, 0.11142
389, 0.101432, 0.0857148
390, 0.106182, 0.0969542
391, 0.16507, 0.174697
392, 0.139528, 0.155049
393, 0.102491, 0.0877323
394, 0.167797, 0.207772
395, 0.109808, 0.110379
396, 0.117316, 0.107511
397, 0.111186, 0.0938114
398, 0.195511, 0.244095
399, 0.119677, 0.159338
400, 0.9, 0.945063
401, 0.124815, 0.116587
402, 0.142323, 0.134915
403, 0.256049, 0.252975
404, 0.104899, 0.0945924
405, 0.111036, 0.106563
406, 0.111975, 0.106204
407, 0.106737, 0.102685
408, 0.158264, 0.178565
409, 0.14182, 0.124098
410, 0.118342, 0.131671
411, 0.197017, 0.182324
412, 0.248116, 0.227023
413, 0.102972, 0.0878414
414, 0.103627, 0.106759
415, 0.315225, 0.282885
416, 0.291857, 0.357094
417, 0.210592, 0.220075
418, 0.141417, 0.129562
419, 0.12537, 0.121709
420, 0.117517, 0.108541
421, 0.116375, 0.116265
422, 0.110144, 0.103692
423, 0.478406, 0.451147
424, 0.526459, 0.457763
425, 0.45608, 0.409588
426, 0.137319, 0.11707
427, 0.252585, 0.224078
428, 0.194746, 0.169428
429, 0.135336, 0.124867
430, 0.329614, 0.425271
431, 0.117454, 0.134887
432, 0.113029, 0.159941
433, 0.11132, 0.107388
434, 0.155542, 0.138818
435, 0.119726, 0.125315
436, 0.209358, 0.232675
437, 0.172843, 0.15338
438, 0.102795, 0.103962
439, 0.173157, 0.180346
440, 0.287878, 0.298175
441, 0.356558, 0.402528
442, 0.153564, 0.138311
443, 0.106319, 0.101755
444, 0.105082, 0.104483
445, 0.112738, 0.12243
446, 0.25709, 0.19603
447, 0.112201, 0.119864
448, 0.109967, 0.114821
449, 0.118788, 0.118251
450, 0.460326, 0.328181
451, 0.109569, 0.104404
452, 0.108279, 0.117967
453, 0.280334, 0.367713
454, 0.154268, 0.2176
455, 0.217141, 0.295168
456, 0.105927, 0.115465
457, 0.115925, 0.108021
458, 0.102714, 0.101963
459, 0.172616, 0.156568
460, 0.127565, 0.123085
461, 0.104096, 0.101156
462, 0.161236, 0.156287
463, 0.12269, 0.125802
464, 0.13003, 0.115214
465, 0.100255, 0.0959204
466, 0.216679, 0.243253
467, 0.480336, 0.474191
468, 0.112726, 0.11211
469, 0.101395, 0.106108
470, 0.439137, 0.468897
471, 0.140705, 0.155287
472, 0.100703, 0.0896034
473, 0.106399, 0.103179
474, 0.139623, 0.12802
475, 0.236125, 0.258812
476, 0.121901, 0.122863
477, 0.110344, 0.0963177
478, 0.10519, 0.101872
479, 0.214211, 0.216144
480, 0.194558, 0.197464
481, 0.357685, 0.314682
482, 0.103601, 0.104833
483, 0.113297, 0.117334
484, 0.133655, 0.144989
485, 0.32508, 0.226196
486, 0.108502, 0.100136
487, 0.809529, 0.722576
488, 0.113424, 0.108129
489, 0.355434, 0.290808
490, 0.145976, 0.13528
491, 0.113403, 0.119237
492, 0.105639, 0.104194
493, 0.112784, 0.111895
494, 0.169073, 0.142804
495, 0.11604, 0.116976
496, 0.115289, 0.113
497, 0.133635, 0.125019
498, 0.10672, 0.101189
499, 0.166743, 0.185573
500, 0.148135, 0.136888
501, 0.10332, 0.091199
502, 0.285274, 0.269888
503, 0.121994, 0.115664
504, 0.263561, 0.301379
505, 0.192442, 0.174021
506, 0.100928, 0.111535
507, 0.103352, 0.107552
508, 0.122349, 0.119075
509, 0.103135, 0.0973224
510, 0.776247, 0.833392
