epoch, rmse, rmse-dn
1000, 0.0424278, 52.6486
2000, 0.0387635, 48.1017
3000, 0.0377413, 46.8332
4000, 0.0370026, 45.9165
5000, 0.0362448, 44.9762
6000, 0.0355152, 44.0708
7000, 0.0348151, 43.2021
8000, 0.0339902, 42.1784
9000, 0.0331531, 41.1397
10000, 0.0325729, 40.4197
11000, 0.0321404, 39.8831
12000, 0.031752, 39.4011
13000, 0.0314251, 38.9954
14000, 0.0312087, 38.7269
15000, 0.0310767, 38.563
16000, 0.0309811, 38.4444
17000, 0.0309256, 38.3756
19000, 0.0296175, 36.7523
21000, 0.0291866, 36.2177
22000, 0.0291478, 36.1695
23000, 0.0291249, 36.1411
24000, 0.0291186, 36.1332
26000, 0.0288174, 35.7595
27000, 0.0288083, 35.7483
28000, 0.0288007, 35.7387
29000, 0.0287953, 35.7321
30000, 0.0287903, 35.7259
31000, 0.0287854, 35.7198
32000, 0.0287829, 35.7167
33000, 0.028782, 35.7155
34000, 0.0287811, 35.7145
36000, 0.0284173, 35.263
37000, 0.0284171, 35.2628
38000, 0.0284129, 35.2576
39000, 0.0284118, 35.2562
40000, 0.0284086, 35.2522
41000, 0.0284066, 35.2498
42000, 0.0284045, 35.2472
43000, 0.0284031, 35.2454
45000, 0.0280945, 34.8624
46000, 0.0280906, 34.8577
47000, 0.0280874, 34.8536
48000, 0.028085, 34.8507
49000, 0.0280838, 34.8491
51000, 0.0278775, 34.5931
53000, 0.0278485, 34.5572
55000, 0.0278297, 34.5339
57000, 0.0278122, 34.5121
59000, 0.0277953, 34.4912
61000, 0.0277783, 34.4701
63000, 0.027762, 34.4498
64000, 0.0277467, 34.4309
65000, 0.0277316, 34.4121
66000, 0.0277179, 34.3951
67000, 0.0277047, 34.3787
68000, 0.0276923, 34.3634
69000, 0.0276803, 34.3485
70000, 0.0276689, 34.3343
71000, 0.0276581, 34.3209
72000, 0.0276479, 34.3083
73000, 0.0276383, 34.2963
74000, 0.027629, 34.2849
75000, 0.0276201, 34.2738
76000, 0.0276118, 34.2635
77000, 0.027604, 34.2538
78000, 0.0275965, 34.2445
79000, 0.0275891, 34.2354
80000, 0.0275823, 34.2269
81000, 0.0275761, 34.2192
82000, 0.0275703, 34.212
83000, 0.0275645, 34.2047
84000, 0.027558, 34.1967
85000, 0.0275518, 34.1891
86000, 0.0275471, 34.1832
87000, 0.0275426, 34.1776
88000, 0.0275379, 34.1718
89000, 0.0275326, 34.1652
90000, 0.027528, 34.1595
91000, 0.0275231, 34.1534
92000, 0.027519, 34.1483
93000, 0.027515, 34.1434
94000, 0.0275113, 34.1388
95000, 0.0275078, 34.1345
96000, 0.0275043, 34.13
97000, 0.0275008, 34.1258
98000, 0.0274974, 34.1215
99000, 0.0274941, 34.1175
100000, 0.0274905, 34.113
101000, 0.0274873, 34.109
102000, 0.0274843, 34.1052
103000, 0.0274808, 34.101
