epoch, rmse, rmse-dn, rsqr, mrse
1000, 0.0400003, 49.6363, 0.927399, 0.0151365
2000, 0.0377959, 46.901, 0.929389, 0.0156485
3000, 0.0368349, 45.7084, 0.930156, 0.0160718
4000, 0.0361882, 44.9059, 0.931667, 0.0158508
5000, 0.0357203, 44.3253, 0.932997, 0.0155761
6000, 0.0354109, 43.9413, 0.933977, 0.0153709
7000, 0.0352016, 43.6817, 0.934486, 0.0152919
8000, 0.0349892, 43.4182, 0.934463, 0.0156203
9000, 0.0349733, 43.3984, 0.933791, 0.0158479
10000, 0.0349637, 43.3865, 0.933052, 0.0160366
11000, 0.0349028, 43.3109, 0.93254, 0.0161632
12000, 0.0347346, 43.1022, 0.932535, 0.0161826
13000, 0.0343587, 42.6358, 0.933992, 0.015847
14000, 0.0335991, 41.6932, 0.938792, 0.0145478
15000, 0.0329745, 40.9181, 0.942562, 0.0136285
16000, 0.0326921, 40.5677, 0.944147, 0.0134568
17000, 0.0325983, 40.4513, 0.944319, 0.0136399
19000, 0.0318609, 39.5362, 0.943823, 0.0132563
21000, 0.0306746, 38.0641, 0.945284, 0.0131733
23000, 0.0299377, 37.1497, 0.94553, 0.0132441
25000, 0.0299253, 37.1343, 0.945482, 0.0133852
27000, 0.029906, 37.1104, 0.94554, 0.0135434
29000, 0.0298977, 37.1001, 0.945648, 0.0137672
31000, 0.0298902, 37.0908, 0.945774, 0.0139988
33000, 0.0298902, 37.0908, 0.94602, 0.0142072
