Row, Predicted, Correct
1, 0.107732, 0.10342
2, 0.0922544, 0.108818
3, 0.214793, 0.212445
4, 0.234613, 0.195511
5, 0.133391, 0.140196
6, 0.149586, 0.169073
7, 0.1116, 0.1091
8, 0.129178, 0.133635
9, 0.19646, 0.14821
10, 0.166758, 0.205717
11, 0.101303, 0.103627
12, 0.10043, 0.104625
13, 0.27748, 0.262518
14, 0.181574, 0.160313
15, 0.191669, 0.164462
16, 0.140237, 0.162925
17, 0.207308, 0.1994
18, 0.131004, 0.128676
19, 0.118035, 0.131306
20, 0.199958, 0.194747
21, 0.146091, 0.116288
22, 0.12679, 0.129587
23, 0.103445, 0.105639
24, 0.192518, 0.242446
25, 0.495375, 0.548279
26, 0.127184, 0.122459
27, 0.105281, 0.101678
28, 0.179235, 0.16288
29, 0.124863, 0.112201
30, 0.133746, 0.147888
31, 0.106475, 0.103615
32, 0.136009, 0.130042
33, 0.103862, 0.10816
34, 0.36826, 0.371482
35, 0.0999286, 0.102023
36, 0.144062, 0.162481
37, 0.146777, 0.129652
38, 0.309568, 0.291126
39, 0.140258, 0.132348
40, 0.177076, 0.164897
41, 0.101724, 0.108836
42, 0.196861, 0.196229
43, 0.106229, 0.103352
44, 0.341943, 0.40531
45, 0.113555, 0.113066
46, 0.102262, 0.106356
47, 0.112107, 0.10893
48, 0.124246, 0.12775
49, 0.115443, 0.132361
50, 0.31649, 0.244175
51, 0.10077, 0.110298
52, 0.116303, 0.122534
53, 0.161237, 0.167282
54, 0.195816, 0.194558
55, 0.192252, 0.165144
56, 0.229438, 0.178827
57, 0.249429, 0.248116
58, 0.300328, 0.321445
59, 0.225822, 0.178938
60, 0.178129, 0.1811
61, 0.132401, 0.136522
62, 0.209274, 0.181266
63, 0.210802, 0.210707
64, 0.235507, 0.241157
65, 0.118543, 0.124178
66, 0.144123, 0.138898
67, 0.149521, 0.13003
68, 0.289484, 0.263561
69, 0.278085, 0.281671
70, 0.109186, 0.10672
71, 0.110931, 0.105333
72, 0.103383, 0.1028
73, 0.10101, 0.100521
74, 0.285194, 0.247382
75, 0.133732, 0.164368
76, 0.201478, 0.151299
77, 0.103905, 0.10332
78, 0.10944, 0.112265
79, 0.124521, 0.121467
80, 0.256218, 0.228233
81, 0.214133, 0.154268
82, 0.208249, 0.219593
83, 0.129345, 0.127565
84, 0.110685, 0.117135
85, 0.111331, 0.106437
86, 0.100199, 0.10951
87, 0.121616, 0.119726
88, 0.107615, 0.104041
89, 0.3365, 0.370859
90, 0.0976294, 0.100944
91, 0.26681, 0.242264
92, 0.112565, 0.115105
93, 0.105554, 0.112784
94, 0.366565, 0.402651
95, 0.803108, 0.809529
96, 0.10362, 0.108759
97, 0.13245, 0.129224
98, 0.250304, 0.342768
99, 0.123373, 0.104839
100, 0.142135, 0.118592
101, 0.131717, 0.14182
102, 0.108238, 0.103673
103, 0.107002, 0.104818
104, 0.14153, 0.166745
105, 0.0934775, 0.10816
106, 0.207231, 0.232143
107, 0.135957, 0.140005
108, 0.209334, 0.208508
109, 0.137264, 0.151046
110, 0.106565, 0.113297
111, 0.0950971, 0.10519
112, 0.12879, 0.122916
113, 0.105285, 0.110769
114, 0.301748, 0.370387
115, 0.117965, 0.125408
116, 0.167717, 0.130701
117, 0.120668, 0.124815
118, 0.182226, 0.136267
119, 0.0962977, 0.100255
120, 0.0979096, 0.100928
121, 0.100958, 0.101487
122, 0.110182, 0.111186
123, 0.169167, 0.20438
124, 0.10597, 0.110344
125, 0.255922, 0.32508
126, 0.127943, 0.11295
127, 0.124594, 0.122009
128, 0.116861, 0.111641
129, 0.104798, 0.10088
130, 0.129107, 0.12269
131, 0.171711, 0.130914
132, 0.323227, 0.321486
133, 0.2165, 0.243333
134, 0.399943, 0.422719
135, 0.237245, 0.166689
136, 0.198774, 0.190725
137, 0.111561, 0.112726
138, 0.165306, 0.167755
139, 0.133324, 0.113298
140, 0.114751, 0.113417
141, 0.122764, 0.11021
142, 0.141949, 0.141521
143, 0.140661, 0.140705
144, 0.142892, 0.170473
145, 0.148655, 0.156657
146, 0.174968, 0.186049
147, 0.132054, 0.129356
148, 0.089817, 0.10798
149, 0.158111, 0.148817
150, 0.383755, 0.412547
151, 0.30253, 0.355434
152, 0.115215, 0.115641
153, 0.100064, 0.106737
154, 0.107852, 0.107022
155, 0.0961115, 0.101683
156, 0.193932, 0.164895
157, 0.190971, 0.219167
158, 0.101622, 0.111744
159, 0.135016, 0.149737
160, 0.277602, 0.258124
161, 0.302083, 0.315225
162, 0.304032, 0.385624
163, 0.154103, 0.170201
164, 0.142443, 0.148727
165, 0.272274, 0.273557
166, 0.319911, 0.311163
167, 0.127188, 0.109878
168, 0.106764, 0.110851
169, 0.150155, 0.154206
170, 0.142847, 0.138988
171, 0.147538, 0.145452
172, 0.185955, 0.164687
173, 0.176771, 0.178732
174, 0.190391, 0.165381
175, 0.147106, 0.136937
176, 0.103403, 0.101974
177, 0.147677, 0.145047
178, 0.202689, 0.184193
179, 0.152975, 0.138922
180, 0.111387, 0.129448
181, 0.117874, 0.131539
182, 0.179099, 0.208316
183, 0.101784, 0.10296
184, 0.106494, 0.113266
185, 0.29429, 0.299533
186, 0.195743, 0.175354
187, 0.198975, 0.195861
188, 0.13292, 0.151188
189, 0.130297, 0.144443
190, 0.364339, 0.382201
191, 0.122597, 0.128556
192, 0.103048, 0.112046
193, 0.11126, 0.109821
194, 0.109805, 0.102742
195, 0.234912, 0.348933
196, 0.152238, 0.155542
197, 0.100287, 0.101432
198, 0.11213, 0.106316
199, 0.126014, 0.121509
200, 0.100949, 0.107647
201, 0.16263, 0.181165
202, 0.0974434, 0.110357
203, 0.135202, 0.122448
204, 0.143398, 0.132428
205, 0.186191, 0.194727
206, 0.120653, 0.108793
207, 0.198103, 0.199012
208, 0.15726, 0.149623
209, 0.200339, 0.25709
210, 0.311908, 0.282664
211, 0.336419, 0.357685
212, 0.118086, 0.146523
213, 0.273165, 0.342078
214, 0.108853, 0.104653
215, 0.165481, 0.162441
216, 0.0901739, 0.108428
217, 0.108943, 0.104163
218, 0.13059, 0.130983
219, 0.166132, 0.221413
220, 0.16662, 0.147996
221, 0.18418, 0.143503
222, 0.104453, 0.105235
223, 0.0961048, 0.100213
224, 0.101828, 0.100703
225, 0.132034, 0.13032
226, 0.283761, 0.284527
227, 0.1161, 0.11132
228, 0.121515, 0.135121
229, 0.141748, 0.143354
230, 0.147262, 0.158419
231, 0.113099, 0.101325
232, 0.124412, 0.113403
233, 0.196054, 0.156925
234, 0.166504, 0.152263
235, 0.108842, 0.109683
236, 0.177155, 0.206283
237, 0.125829, 0.125122
238, 0.370703, 0.403377
239, 0.110268, 0.137327
240, 0.103411, 0.102834
241, 0.250361, 0.245124
242, 0.104206, 0.102836
243, 0.15028, 0.133812
244, 0.092581, 0.100579
245, 0.100776, 0.105166
246, 0.205476, 0.200233
247, 0.0968755, 0.100795
248, 0.0966806, 0.101395
249, 0.100348, 0.107431
250, 0.142367, 0.136412
251, 0.123887, 0.116375
252, 0.165349, 0.172843
253, 0.135339, 0.141417
254, 0.124672, 0.140902
255, 0.104125, 0.117517
256, 0.275302, 0.330988
257, 0.102982, 0.113107
258, 0.576806, 0.602205
259, 0.161465, 0.172616
260, 0.146877, 0.194951
261, 0.167325, 0.166813
262, 0.1271, 0.113029
263, 0.102029, 0.102503
264, 0.418477, 0.45608
265, 0.19296, 0.208598
266, 0.0991906, 0.100753
267, 0.13548, 0.15774
268, 0.295382, 0.301551
269, 0.260091, 0.233544
270, 0.105014, 0.104342
271, 0.107307, 0.102788
272, 0.135931, 0.130827
273, 0.369298, 0.279586
274, 0.147023, 0.218798
275, 0.305138, 0.199765
276, 0.103525, 0.107607
277, 0.214169, 0.283951
278, 0.13649, 0.132457
279, 0.110706, 0.120077
280, 0.110076, 0.106032
281, 0.0970192, 0.109808
282, 0.265202, 0.275744
283, 0.126149, 0.134683
284, 0.354664, 0.291857
285, 0.14512, 0.137429
286, 0.113539, 0.123852
287, 0.300411, 0.276431
288, 0.275188, 0.294163
289, 0.126008, 0.120597
290, 0.302145, 0.264273
291, 0.264483, 0.285274
292, 0.249454, 0.261746
293, 0.10432, 0.108502
294, 0.210946, 0.213101
295, 0.102598, 0.103135
296, 0.483911, 0.526459
