NetworkId, hNodes, Validation Accuracy (AVG), Validation Accuracy (AVG-DN), Test Accuracy (SET), Test Accuracy (SET-DN), Total Passes
0, 10, 0.0247829, 30.7531, 0.024761, 30.726, 894000
1, 10, 0.0232498, 28.8507, 0.0235005, 29.1618, 103000
2, 10, 0.0246809, 30.6265, 0.0248059, 30.7817, 1533000
3, 10, 0.0255554, 31.7117, 0.0251324, 31.1868, 930000
4, 10, 0.0262652, 32.5925, 0.0264341, 32.8021, 363000
5, 10, 0.0242935, 30.1458, 0.0244743, 30.3702, 1232000
6, 10, 0.0254102, 31.5315, 0.0256135, 31.7838, 57000
7, 10, 0.0232297, 28.8258, 0.0233518, 28.9773, 87000
8, 10, 0.0263215, 32.6624, 0.0266129, 33.024, 94000
9, 10, 0.0249689, 30.9839, 0.0251435, 31.2006, 681000
10, 11, 0.0234726, 29.1271, 0.0239797, 29.7564, 387000
11, 11, 0.0254345, 31.5617, 0.0256026, 31.7702, 96000
12, 11, 0.0245847, 30.5071, 0.0246108, 30.5396, 148000
13, 11, 0.0258267, 32.0484, 0.0260955, 32.382, 54000
14, 11, 0.0275282, 34.1598, 0.027463, 34.0788, 757000
15, 11, 0.0238288, 29.5692, 0.0241032, 29.9097, 60000
16, 11, 0.0236112, 29.2991, 0.0238493, 29.5947, 162000
17, 11, 0.0231593, 28.7384, 0.0232021, 28.7915, 2096000
18, 11, 0.0244043, 30.2833, 0.0246536, 30.5927, 1078000
19, 11, 0.0257471, 31.9496, 0.0263315, 32.6747, 1344000
20, 12, 0.0257017, 31.8933, 0.0259062, 32.147, 1259000
21, 12, 0.0231996, 28.7884, 0.0234148, 29.0554, 954000
22, 12, 0.0224365, 27.8414, 0.0226916, 28.158, 1441000
23, 12, 0.0232064, 28.7969, 0.0234265, 29.0699, 183000
24, 12, 0.0216563, 26.8733, 0.0217623, 27.0049, 1058000
25, 12, 0.0238891, 29.644, 0.023943, 29.7109, 139000
26, 12, 0.0223761, 27.7665, 0.0225234, 27.9493, 360000
27, 12, 0.0233285, 28.9484, 0.0233813, 29.0138, 719000
28, 12, 0.021933, 27.2167, 0.0221408, 27.4746, 235000
29, 12, 0.0234024, 29.04, 0.0235186, 29.1842, 146000
