NetworkId, hNodes, Validation Accuracy (AVG), Validation Accuracy (AVG-DN), Test Accuracy (SET), Test Accuracy (SET-DN), Total Passes
0, 11, 0.021978, 27.2725, 0.0215096, 26.6912, 781000
1, 11, 0.021366, 26.5131, 0.0215102, 26.692, 1841000
2, 11, 0.0210186, 26.0819, 0.0213536, 26.4977, 1587000
3, 11, 0.0203855, 25.2963, 0.0207071, 25.6954, 1710000
4, 11, 0.021406, 26.5627, 0.0217555, 26.9965, 1794000
5, 11, 0.0216992, 26.9266, 0.0216151, 26.8221, 1264000
6, 11, 0.0246183, 30.5489, 0.0244996, 30.4015, 105000
7, 11, 0.0227768, 28.2637, 0.0231441, 28.7196, 1214000
8, 11, 0.0223712, 27.7604, 0.0226511, 28.1078, 1317000
9, 11, 0.0201955, 25.0606, 0.0201302, 24.9796, 3163000
10, 12, 0.0209507, 25.9977, 0.0209323, 25.9749, 1428000
11, 12, 0.0217807, 27.0277, 0.0221886, 27.5338, 1455000
12, 12, 0.0272389, 33.8008, 0.0274984, 34.1227, 45000
13, 12, 0.042257, 52.4367, 0.0428093, 53.122, 1000
14, 12, 0.0411332, 51.0422, 0.0412382, 51.1725, 1000
15, 12, 0.0437843, 54.3319, 0.0432436, 53.661, 1000
16, 12, 0.0412967, 51.2451, 0.0425072, 52.7472, 1000
17, 12, 0.0415162, 51.5174, 0.0429603, 53.3094, 1000
18, 12, 0.0404601, 50.2069, 0.0412505, 51.1877, 1000
19, 12, 0.0432143, 53.6246, 0.042997, 53.355, 1000
