NetworkId, hNodes, Effective Passes, Total Passes, Step Parameter, Validation RMSE, Validation RMSE (DN), Test RMSE, Test RMSE DN, R^2, MSRE
0, 12, 463000, 474000, 0.0111658, 0.024938, 30.9456, 0.0251834, 31.25, 0.938492, 0.0161273
1, 12, 453000, 471000, 0.0261567, 0.0219711, 27.264, 0.022255, 27.6162, 0.951745, 0.0124851
2, 12, 712000, 737000, 0.095348, 0.0196862, 24.4286, 0.0196132, 24.338, 0.96331, 0.00995616
4, 12, 31000, 37000, 0.1, 0.0252984, 31.3927, 0.0260078, 32.2731, 0.936175, 0.0132993
3, 12, 434000, 445000, 0.0153641, 0.0225151, 27.9389, 0.0227071, 28.1772, 0.950102, 0.0119444
5, 12, 677000, 692000, 0.0159076, 0.0220339, 27.3419, 0.022087, 27.4077, 0.953313, 0.011719
1, 13, 570000, 584000, 0.021122, 0.0222372, 27.5942, 0.0226345, 28.0872, 0.950882, 0.0120897
0, 13, 784000, 801000, 0.0294045, 0.0194346, 24.1164, 0.0194656, 24.1549, 0.963945, 0.00953704
2, 13, 740000, 858000, 0.0999649, 0.0185705, 23.0441, 0.0188932, 23.4445, 0.965394, 0.0100522
3, 13, 437000, 446000, 0.0101649, 0.0220351, 27.3433, 0.022262, 27.6249, 0.952344, 0.0118198
5, 13, 564000, 576000, 0.0112435, 0.0220526, 27.365, 0.0221162, 27.444, 0.953006, 0.0121283
4, 13, 857000, 864000, 0.01, 0.0231708, 28.7527, 0.0232886, 28.8988, 0.948472, 0.0123393
0, 14, 446000, 456000, 0.0133103, 0.0204227, 25.3425, 0.0206127, 25.5784, 0.959323, 0.0105287
2, 14, 1058000, 1082000, 0.0323089, 0.0196034, 24.3259, 0.0197669, 24.5287, 0.962644, 0.0102445
1, 14, 1014000, 1043000, 0.0474819, 0.0215837, 26.7832, 0.0218212, 27.0779, 0.954232, 0.0115091
5, 14, 527000, 540000, 0.0173538, 0.0210799, 26.1581, 0.0212998, 26.431, 0.956323, 0.0110463
4, 14, 689000, 704000, 0.0104858, 0.0209386, 25.9828, 0.0209872, 26.043, 0.957635, 0.0110826
3, 14, 803000, 825000, 0.0104526, 0.0205377, 25.4852, 0.020675, 25.6556, 0.959342, 0.0101986
0, 15, 315000, 323000, 0.0107313, 0.0227649, 28.2489, 0.0230312, 28.5794, 0.948476, 0.0134312
1, 15, 591000, 601000, 0.0100555, 0.0216817, 26.9049, 0.0217818, 27.0291, 0.954997, 0.0109834
2, 15, 742000, 758000, 0.041387, 0.020692, 25.6767, 0.0208164, 25.8311, 0.958361, 0.0112622
4, 15, 495000, 504000, 0.0103326, 0.022386, 27.7788, 0.0224904, 27.9083, 0.951429, 0.0121053
3, 15, 750000, 760000, 0.0100048, 0.0217885, 27.0374, 0.0220371, 27.3458, 0.95338, 0.0113705
5, 15, 932000, 951000, 0.0428119, 0.0208568, 25.8812, 0.0211584, 26.2555, 0.957114, 0.0117056
2, 16, 582000, 594000, 0.0211545, 0.021606, 26.8109, 0.0216517, 26.8676, 0.954845, 0.0109521
1, 16, 627000, 639000, 0.0109888, 0.0214417, 26.607, 0.0214733, 26.6462, 0.955657, 0.0111452
0, 16, 976000, 993000, 0.0166696, 0.0193143, 23.9671, 0.0195472, 24.2561, 0.963707, 0.00998341
3, 16, 643000, 672000, 0.0979131, 0.0212011, 26.3084, 0.0223401, 27.7218, 0.954291, 0.0116566
4, 16, 818000, 833000, 0.0186963, 0.0202144, 25.084, 0.0204593, 25.388, 0.959946, 0.010427
5, 16, 812000, 877000, 0.099926, 0.0198193, 24.5938, 0.0199576, 24.7654, 0.96161, 0.0103525
2, 17, 405000, 412000, 0.0100079, 0.0239314, 29.6965, 0.0241613, 29.9818, 0.94341, 0.0131454
1, 17, 403000, 412000, 0.0139988, 0.0226643, 28.1241, 0.0228426, 28.3454, 0.949522, 0.0116206
0, 17, 714000, 727000, 0.0164549, 0.0208385, 25.8585, 0.0212051, 26.3134, 0.957202, 0.0100314
4, 17, 322000, 329000, 0.0102058, 0.023785, 29.5148, 0.0240579, 29.8535, 0.943652, 0.0131644
3, 17, 852000, 871000, 0.084126, 0.0195836, 24.3013, 0.0195647, 24.2778, 0.963775, 0.00969167
5, 17, 1044000, 1068000, 0.0813655, 0.0181156, 22.4797, 0.0183177, 22.7305, 0.968724, 0.0085163
2, 18, 701000, 713000, 0.0208562, 0.0188812, 23.4296, 0.0191643, 23.781, 0.965256, 0.00967646
0, 18, 983000, 999000, 0.0147203, 0.0186397, 23.1301, 0.0188071, 23.3377, 0.966663, 0.00910025
1, 18, 951000, 966000, 0.0229577, 0.0202397, 25.1155, 0.0203608, 25.2658, 0.960441, 0.00975356
4, 18, 416000, 424000, 0.0105131, 0.0216331, 26.8445, 0.0217115, 26.9419, 0.954903, 0.0118114
3, 18, 1352000, 1386000, 0.0660358, 0.017543, 21.7691, 0.01769, 21.9515, 0.970252, 0.00857058
5, 18, 1531000, 1555000, 0.0406982, 0.017749, 22.0247, 0.0179189, 22.2356, 0.969904, 0.00866985
