NetworkId, hNodes, Effective Passes, Total Passes, Step Parameter, Validation Accuracy, Validation Accuracy (DN), Test Accuracy, Test Accuracy DN
2, 3, 79000, 87000, 0.0100328, 0.0322377, 40.0038, 0.032967, 40.9087
0, 3, 359000, 365000, 0.01, 0.0321417, 39.8847, 0.0323169, 40.102
1, 3, 554000, 562000, 0.01, 0.031904, 39.5896, 0.0321207, 39.8586
5, 3, 126000, 133000, 0.01, 0.0326109, 40.4668, 0.0329928, 40.9408
4, 3, 125000, 134000, 0.0100003, 0.0320326, 39.7493, 0.0329632, 40.9041
3, 3, 166000, 176000, 0.01, 0.0325857, 40.4356, 0.0329493, 40.8868
6, 3, 85000, 94000, 0.0100657, 0.0322583, 40.0293, 0.0329785, 40.923
8, 3, 183000, 190000, 0.01, 0.0325316, 40.3684, 0.0330041, 40.9548
7, 3, 316000, 324000, 0.01, 0.0322548, 40.025, 0.0325592, 40.4027
11, 3, 142000, 152000, 0.0100024, 0.032358, 40.1531, 0.0329572, 40.8966
10, 3, 238000, 247000, 0.01, 0.0321232, 39.8616, 0.0329706, 40.9133
9, 3, 530000, 537000, 0.01, 0.0325724, 40.4191, 0.0329109, 40.8391
1, 4, 170000, 185000, 0.0144434, 0.0317787, 39.4342, 0.0319868, 39.6924
2, 4, 351000, 358000, 0.01, 0.029907, 37.1116, 0.0299626, 37.1806
0, 4, 565000, 574000, 0.01, 0.0292378, 36.2812, 0.0293109, 36.3719
5, 4, 186000, 196000, 0.0100001, 0.0288146, 35.756, 0.0292269, 36.2677
3, 4, 250000, 261000, 0.01, 0.0291224, 36.138, 0.0293016, 36.3604
4, 4, 266000, 284000, 0.0189915, 0.0290327, 36.0267, 0.0293573, 36.4295
8, 4, 138000, 150000, 0.0131904, 0.0284618, 35.3183, 0.0291706, 36.1978
7, 4, 157000, 169000, 0.0131001, 0.030512, 37.8624, 0.0312087, 38.7268
6, 4, 206000, 219000, 0.0102161, 0.0292027, 36.2377, 0.0294815, 36.5836
10, 4, 144000, 156000, 0.0124019, 0.0289126, 35.8776, 0.0290157, 36.0056
9, 4, 133000, 144000, 0.0126624, 0.0308412, 38.2708, 0.0313048, 38.8462
11, 4, 268000, 276000, 0.01, 0.0296072, 36.7396, 0.0298268, 37.0121
0, 5, 123000, 132000, 0.0109359, 0.0282021, 34.996, 0.0285321, 35.4055
2, 5, 166000, 176000, 0.0112219, 0.0277492, 34.434, 0.0280198, 34.7698
1, 5, 272000, 281000, 0.01, 0.028402, 35.244, 0.0286973, 35.6104
5, 5, 203000, 212000, 0.0100002, 0.0284639, 35.3209, 0.028683, 35.5927
3, 5, 171000, 182000, 0.0107527, 0.0282816, 35.0946, 0.0283292, 35.1537
4, 5, 557000, 565000, 0.01, 0.0275487, 34.1852, 0.0277015, 34.3748
6, 5, 152000, 161000, 0.0101478, 0.0279633, 34.6997, 0.0284431, 35.295
8, 5, 161000, 171000, 0.0101241, 0.0287008, 35.6149, 0.0289931, 35.9775
7, 5, 218000, 231000, 0.0101077, 0.0282631, 35.0717, 0.0287364, 35.6589
9, 5, 213000, 224000, 0.0100502, 0.0281367, 34.9148, 0.0283538, 35.1843
10, 5, 269000, 279000, 0.01, 0.0277396, 34.4221, 0.0281637, 34.9483
11, 5, 643000, 650000, 0.01, 0.0282285, 35.0288, 0.0285848, 35.4708
