NetworkId, hNodes, Validation Accuracy (AVG), Validation Accuracy (AVG-DN), Test Accuracy (SET), Test Accuracy (SET-DN), Total Passes
0, 2, 0.033743, 41.8717, 0.0352118, 43.6943, 55000
1, 2, 0.0387613, 48.0989, 0.0386641, 47.9782, 705000
2, 2, 0.0343387, 42.6109, 0.0352101, 43.6922, 58000
3, 2, 0.0346089, 42.9462, 0.0352151, 43.6984, 39000
4, 2, 0.034592, 42.9252, 0.0351915, 43.6691, 73000
5, 2, 0.0343681, 42.6474, 0.0351927, 43.6706, 77000
6, 2, 0.0346809, 43.0356, 0.0352132, 43.696, 110000
7, 2, 0.0349814, 43.4084, 0.0352077, 43.6893, 56000
8, 2, 0.0345268, 42.8443, 0.0354412, 43.979, 20000
9, 2, 0.0347194, 43.0833, 0.0352012, 43.6811, 98000
