NetworkId, hNodes, Validation Accuracy (AVG), Validation Accuracy (AVG-DN), Test Accuracy (SET), Test Accuracy (SET-DN), Total Passes
0, 10, 0.0205568, 25.5089, 0.0204113, 25.3283, 1252000
1, 10, 0.0227698, 28.2551, 0.0225796, 28.019, 1774000
2, 10, 0.0276095, 34.2606, 0.025534, 31.6851, 235000
3, 10, 0.026088, 32.3726, 0.0246113, 30.5402, 505000
4, 10, 0.0224077, 27.8058, 0.0230366, 28.5861, 1238000
5, 10, 0.0227041, 28.1736, 0.0228709, 28.3805, 1544000
6, 10, 0.0219618, 27.2523, 0.0214785, 26.6527, 1473000
7, 10, 0.0231323, 28.7049, 0.0235186, 29.1842, 1128000
8, 10, 0.0236867, 29.3928, 0.0230968, 28.6608, 1413000
9, 10, 0.0208459, 25.8677, 0.0207837, 25.7905, 2195000
