NetworkId, hNodes, Validation Accuracy (AVG), Validation Accuracy (AVG-DN), Test Accuracy (SET), Test Accuracy (SET-DN), Total Passes
0, 3, 0.0324843, 40.3098, 0.0329186, 40.8486, 468000
1, 3, 0.0326861, 40.5602, 0.0330446, 41.0051, 112000
2, 3, 0.0320826, 39.8113, 0.0329833, 40.929, 110000
3, 3, 0.03243, 40.2423, 0.0330509, 41.0129, 88000
4, 3, 0.032905, 40.8318, 0.0329269, 40.8591, 241000
5, 3, 0.0323193, 40.105, 0.0329211, 40.8518, 230000
6, 3, 0.0326226, 40.4814, 0.0329368, 40.8713, 340000
7, 3, 0.0326109, 40.4669, 0.0330873, 41.058, 262000
8, 3, 0.0315859, 39.195, 0.0321087, 39.8437, 379000
9, 3, 0.0322979, 40.0785, 0.0329182, 40.8481, 314000
