NetworkId, hNodes, Validation Accuracy (AVG), Validation Accuracy (AVG-DN), Test Accuracy (SET), Test Accuracy (SET-DN), Total Passes
0, 2, 0.00160198, 27.175, 0.00156057, 26.8686, 194000
1, 2, 0.00181118, 28.7235, 0.00169122, 27.8356, 22000
2, 2, 0.00170249, 27.919, 0.00160232, 27.1776, 50000
3, 2, 0.00128562, 24.8335, 0.0012446, 24.5299, 68000
4, 2, 0.0012799, 24.7911, 0.00124735, 24.5502, 105000
5, 2, 0.00128162, 24.8039, 0.00132945, 25.1579, 52000
6, 2, 0.00126914, 24.7115, 0.00126291, 24.6654, 51000
7, 2, 0.00126919, 24.7119, 0.00127787, 24.7762, 58000
8, 2, 0.00128894, 24.8581, 0.00124657, 24.5445, 111000
9, 2, 0.00126071, 24.6491, 0.00126571, 24.6862, 50000
10, 3, 0.00114729, 23.8097, 0.00109813, 23.4458, 91000
11, 3, 0.00112362, 23.6345, 0.00115663, 23.8788, 134000
12, 3, 0.00116788, 23.9621, 0.00111489, 23.5699, 487000
13, 3, 0.00120055, 24.2039, 0.0011426, 23.7749, 91000
14, 3, 0.00113486, 23.7177, 0.0010963, 23.4322, 189000
15, 3, 0.00116008, 23.9043, 0.00109054, 23.3896, 135000
16, 3, 0.00112355, 23.6339, 0.00115032, 23.8321, 195000
17, 3, 0.00134258, 25.2551, 0.00122345, 24.3734, 65000
18, 3, 0.00111534, 23.5732, 0.00110846, 23.5222, 150000
19, 3, 0.00118189, 24.0658, 0.00113006, 23.6821, 55000
20, 4, 0.000927308, 22.1815, 0.000921026, 22.135, 778000
21, 4, 0.00087681, 21.8077, 0.000839002, 21.5279, 703000
22, 4, 0.000895253, 21.9442, 0.000864392, 21.7158, 417000
23, 4, 0.000959496, 22.4197, 0.000929536, 22.198, 54000
24, 4, 0.000899279, 21.974, 0.00110207, 23.475, 526000
25, 4, 0.000923281, 22.1517, 0.000868959, 21.7496, 317000
26, 4, 0.000875203, 21.7958, 0.00087164, 21.7694, 59000
27, 4, 0.000975209, 22.536, 0.000958602, 22.4131, 305000
28, 4, 0.000864908, 21.7196, 0.00080943, 21.309, 1546000
29, 4, 0.000933904, 22.2303, 0.000929232, 22.1957, 588000
30, 5, 0.000910996, 22.0607, 0.000860481, 21.6869, 69000
31, 5, 0.000837685, 21.5181, 0.000826749, 21.4372, 1819000
32, 5, 0.000815747, 21.3558, 0.000784491, 21.1244, 758000
33, 5, 0.000838761, 21.5261, 0.000830567, 21.4654, 96000
34, 5, 0.000772002, 21.032, 0.000813257, 21.3373, 893000
35, 5, 0.000828744, 21.452, 0.000812845, 21.3343, 301000
36, 5, 0.000811826, 21.3267, 0.000826344, 21.4342, 356000
37, 5, 0.000797505, 21.2207, 0.000787853, 21.1493, 1557000
38, 5, 0.000836517, 21.5095, 0.000884733, 21.8664, 1649000
39, 5, 0.0008143, 21.345, 0.000857757, 21.6667, 489000
40, 6, 0.000680847, 20.3573, 0.000668587, 20.2665, 966000
41, 6, 0.000728952, 20.7133, 0.000716319, 20.6198, 440000
42, 6, 0.000660023, 20.2032, 0.000643817, 20.0832, 618000
43, 6, 0.000719566, 20.6439, 0.000721996, 20.6618, 1441000
44, 6, 0.000666981, 20.2547, 0.000658567, 20.1924, 857000
45, 6, 0.000654104, 20.1594, 0.000663058, 20.2256, 551000
46, 6, 0.000714533, 20.6066, 0.000699295, 20.4938, 735000
47, 6, 0.000689457, 20.421, 0.000694173, 20.4559, 819000
48, 6, 0.000665649, 20.2448, 0.000660891, 20.2096, 1157000
49, 6, 0.000652296, 20.146, 0.000639652, 20.0524, 993000
50, 7, 0.000638278, 20.0422, 0.000649412, 20.1246, 974000
51, 7, 0.000603072, 19.7816, 0.000583284, 19.6352, 1389000
52, 7, 0.000606285, 19.8054, 0.000596312, 19.7316, 1228000
53, 7, 0.000615304, 19.8722, 0.000674615, 20.3112, 1468000
54, 7, 0.000672806, 20.2978, 0.000662811, 20.2238, 1190000
55, 7, 0.000749535, 20.8657, 0.000738456, 20.7837, 438000
56, 7, 0.000714841, 20.6089, 0.000695388, 20.4649, 986000
57, 7, 0.000605169, 19.7972, 0.00059714, 19.7377, 2833000
58, 7, 0.000594409, 19.7175, 0.000589277, 19.6795, 1997000
59, 7, 0.000605981, 19.8032, 0.000595573, 19.7261, 1132000
60, 8, 0.000559241, 19.4572, 0.000554478, 19.422, 1694000
61, 8, 0.000636916, 20.0321, 0.00057684, 19.5875, 996000
62, 8, 0.000695995, 20.4694, 0.000680173, 20.3523, 262000
63, 8, 0.000671421, 20.2875, 0.000603925, 19.7879, 338000
64, 8, 0.000581024, 19.6184, 0.000575309, 19.5761, 1406000
65, 8, 0.000622677, 19.9267, 0.000592527, 19.7036, 438000
66, 8, 0.00053907, 19.3079, 0.00052238, 19.1844, 2305000
67, 8, 0.000848406, 21.5975, 0.000924421, 22.1601, 25000
68, 8, 0.000582939, 19.6326, 0.00057829, 19.5982, 2398000
