NetworkId, hNodes, Effective Passes, Total Passes, Step Parameter, Validation RMSE, Validation RMSE (DN), Test RMSE, Test RMSE DN, R^2, MSRE
0, 2, 7000, 13000, 0.1, 0.0373507, 46.3485, 0.0362167, 44.9414, 0.84763, 0.0214228
1, 2, 13000, 17000, 0.1, 0.0371693, 46.1234, 0.0378174, 46.9276, 0.852382, 0.0228918
2, 2, 14000, 28000, 0.1, 0.0389529, 48.3367, 0.0367785, 45.6384, 0.851184, 0.0252483
3, 2, 3000, 6000, 0.1, 0.0413531, 51.3151, 0.0415799, 51.5964, 0.782195, 0.0371454
4, 2, 13000, 25000, 0.1, 0.0369123, 45.8045, 0.0432046, 53.6126, 0.744254, 0.0443664
5, 2, 15000, 28000, 0.1, 0.0360063, 44.6802, 0.036648, 45.4765, 0.855093, 0.0249737
6, 2, 6000, 8000, 0.1, 0.037186, 46.1441, 0.0366062, 45.4247, 0.853909, 0.0242349
7, 2, 15000, 29000, 0.1, 0.0375133, 46.5502, 0.0363005, 45.0453, 0.855932, 0.0212876
8, 2, 14000, 26000, 0.1, 0.0375524, 46.5987, 0.0359366, 44.5937, 0.865013, 0.019551
9, 2, 13000, 24000, 0.1, 0.0357059, 44.3074, 0.0376091, 46.6692, 0.840789, 0.0284612
10, 2, 29000, 51000, 0.1, 0.0404078, 50.1421, 0.0404168, 50.1532, 0.827327, 0.0416466
11, 2, 31000, 56000, 0.1, 0.0396579, 49.2115, 0.040501, 50.2577, 0.826541, 0.0490726
12, 3, 9000, 12000, 0.1, 0.0343202, 42.5879, 0.0386856, 48.005, 0.850168, 0.0255055
13, 3, 12000, 21000, 0.1, 0.0356814, 44.2771, 0.0340138, 42.2078, 0.88294, 0.0234209
14, 3, 16000, 22000, 0.1, 0.0345172, 42.8324, 0.0386975, 48.0198, 0.817469, 0.0402854
15, 3, 50000, 98000, 0.1, 0.032573, 40.4199, 0.032546, 40.3864, 0.891562, 0.0185829
16, 3, 54000, 105000, 0.1, 0.0330295, 40.9863, 0.033394, 41.4386, 0.886392, 0.0236342
17, 3, 55000, 108000, 0.1, 0.0324554, 40.2739, 0.0325494, 40.3906, 0.890548, 0.0190795
18, 3, 4000, 7000, 0.1, 0.0374978, 46.531, 0.036851, 45.7284, 0.867171, 0.021787
19, 3, 20000, 39000, 0.1, 0.0350581, 43.5036, 0.0359223, 44.576, 0.869407, 0.0226025
20, 3, 65000, 128000, 0.1, 0.0339756, 42.1603, 0.0324096, 40.217, 0.891801, 0.019148
21, 3, 10000, 13000, 0.1, 0.0340032, 42.1946, 0.0360411, 44.7234, 0.868051, 0.0308973
22, 3, 34000, 61000, 0.1, 0.0321245, 39.8633, 0.0336886, 41.8042, 0.886944, 0.019855
23, 3, 55000, 100000, 0.1, 0.033131, 41.1122, 0.0378769, 47.0014, 0.867985, 0.0263857
24, 4, 13000, 16000, 0.1, 0.0320166, 39.7295, 0.0357184, 44.323, 0.859009, 0.0407991
25, 4, 31000, 59000, 0.1, 0.0309017, 38.3459, 0.0312486, 38.7764, 0.899859, 0.0377572
26, 4, 72000, 139000, 0.1, 0.0301731, 37.4418, 0.0326974, 40.5742, 0.881624, 0.0316507
27, 4, 7000, 9000, 0.1, 0.0360354, 44.7163, 0.0413042, 51.2544, 0.813094, 0.0693154
28, 4, 53000, 101000, 0.1, 0.0307244, 38.1259, 0.0307399, 38.1452, 0.90728, 0.0243091
29, 4, 78000, 133000, 0.1, 0.0302976, 37.5962, 0.0307237, 38.1251, 0.90296, 0.0223383
30, 4, 39000, 74000, 0.1, 0.0306904, 38.0837, 0.0332088, 41.2088, 0.876453, 0.0309935
31, 4, 55000, 104000, 0.1, 0.030802, 38.2222, 0.0304266, 37.7564, 0.910463, 0.0197062
32, 4, 69000, 135000, 0.1, 0.03219, 39.9446, 0.0342157, 42.4583, 0.882713, 0.0215524
33, 4, 11000, 15000, 0.1, 0.0342718, 42.5279, 0.0321525, 39.8981, 0.895724, 0.0187734
34, 4, 9000, 17000, 0.1, 0.034715, 43.0779, 0.0355306, 44.0899, 0.862529, 0.0303069
35, 4, 170000, 336000, 0.1, 0.0301604, 37.4261, 0.0332442, 41.2527, 0.893683, 0.0231553
36, 5, 25000, 31000, 0.1, 0.0306489, 38.0323, 0.0320197, 39.7332, 0.899723, 0.0203028
37, 5, 27000, 46000, 0.1, 0.0293411, 36.4094, 0.0313611, 38.916, 0.894306, 0.0280603
38, 5, 37000, 64000, 0.1, 0.0305807, 37.9477, 0.0305295, 37.8841, 0.906789, 0.0167436
39, 5, 81000, 132000, 0.1, 0.0287744, 35.7061, 0.0309628, 38.4217, 0.907569, 0.0197763
40, 5, 53000, 99000, 0.1, 0.029226, 36.2666, 0.0293609, 36.4339, 0.910837, 0.0167046
41, 5, 100000, 184000, 0.1, 0.0288933, 35.8537, 0.0296318, 36.7702, 0.906681, 0.0224815
42, 5, 8000, 11000, 0.1, 0.0319028, 39.5882, 0.0349601, 43.382, 0.869238, 0.0369907
43, 5, 58000, 100000, 0.1, 0.0284318, 35.2811, 0.0286781, 35.5866, 0.918231, 0.0190414
44, 5, 97000, 176000, 0.1, 0.0276741, 34.3408, 0.0277351, 34.4165, 0.924828, 0.0172578
45, 5, 12000, 17000, 0.1, 0.0316478, 39.2718, 0.0291275, 36.1443, 0.915245, 0.0185177
46, 5, 165000, 310000, 0.1, 0.0275306, 34.1627, 0.027974, 34.7129, 0.925164, 0.0174276
47, 5, 285000, 561000, 0.1, 0.0281524, 34.9343, 0.0280965, 34.8649, 0.922686, 0.0176624
48, 6, 63000, 116000, 0.1, 0.0290467, 36.0441, 0.0282778, 35.0899, 0.920896, 0.0188409
49, 6, 91000, 170000, 0.1, 0.026963, 33.4583, 0.0316447, 39.2679, 0.90863, 0.0221232
50, 6, 135000, 255000, 0.1, 0.026346, 32.6927, 0.0279722, 34.7107, 0.916485, 0.0213521
51, 6, 24000, 33000, 0.1, 0.0298902, 37.0908, 0.0289308, 35.9003, 0.919507, 0.0177676
52, 6, 56000, 103000, 0.1, 0.0276051, 34.2552, 0.0275257, 34.1566, 0.930731, 0.0184071
53, 6, 92000, 169000, 0.1, 0.0281829, 34.9722, 0.0276217, 34.2758, 0.924744, 0.0190887
54, 6, 6000, 11000, 0.1, 0.0330424, 41.0024, 0.0327148, 40.5957, 0.883786, 0.0244504
55, 6, 17000, 21000, 0.1, 0.0284387, 35.2896, 0.0284223, 35.2692, 0.925685, 0.0186632
56, 6, 133000, 239000, 0.1, 0.0275713, 34.2132, 0.0271669, 33.7114, 0.926623, 0.0188558
57, 6, 88000, 160000, 0.1, 0.0275753, 34.2181, 0.0295711, 36.6948, 0.917202, 0.0174438
58, 6, 97000, 181000, 0.1, 0.0267217, 33.159, 0.0277482, 34.4327, 0.925997, 0.0188466
59, 6, 121000, 181000, 0.1, 0.0258897, 32.1265, 0.0261782, 32.4845, 0.932629, 0.015062
60, 7, 71000, 134000, 0.1, 0.0287077, 35.6234, 0.0288765, 35.8329, 0.92252, 0.0163749
