NetworkId, hNodes, Effective Passes, Total Passes, Step Parameter, Validation RMSE, Validation RMSE (DN), Test RMSE, Test RMSE DN, R^2, MSRE
0, 13, 25000, 34000, 0.01, 0.0234558, 29.1063, 0.0236438, 29.3395, 0.945922, 0.01227
1, 13, 34000, 44000, 0.01, 0.0234516, 29.1011, 0.0234574, 29.1082, 0.946629, 0.0126327
2, 13, 169000, 258000, 0.01, 0.0236225, 29.3132, 0.0237991, 29.5322, 0.94582, 0.0131918
3, 13, 30000, 39000, 0.01, 0.0242268, 30.063, 0.0243769, 30.2493, 0.942623, 0.0148867
4, 13, 43000, 54000, 0.01, 0.0215787, 26.777, 0.0217399, 26.9771, 0.954814, 0.0111217
5, 13, 71000, 86000, 0.01, 0.0214791, 26.6534, 0.0212792, 26.4053, 0.956252, 0.0115729
6, 13, 22000, 31000, 0.01, 0.0246565, 30.5963, 0.0248581, 30.8465, 0.940362, 0.0128992
7, 13, 68000, 82000, 0.01, 0.0224576, 27.8677, 0.0230171, 28.562, 0.949188, 0.012244
8, 13, 131000, 159000, 0.01, 0.0232654, 28.8701, 0.0234808, 29.1373, 0.947663, 0.0121948
9, 13, 21000, 29000, 0.01, 0.0239128, 29.6734, 0.023932, 29.6972, 0.944479, 0.0123805
10, 13, 58000, 71000, 0.01, 0.0223443, 27.727, 0.0224134, 27.8128, 0.95111, 0.0127346
11, 13, 81000, 97000, 0.01, 0.0239517, 29.7217, 0.024132, 29.9454, 0.94324, 0.0130032
