NetworkId, hNodes, Effective Passes, Total Passes, Step Parameter, Validation RMSE, Validation RMSE (DN), Test RMSE, Test RMSE DN, R^2, MSRE
0,10,37000,47000,0.01,0.0245066,30.4102,0.0243216,30.1807,0.942835,0.0147599
1,10,63000,76000,0.01,0.023512,29.176,0.0238711,29.6216,0.944645,0.01257
2,10,20000,28000,0.01,0.0256356,31.8113,0.025651,31.8303,0.935694,0.015027
3,10,24000,32000,0.01,0.023566,29.2431,0.0236419,29.3373,0.945564,0.0128867
4,10,41000,52000,0.01,0.0258624,32.0927,0.0259121,32.1544,0.934483,0.0137144
5,10,51000,64000,0.0316368,0.0245312,30.4407,0.0245415,30.4535,0.94277,0.0132848
6,10,27000,36000,0.01,0.0244702,30.3651,0.0245802,30.5016,0.941001,0.0133352
7,10,28000,37000,0.01,0.0252803,31.3704,0.0254757,31.6129,0.937245,0.0138832
8,10,35000,45000,0.01,0.0240649,29.8621,0.0247379,30.6973,0.941325,0.0129134
9,10,102000,122000,0.01,0.0226964,28.164,0.0227747,28.2612,0.949964,0.0128038
10,10,26000,34000,0.01,0.0250955,31.141,0.0253905,31.5071,0.936941,0.0137556
11,10,61000,75000,0.01,0.026102,32.3899,0.0263488,32.6963,0.93181,0.0159084
,,42916.66667,54000,0.011803067,0.024610258,30.538875,0.024770583,30.73785,0.940356417,0.013736867
