NetworkId, hNodes, Effective Passes, Total Passes, Step Parameter, Validation RMSE, Validation RMSE (DN), Test RMSE, Test RMSE DN, R^2, MSRE
0,10,24000,29000,0.1,0.0255435,31.6969,0.026492,32.874,0.928671,0.0201056
1,10,48000,55000,0.0142196,0.0252554,31.3394,0.0255019,31.6453,0.936753,0.0146818
2,10,38000,45000,0.0392338,0.0247391,30.6988,0.0256365,31.8123,0.937693,0.0137762
3,10,55000,64000,0.0118823,0.0254315,31.558,0.025827,32.0487,0.933969,0.0177234
4,10,26000,31000,0.1,0.0269189,33.4037,0.0285197,35.3901,0.931551,0.0148273
5,10,56000,65000,0.0140262,0.0237568,29.4799,0.0239113,29.6715,0.944338,0.012928
6,10,45000,51000,0.0131001,0.0246036,30.5306,0.0248214,30.8009,0.939768,0.0130986
7,10,50000,57000,0.0148128,0.0235512,29.2247,0.0237228,29.4376,0.944674,0.0139086
8,10,42000,50000,0.1,0.0237374,29.4557,0.0233864,29.0202,0.948595,0.0129446
9,10,69000,77000,0.0100087,0.0241909,30.0185,0.0245866,30.5096,0.940625,0.013861
10,10,45000,52000,0.017222,0.024251,30.0931,0.0244603,30.3527,0.941523,0.0142036
11,10,139000,143000,0.01,0.026013,32.2796,0.0261721,32.4769,0.932563,0.0159423
,,,59916.66667,0.037042125,0.024832692,30.81490833,0.025253167,31.33665,0.938393583,0.014833417
