NetworkId, hNodes, Effective Passes, Total Passes, Step Parameter, Validation RMSE, Validation RMSE (DN), Test RMSE, Test RMSE DN, R^2, MSRE
0,10,32000,42000,0.01,0.0241056,29.9127,0.0244065,30.286,0.942046,0.0128976
1,10,72000,87000,0.01,0.0223153,27.6911,0.022477,27.8917,0.951601,0.0122057
2,10,26000,35000,0.01,0.0245988,30.5246,0.024724,30.68,0.940606,0.0136274
3,10,44000,55000,0.01,0.0262742,32.6036,0.0265261,32.9162,0.929991,0.0165663
4,10,43000,54000,0.01,0.0253673,31.4783,0.0256306,31.805,0.935718,0.0144156
5,10,63000,80000,0.01,0.0242725,30.1197,0.0243814,30.2549,0.942341,0.012762
6,10,34000,44000,0.01,0.0238423,29.5859,0.0241386,29.9536,0.94342,0.0127513
7,10,43000,54000,0.01,0.0237056,29.4163,0.0239701,29.7445,0.943926,0.0130214
8,10,28000,37000,0.01,0.0241384,29.9533,0.0243246,30.1845,0.942867,0.0128292
9,10,41000,52000,0.01,0.0226124,28.0598,0.0227258,28.2005,0.950202,0.0126335
10,10,34000,44000,0.01,0.024253,30.0956,0.0243389,30.2022,0.942387,0.0138701
11,10,39000,70000,0.01,0.0277641,34.4525,0.0275696,34.2111,0.925405,0.0158981
,10,41583.33333,54500,0.01,0.024437458,30.32445,0.0246011,30.52751667,0.940875833,0.013623183
BOLD DRIVER,,,,,,,,,,
