NetworkId, hNodes, Effective Passes, Total Passes, Step Parameter, Validation RMSE, Validation RMSE (DN), Test RMSE, Test RMSE DN, R^2, MSRE
0, 16, 25000, 34000, 0.01, 0.0246364, 30.5713, 0.0245965, 30.5218, 0.9417, 0.0142867
1, 16, 54000, 66000, 0.01, 0.0231805, 28.7647, 0.0234133, 29.0536, 0.947117, 0.0121774
2, 16, 51000, 63000, 0.01, 0.0230634, 28.6194, 0.0232099, 28.8012, 0.947581, 0.0118533
3, 16, 23000, 31000, 0.01, 0.0246407, 30.5766, 0.0248252, 30.8056, 0.940873, 0.0131903
4, 16, 30000, 40000, 0.01, 0.0233056, 28.92, 0.0235625, 29.2387, 0.946259, 0.0122548
5, 16, 50000, 62000, 0.01, 0.0217047, 26.9334, 0.0217166, 26.9481, 0.954615, 0.0115564
6, 16, 25000, 33000, 0.01, 0.0250402, 31.0724, 0.0250397, 31.0718, 0.939128, 0.0135554
7, 16, 42000, 53000, 0.01, 0.0236098, 29.2974, 0.0238665, 29.6159, 0.944978, 0.0126355
8, 16, 176000, 352000, 0.01, 0.0280788, 34.8429, 0.0260374, 32.3098, 0.932968, 0.0148739
9, 16, 40000, 50000, 0.01, 0.0227654, 28.2496, 0.022942, 28.4687, 0.949545, 0.0122667
10, 16, 49000, 62000, 0.01, 0.0242207, 30.0554, 0.0244728, 30.3683, 0.941611, 0.0140786
11, 16, 46000, 57000, 0.01, 0.0251593, 31.2202, 0.0252494, 31.332, 0.937756, 0.0131903
12, 17, 22000, 30000, 0.01, 0.0244929, 30.3932, 0.02451, 30.4145, 0.942007, 0.0140271
13, 17, 24000, 41000, 0.01, 0.025662, 31.844, 0.0256147, 31.7853, 0.934792, 0.0139647
14, 17, 37000, 48000, 0.01, 0.0240734, 29.8727, 0.0243713, 30.2424, 0.942221, 0.0128939
15, 17, 44000, 55000, 0.01, 0.0219953, 27.294, 0.0220733, 27.3908, 0.953257, 0.0125225
16, 17, 51000, 71000, 0.01, 0.0266239, 33.0376, 0.0268209, 33.282, 0.930234, 0.0155368
17, 17, 54000, 66000, 0.01, 0.02147, 26.6421, 0.021526, 26.7116, 0.95555, 0.0108883
18, 17, 28000, 37000, 0.01, 0.0230367, 28.5862, 0.0231961, 28.784, 0.948076, 0.0116691
19, 17, 73000, 88000, 0.01, 0.0236759, 29.3794, 0.0239477, 29.7167, 0.94408, 0.0132084
20, 17, 191000, 245000, 0.01, 0.0234651, 29.1179, 0.0239204, 29.6828, 0.944669, 0.0124175
21, 17, 27000, 36000, 0.01, 0.0232911, 28.9019, 0.0234169, 29.058, 0.947683, 0.0129779
22, 17, 49000, 61000, 0.01, 0.0229401, 28.4664, 0.0230571, 28.6115, 0.948327, 0.0114966
23, 17, 58000, 71000, 0.01, 0.0218137, 27.0686, 0.0218959, 27.1706, 0.953802, 0.012154
