NetworkId, hNodes, Accuracy, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, Total
0, 2, 0.00373799, 200, 700, 100, 2100, 200, 100, 100, 200, 100, 200, 4000
1, 2, 0.00368828, 200, 200, 100, 3500, 200, 100, 100, 200, 100, 100, 4800
2, 2, 0.0044483, 7900, 200, 100, 200, 200, 100, 100, 200, 100, 100, 9200
3, 2, 0.0048028, 200, 200, 100, 1900, 100, 100, 100, 900, 100, 100, 3800
4, 2, 0.0041001, 10000, 100, 100, 200, 200, 100, 100, 200, 100, 100, 11200
5, 2, 0.00508806, 300, 200, 100, 1300, 100, 100, 100, 600, 100, 100, 3000
6, 2, 0.00362566, 200, 200, 100, 3100, 200, 100, 100, 200, 100, 100, 4400
7, 2, 0.00448874, 2800, 200, 100, 200, 200, 100, 100, 200, 100, 100, 4100
8, 2, 0.00447737, 3100, 200, 100, 200, 200, 100, 100, 200, 100, 100, 4400
9, 2, 0.00495416, 200, 200, 100, 1800, 100, 100, 100, 700, 100, 100, 3500
10, 2, 0.00370288, 300, 200, 100, 3600, 200, 100, 100, 200, 100, 100, 5000
11, 2, 0.00372965, 300, 200, 100, 3700, 200, 100, 100, 200, 100, 100, 5100
12, 2, 0.00362322, 200, 200, 100, 3100, 200, 100, 100, 200, 100, 100, 4400
13, 2, 0.00369776, 200, 200, 100, 3600, 200, 100, 100, 200, 100, 100, 4900
14, 2, 0.0046151, 200, 200, 100, 200, 100, 100, 100, 800, 100, 100, 2000
15, 2, 0.00368173, 200, 200, 100, 2800, 200, 100, 100, 200, 100, 100, 4100
16, 2, 0.00404125, 10000, 100, 100, 200, 200, 100, 100, 200, 100, 100, 11200
17, 2, 0.0050107, 200, 200, 100, 1200, 100, 100, 100, 400, 100, 100, 2600
18, 2, 0.00442537, 7800, 200, 100, 200, 200, 100, 100, 200, 100, 100, 9100
19, 2, 0.00370691, 300, 200, 100, 2600, 200, 100, 100, 200, 100, 100, 4000
20, 3, 0.00315083, 200, 200, 100, 3300, 200, 100, 100, 200, 100, 200, 4700
21, 3, 0.00356497, 200, 700, 100, 4400, 200, 100, 100, 200, 100, 100, 6200
22, 3, 0.00397603, 200, 200, 100, 900, 400, 100, 100, 200, 100, 100, 2400
23, 3, 0.00510434, 200, 200, 100, 1200, 100, 100, 100, 200, 100, 100, 2400
24, 3, 0.00459643, 200, 200, 100, 1000, 100, 100, 100, 200, 100, 100, 2200
25, 3, 0.00354718, 300, 200, 100, 4400, 200, 100, 100, 200, 100, 100, 5800
26, 3, 0.00363285, 200, 200, 100, 2800, 200, 100, 100, 200, 100, 100, 4100
27, 3, 0.00532168, 200, 200, 100, 1400, 100, 100, 100, 200, 100, 100, 2600
28, 3, 0.00364527, 200, 200, 100, 2800, 200, 100, 100, 200, 100, 200, 4200
29, 3, 0.00360745, 200, 200, 100, 3500, 200, 100, 100, 200, 100, 100, 4800
30, 3, 0.00355744, 200, 600, 100, 4100, 200, 100, 100, 200, 100, 100, 5800
31, 3, 0.00460229, 200, 700, 100, 400, 100, 100, 100, 200, 100, 100, 2100
32, 3, 0.00384004, 200, 200, 100, 5700, 200, 100, 100, 200, 100, 100, 7000
33, 3, 0.00568929, 300, 200, 100, 2100, 100, 100, 100, 200, 100, 100, 3400
34, 3, 0.00360399, 200, 200, 100, 2100, 200, 100, 100, 200, 100, 200, 3500
35, 3, 0.00372044, 200, 900, 100, 2000, 200, 100, 100, 200, 100, 200, 4100
36, 3, 0.00359833, 200, 800, 100, 2200, 200, 100, 100, 200, 100, 100, 4100
37, 3, 0.00361466, 200, 200, 100, 3500, 200, 100, 100, 200, 100, 200, 4900
38, 3, 0.00455147, 200, 200, 100, 200, 100, 100, 100, 600, 100, 100, 1800
39, 3, 0.00530108, 200, 200, 100, 1000, 100, 100, 100, 200, 100, 100, 2200
40, 4, 0.00352323, 200, 200, 100, 6400, 200, 100, 100, 200, 100, 100, 7700
41, 4, 0.00351422, 200, 200, 100, 3800, 200, 100, 100, 200, 100, 100, 5100
42, 4, 0.00328692, 200, 200, 100, 3900, 200, 100, 100, 200, 100, 200, 5300
43, 4, 0.00367875, 200, 200, 100, 3000, 200, 100, 100, 200, 100, 200, 4400
44, 4, 0.00388896, 200, 700, 100, 1000, 200, 100, 100, 200, 100, 200, 2900
45, 4, 0.00364123, 200, 200, 100, 4300, 200, 100, 100, 200, 100, 100, 5600
46, 4, 0.0035738, 200, 200, 100, 4800, 200, 100, 100, 200, 100, 100, 6100
47, 4, 0.00366458, 200, 700, 100, 1800, 200, 100, 100, 200, 100, 100, 3600
48, 4, 0.00466717, 200, 200, 100, 1100, 100, 100, 100, 200, 100, 100, 2300
49, 4, 0.003598, 200, 800, 100, 800, 200, 100, 100, 200, 100, 200, 2800
50, 4, 0.00355548, 200, 800, 100, 3900, 200, 100, 100, 200, 100, 100, 5800
51, 4, 0.00362791, 200, 800, 100, 4900, 200, 100, 100, 200, 100, 100, 6800
52, 4, 0.00356204, 200, 200, 100, 5200, 200, 100, 100, 200, 100, 100, 6500
53, 4, 0.0036673, 200, 200, 100, 3700, 200, 100, 100, 200, 100, 200, 5100
54, 4, 0.00529679, 200, 200, 100, 1500, 100, 100, 100, 200, 100, 100, 2700
55, 4, 0.00377449, 200, 200, 100, 2400, 100, 100, 100, 200, 100, 200, 3700
56, 4, 0.00359841, 200, 700, 100, 2800, 200, 100, 100, 200, 100, 200, 4700
57, 4, 0.00358522, 200, 200, 100, 3200, 200, 100, 100, 200, 100, 100, 4500
58, 4, 0.00361788, 200, 200, 100, 3300, 200, 100, 100, 200, 100, 100, 4600
59, 4, 0.00367594, 200, 1000, 100, 1200, 200, 100, 100, 200, 100, 200, 3400
60, 5, 0.0036334, 200, 800, 100, 1000, 200, 100, 100, 200, 100, 200, 3000
61, 5, 0.00365092, 200, 700, 100, 4400, 200, 100, 100, 200, 100, 100, 6200
62, 5, 0.00373865, 200, 600, 100, 4700, 200, 100, 100, 200, 100, 100, 6400
63, 5, 0.00353902, 200, 600, 100, 3500, 200, 100, 100, 200, 100, 100, 5200
64, 5, 0.00360816, 200, 200, 100, 3700, 200, 100, 100, 200, 100, 200, 5100
65, 5, 0.00359058, 200, 800, 100, 1200, 200, 100, 100, 200, 100, 200, 3200
66, 5, 0.0036312, 200, 200, 100, 3600, 200, 100, 100, 200, 100, 200, 5000
67, 5, 0.00361855, 200, 800, 100, 700, 200, 100, 100, 200, 100, 200, 2700
68, 5, 0.00363681, 200, 800, 100, 3800, 200, 100, 100, 200, 100, 200, 5800
69, 5, 0.00352774, 200, 800, 100, 3300, 200, 100, 100, 200, 100, 100, 5200
70, 5, 0.00397099, 200, 200, 100, 1400, 100, 100, 100, 200, 100, 100, 2600
71, 5, 0.00372603, 200, 200, 100, 2700, 200, 100, 100, 200, 100, 200, 4100
72, 5, 0.00360773, 200, 200, 100, 1900, 200, 100, 100, 200, 100, 200, 3300
73, 5, 0.00361957, 200, 200, 100, 1700, 200, 100, 100, 200, 100, 200, 3100
74, 5, 0.00356614, 200, 200, 100, 3700, 200, 100, 100, 200, 100, 200, 5100
75, 5, 0.00359959, 200, 200, 100, 2500, 200, 100, 100, 200, 100, 200, 3900
76, 5, 0.00369111, 200, 700, 100, 6100, 200, 100, 100, 200, 100, 100, 7900
77, 5, 0.00370967, 200, 700, 100, 6100, 200, 100, 100, 200, 100, 100, 7900
78, 5, 0.00383506, 200, 1100, 100, 1700, 200, 100, 100, 200, 100, 100, 3900
79, 5, 0.00357646, 200, 200, 100, 2300, 200, 100, 100, 200, 100, 200, 3700
80, 6, 0.00356244, 200, 800, 100, 1400, 200, 100, 100, 200, 100, 200, 3400
81, 6, 0.00353287, 200, 800, 100, 1700, 200, 100, 100, 200, 100, 200, 3700
82, 6, 0.00357991, 200, 600, 100, 5100, 200, 100, 100, 200, 100, 100, 6800
83, 6, 0.00373967, 200, 600, 100, 1700, 200, 100, 100, 200, 100, 200, 3500
84, 6, 0.00358279, 200, 700, 100, 1100, 200, 100, 100, 200, 100, 200, 3000
85, 6, 0.00357312, 200, 200, 100, 4400, 200, 100, 100, 200, 100, 100, 5700
86, 6, 0.00374189, 200, 200, 100, 2200, 200, 100, 100, 200, 100, 200, 3600
87, 6, 0.00370042, 200, 200, 100, 1700, 200, 100, 100, 200, 100, 200, 3100
