epoch, stepParameter
1000, 0.11
2000, 0.121
3000, 0.1331
4000, 0.14641
5000, 0.161051
6000, 0.177156
7000, 0.194872
8000, 0.214359
9000, 0.235795
10000, 0.259374
11000, 0.285312
12000, 0.313843
13000, 0.156921
14000, 0.172614
15000, 0.189875
16000, 0.208862
17000, 0.104431
18000, 0.114874
19000, 0.126362
20000, 0.138998
21000, 0.152898
22000, 0.1
23000, 0.11
24000, 0.121
25000, 0.1331
26000, 0.1
27000, 0.11
28000, 0.121
29000, 0.1
30000, 0.11
31000, 0.1
32000, 0.11
33000, 0.1
34000, 0.11
35000, 0.1
36000, 0.11
37000, 0.1
38000, 0.11
39000, 0.1
40000, 0.0997535
41000, 0.099727
42000, 0.0996976
43000, 0.099665
44000, 0.099629
45000, 0.0995891
46000, 0.0995449
47000, 0.0994961
48000, 0.099442
49000, 0.0993821
50000, 0.0993159
51000, 0.0992426
52000, 0.0991616
53000, 0.0990719
54000, 0.0989728
55000, 0.0988633
56000, 0.0987422
57000, 0.0986085
58000, 0.0984608
59000, 0.0982977
60000, 0.0981177
61000, 0.097919
62000, 0.0977
63000, 0.0974586
64000, 0.0971927
65000, 0.0968999
66000, 0.0965778
67000, 0.0962237
68000, 0.0958347
69000, 0.0954078
70000, 0.0949397
71000, 0.094427
72000, 0.0938661
73000, 0.0932532
74000, 0.0925845
75000, 0.0918561
76000, 0.0910638
77000, 0.0902037
78000, 0.0892717
79000, 0.0882641
80000, 0.0871771
81000, 0.0860075
82000, 0.0847522
83000, 0.0834089
84000, 0.0819758
85000, 0.0804519
86000, 0.078837
87000, 0.077132
88000, 0.0753389
89000, 0.0734607
90000, 0.0715019
91000, 0.0694681
92000, 0.0673661
93000, 0.0652041
94000, 0.0629913
95000, 0.0607378
96000, 0.0584547
97000, 0.0561536
98000, 0.0538464
99000, 0.0515453
100000, 0.0492622
101000, 0.0470087
102000, 0.0447959
103000, 0.0426339
104000, 0.0405319
105000, 0.0384981
106000, 0.0365393
107000, 0.0346611
108000, 0.032868
109000, 0.031163
110000, 0.0295481
111000, 0.0280242
112000, 0.0265911
113000, 0.0252478
114000, 0.0239925
115000, 0.0228229
116000, 0.0217359
117000, 0.0207283
118000, 0.0197963
119000, 0.0189362
120000, 0.0181439
121000, 0.0174155
122000, 0.0167468
123000, 0.0161339
124000, 0.015573
125000, 0.0150603
126000, 0.0145922
127000, 0.0141653
128000, 0.0137763
129000, 0.0134222
130000, 0.0131001
131000, 0.0128073
132000, 0.0125414
133000, 0.0123
134000, 0.012081
135000, 0.0118823
136000, 0.0117023
137000, 0.0115392
138000, 0.0113915
139000, 0.0112577
140000, 0.0111367
141000, 0.0110272
142000, 0.0109281
143000, 0.0108384
144000, 0.0107574
145000, 0.0106841
146000, 0.0106179
147000, 0.010558
148000, 0.0105039
149000, 0.0104551
150000, 0.0104109
151000, 0.010371
152000, 0.010335
153000, 0.0103024
154000, 0.0102731
