Row, Predicted, Correct
1, 0.126011, 0.127565
2, 0.32799, 0.377871
3, 0.123569, 0.123852
4, 0.119258, 0.117986
5, 0.151986, 0.140005
6, 0.165956, 0.134751
7, 0.361904, 0.396128
8, 0.0985787, 0.103552
9, 0.143361, 0.117534
10, 0.280391, 0.284527
11, 0.15386, 0.165846
12, 0.136744, 0.117517
13, 0.102767, 0.10893
14, 0.143619, 0.148727
15, 0.175688, 0.190725
16, 0.161631, 0.156162
17, 0.29998, 0.315225
18, 0.104415, 0.107607
19, 0.169329, 0.165381
20, 0.142954, 0.151046
21, 0.148512, 0.169073
22, 0.186313, 0.174649
23, 0.102287, 0.100213
24, 0.127845, 0.113417
25, 0.173786, 0.178732
26, 0.21149, 0.243333
27, 0.146914, 0.248116
28, 0.116739, 0.102742
29, 0.242213, 0.26141
30, 0.103642, 0.103601
31, 0.317819, 0.282664
32, 0.162299, 0.146468
33, 0.147471, 0.154803
34, 0.105823, 0.104096
35, 0.174773, 0.16288
36, 0.13328, 0.12775
37, 0.149894, 0.140325
38, 0.205665, 0.1811
39, 0.153957, 0.1432
40, 0.165664, 0.140705
41, 0.143538, 0.166745
42, 0.110089, 0.104014
43, 0.133769, 0.130827
44, 0.253474, 0.195511
45, 0.154788, 0.139162
46, 0.118555, 0.112157
47, 0.112951, 0.109393
48, 0.103477, 0.103075
49, 0.130214, 0.105927
50, 0.303201, 0.312054
51, 0.0924755, 0.100521
52, 0.124732, 0.115925
53, 0.179535, 0.164462
54, 0.142139, 0.115278
55, 0.106214, 0.105628
56, 0.123846, 0.120597
57, 0.107664, 0.102714
58, 0.0931727, 0.107022
59, 0.115654, 0.110987
60, 0.134362, 0.112199
61, 0.26487, 0.280686
62, 0.136044, 0.120077
63, 0.162588, 0.129652
64, 0.178935, 0.184395
65, 0.103166, 0.106032
66, 0.117013, 0.109808
67, 0.126915, 0.115289
68, 0.110423, 0.103673
69, 0.109872, 0.110822
70, 0.119553, 0.129059
71, 0.0966904, 0.10951
72, 0.105901, 0.108428
73, 0.184036, 0.186367
74, 0.160909, 0.192442
75, 0.460962, 0.351986
76, 0.133026, 0.131539
77, 0.230188, 0.158422
78, 0.136333, 0.113403
79, 0.108459, 0.108502
80, 0.0543907, 0.104839
81, 0.125963, 0.108569
82, 0.279517, 0.415752
83, 0.139319, 0.129587
84, 0.130875, 0.122448
85, 0.217759, 0.167797
86, 0.196152, 0.143503
87, 0.105921, 0.102503
88, 0.153032, 0.133812
89, 0.105906, 0.103627
90, 0.155042, 0.145047
91, 0.142155, 0.153149
92, 0.1896, 0.204047
93, 0.136364, 0.123922
94, 0.151874, 0.13032
95, 0.099157, 0.102544
96, 0.101491, 0.104899
97, 0.107879, 0.102795
98, 0.100042, 0.107558
99, 0.166604, 0.167755
100, 0.170016, 0.167282
101, 0.191914, 0.164687
102, 0.12772, 0.114916
103, 0.150374, 0.123998
104, 0.11812, 0.110298
105, 0.22071, 0.166689
106, 0.100026, 0.102491
107, 0.0943478, 0.106737
108, 0.128771, 0.126728
109, 0.346021, 0.402651
110, 0.13321, 0.144443
111, 0.268451, 0.18155
112, 0.461698, 0.405155
113, 0.0959055, 0.109071
114, 0.102454, 0.104163
115, 0.316385, 0.247382
116, 0.588939, 0.809529
117, 0.142591, 0.151442
118, 0.100213, 0.102188
