Row, Correct, Predicted
1, 0.166743, 0.156955
2, 0.286304, 0.231605
3, 0.478406, 0.325831
4, 0.131418, 0.16502
5, 0.109683, 0.0962664
6, 0.108502, 0.0887456
7, 0.105628, 0.112509
8, 0.132428, 0.150505
9, 0.210707, 0.169887
10, 0.120597, 0.105473
11, 0.291126, 0.21354
12, 0.10672, 0.100893
13, 0.206977, 0.1511
14, 0.118342, 0.120386
15, 0.133812, 0.140841
16, 0.137319, 0.143664
17, 0.194746, 0.156703
18, 0.102642, 0.0767891
19, 0.100255, 0.0751027
20, 0.115289, 0.112861
21, 0.116288, 0.145715
22, 0.154803, 0.126119
23, 0.110405, 0.0999105
24, 0.186367, 0.176896
25, 0.189598, 0.154126
26, 0.402651, 0.311024
27, 0.140902, 0.126364
28, 0.205717, 0.166381
29, 0.137429, 0.149457
30, 0.166745, 0.132855
31, 0.15934, 0.152611
32, 0.118592, 0.117584
33, 0.138898, 0.155965
34, 0.110357, 0.114226
35, 0.14821, 0.145783
36, 0.109878, 0.0978367
37, 0.111975, 0.09655
38, 0.186049, 0.164536
39, 0.112265, 0.124954
40, 0.385624, 0.255902
41, 0.101886, 0.0751507
42, 0.10951, 0.0978521
43, 0.32508, 0.220145
44, 0.415752, 0.262843
45, 0.321486, 0.249985
46, 0.382201, 0.318818
47, 0.143503, 0.155245
48, 0.129224, 0.112013
49, 0.149737, 0.139634
50, 0.130701, 0.149137
51, 0.15774, 0.137592
52, 0.110298, 0.0913423
53, 0.1041, 0.0828528
54, 0.102742, 0.0879167
55, 0.120945, 0.117704
56, 0.242922, 0.19971
57, 0.178732, 0.177971
58, 0.128303, 0.146348
59, 0.147185, 0.125779
60, 0.11103, 0.156908
61, 0.106319, 0.08579
62, 0.122534, 0.106275
63, 0.129706, 0.144332
64, 0.148135, 0.139519
65, 0.136937, 0.134272
66, 0.25709, 0.177986
67, 0.138783, 0.134543
68, 0.117534, 0.116327
69, 0.9, 0.789678
70, 0.143356, 0.133534
71, 0.188267, 0.186518
72, 0.282664, 0.243764
73, 0.10816, 0.0886026
74, 0.166813, 0.154644
75, 0.100795, 0.0652893
76, 0.167755, 0.156369
77, 0.167797, 0.177669
78, 0.136267, 0.156168
79, 0.153149, 0.129097
80, 0.199765, 0.36766
81, 0.156162, 0.141129
82, 0.370859, 0.269396
83, 0.112175, 0.146764
84, 0.128556, 0.124302
85, 0.164687, 0.195367
86, 0.262518, 0.233039
87, 0.105166, 0.0811349
88, 0.121509, 0.11044
89, 0.194951, 0.165146
90, 0.148727, 0.125114
91, 0.100703, 0.0814097
92, 0.114916, 0.10864
93, 0.101325, 0.122273
94, 0.170201, 0.144241
95, 0.342078, 0.284329
96, 0.108307, 0.100746
97, 0.102017, 0.0900829
98, 0.158264, 0.159219
99, 0.100753, 0.0709667
100, 0.168685, 0.151748
101, 0.215572, 0.214971
102, 0.108541, 0.122962
103, 0.106182, 0.0920037
104, 0.110297, 0.0989517
105, 0.110242, 0.101221
106, 0.105971, 0.0971648
107, 0.177498, 0.171799
108, 0.195511, 0.291246
109, 0.10756, 0.10199
110, 0.14182, 0.121201
111, 0.11604, 0.184064
112, 0.280686, 0.241866
113, 0.101496, 0.0782262
114, 0.1432, 0.135375
115, 0.129448, 0.12154
116, 0.253012, 0.178796
117, 0.273557, 0.270363
118, 0.133655, 0.124017
119, 0.40531, 0.252446
