Row, Correct, Predicted
1, 0.106939, 0.095694
2, 0.105166, 0.103255
3, 0.261458, 0.230928
4, 0.106399, 0.0993283
5, 0.264273, 0.290687
6, 0.100685, 0.105795
7, 0.107076, 0.110352
8, 0.117135, 0.124163
9, 0.300712, 0.231437
10, 0.104096, 0.108114
11, 0.132428, 0.129827
12, 0.232143, 0.207758
13, 0.35195, 0.314399
14, 0.25709, 0.196167
15, 0.107558, 0.0992671
16, 0.132361, 0.120589
17, 0.112726, 0.131529
18, 0.110144, 0.108696
19, 0.275744, 0.228326
20, 0.243333, 0.205986
21, 0.12775, 0.139787
22, 0.114844, 0.110618
23, 0.121994, 0.138276
24, 0.111744, 0.11658
25, 0.10798, 0.105887
26, 0.208316, 0.194681
27, 0.158419, 0.137621
28, 0.111036, 0.100669
29, 0.309347, 0.332787
30, 0.415752, 0.350161
31, 0.181266, 0.20551
32, 0.10088, 0.108528
33, 0.166743, 0.182443
34, 0.140505, 0.136178
35, 0.122349, 0.126994
36, 0.140119, 0.140544
37, 0.100872, 0.114595
38, 0.133635, 0.144784
39, 0.100847, 0.110032
40, 0.241157, 0.219681
41, 0.10228, 0.0917049
42, 0.375542, 0.249523
43, 0.249396, 0.283648
44, 0.109071, 0.10095
45, 0.186049, 0.168104
46, 0.10644, 0.103904
47, 0.236452, 0.235271
48, 0.439137, 0.480903
49, 0.111641, 0.107923
50, 0.130914, 0.178159
51, 0.143503, 0.187459
52, 0.107431, 0.11416
53, 0.133812, 0.161722
54, 0.204666, 0.368921
55, 0.139528, 0.149006
56, 0.102371, 0.106504
57, 0.194951, 0.158764
58, 0.115105, 0.111844
59, 0.129706, 0.173728
60, 0.355434, 0.321347
61, 0.194727, 0.179882
62, 0.185918, 0.172276
63, 0.102742, 0.114835
64, 0.113297, 0.118992
65, 0.112265, 0.10359
66, 0.19565, 0.201794
67, 0.129587, 0.134296
68, 0.342768, 0.238927
69, 0.244175, 0.285806
70, 0.157134, 0.134088
71, 0.209358, 0.241615
72, 0.166813, 0.176281
73, 0.106316, 0.110539
74, 0.156162, 0.162934
75, 0.32508, 0.242731
76, 0.108818, 0.104053
77, 0.115925, 0.123503
78, 0.104708, 0.0998324
79, 0.348933, 0.303422
80, 0.109821, 0.107973
81, 0.181858, 0.145633
82, 0.19893, 0.203935
83, 0.106437, 0.100516
84, 0.219167, 0.443709
85, 0.112157, 0.116821
86, 0.12537, 0.13449
87, 0.130042, 0.173857
88, 0.190445, 0.173431
89, 0.10893, 0.102083
90, 0.312054, 0.317065
91, 0.156657, 0.153782
92, 0.164687, 0.232808
93, 0.101487, 0.101435
94, 0.351986, 0.454079
95, 0.204047, 0.182615
96, 0.113424, 0.116402
97, 0.12437, 0.123366
98, 0.110405, 0.107499
99, 0.142718, 0.169299
100, 0.101886, 0.102014
101, 0.111975, 0.107718
102, 0.126728, 0.119634
103, 0.186367, 0.174768
104, 0.123852, 0.126173
105, 0.103871, 0.102708
106, 0.102368, 0.102139
107, 0.105927, 0.136513
108, 0.106337, 0.101615
109, 0.151993, 0.148331
110, 0.129674, 0.106931
111, 0.134751, 0.157691
112, 0.10816, 0.0974339
113, 0.109967, 0.116055
114, 0.279586, 0.39785
115, 0.117454, 0.145964
116, 0.382201, 0.317191
117, 0.184531, 0.184326
118, 0.140005, 0.148192
