Row, Predicted, Correct
1, 0.120395, 0.114916
2, 0.141274, 0.128676
3, 0.576552, 0.592693
4, 0.104994, 0.10798
5, 0.136258, 0.139623
6, 0.165175, 0.130701
7, 0.0894891, 0.100521
8, 0.0915894, 0.108747
9, 0.0799406, 0.101422
10, 0.120285, 0.118588
11, 0.114145, 0.123991
12, 0.220252, 0.301266
13, 0.156694, 0.165144
14, 0.131672, 0.126031
15, 0.194596, 0.219593
16, 0.317347, 0.29982
17, 0.129527, 0.112738
18, 0.196802, 0.192397
19, 0.158525, 0.163074
20, 0.160134, 0.186049
21, 0.0804865, 0.134683
22, 0.104068, 0.109967
23, 0.0987802, 0.102972
24, 0.240193, 0.415752
25, 0.0878754, 0.102879
26, 0.386075, 0.454988
27, 0.111216, 0.109808
28, 0.0942034, 0.100711
29, 0.166176, 0.206283
30, 0.330936, 0.291857
31, 0.175322, 0.164462
32, 0.148204, 0.165846
33, 0.159646, 0.140325
34, 0.095344, 0.10816
35, 0.113911, 0.120077
36, 0.25164, 0.288884
37, 0.165988, 0.190445
38, 0.128955, 0.248116
39, 0.0966039, 0.102788
40, 0.133358, 0.129587
41, 0.118081, 0.112157
42, 0.0960323, 0.102214
43, 0.104372, 0.103135
44, 0.359369, 0.422719
45, 0.165331, 0.150383
46, 0.121748, 0.131539
47, 0.180409, 0.208316
48, 0.177431, 0.158264
49, 0.145366, 0.192442
50, 0.215838, 0.241157
51, 0.149936, 0.139528
52, 0.318023, 0.355434
53, 0.132215, 0.181858
54, 0.157176, 0.134751
55, 0.091291, 0.100795
56, 0.306949, 0.213215
57, 0.0891342, 0.103352
58, 0.0961594, 0.101432
59, 0.285157, 0.258124
60, 0.0913792, 0.111186
61, 0.467513, 0.563139
62, 0.092918, 0.102017
63, 0.115956, 0.119726
64, 0.277222, 0.294163
65, 0.353951, 0.263561
66, 0.106862, 0.104818
67, 0.0924527, 0.100703
68, 0.152225, 0.162441
69, 0.096342, 0.101496
70, 0.114463, 0.110987
71, 0.155352, 0.156162
72, 0.119419, 0.130827
73, 0.104547, 0.112784
74, 0.0991446, 0.105628
75, 0.122005, 0.131306
76, 0.1747, 0.259875
77, 0.119959, 0.113297
78, 0.191808, 0.197017
79, 0.101483, 0.102371
80, 0.100133, 0.10756
81, 0.321784, 0.311163
82, 0.145272, 0.140902
83, 0.0988724, 0.10228
84, 0.110092, 0.112726
85, 0.131183, 0.115278
86, 0.101813, 0.110344
87, 0.307595, 0.370859
88, 0.155404, 0.138898
89, 0.262005, 0.291126
90, 0.123153, 0.153564
91, 0.239255, 0.166689
92, 0.112239, 0.126728
93, 0.323432, 0.217141
94, 0.11432, 0.113777
95, 0.117915, 0.106316
96, 0.075106, 0.104839
97, 0.177981, 0.211733
98, 0.132363, 0.12537
99, 0.0871455, 0.106032
100, 0.197466, 0.190725
101, 0.105106, 0.11604
102, 0.285551, 0.254207
103, 0.141102, 0.154803
104, 0.316358, 0.299533
105, 0.0914601, 0.100255
106, 0.140537, 0.136585
107, 0.184982, 0.23148
108, 0.201396, 0.168939
109, 0.144408, 0.162481
110, 0.144733, 0.141521
111, 0.120815, 0.127565
112, 0.116137, 0.129059
113, 0.139213, 0.162925
114, 0.129047, 0.121509
115, 0.233262, 0.342768
116, 0.241924, 0.256049
117, 0.13668, 0.132428
118, 0.13268, 0.143356
