Row, Predicted, Correct
1, 0.131572, 0.113205
2, 0.228084, 0.300712
3, 0.119819, 0.110357
4, 0.123295, 0.117517
5, 0.139752, 0.134974
6, 0.150137, 0.192442
7, 0.268692, 0.252585
8, 0.138053, 0.11604
9, 0.252696, 0.132854
10, 0.165558, 0.133812
11, 0.346373, 0.219167
12, 0.0831161, 0.103865
13, 0.0965539, 0.1028
14, 0.16185, 0.165381
15, 0.10837, 0.111223
16, 0.179616, 0.16507
17, 0.121272, 0.105082
18, 0.183359, 0.23223
19, 0.11258, 0.111744
20, 0.127946, 0.118592
21, 0.111743, 0.117986
22, 0.0803291, 0.102972
23, 0.100017, 0.110297
24, 0.11526, 0.110987
25, 0.244294, 0.178938
26, 0.229467, 0.234647
27, 0.223632, 0.245124
28, 0.219621, 0.209358
29, 0.155983, 0.129652
30, 0.153463, 0.145976
31, 0.467701, 0.480336
32, 0.202374, 0.219593
33, 0.0964157, 0.108818
34, 0.17804, 0.165144
35, 0.149203, 0.177113
36, 0.0871045, 0.103135
37, 0.193725, 0.208316
38, 0.130104, 0.113417
39, 0.201507, 0.19893
40, 0.158823, 0.149737
41, 0.202664, 0.150383
42, 0.141465, 0.123998
43, 0.136895, 0.117534
44, 0.115778, 0.112157
45, 0.102828, 0.111496
46, 0.132014, 0.129587
47, 0.0865498, 0.104625
48, 0.226237, 0.184193
49, 0.271769, 0.291126
50, 0.100936, 0.1073
51, 0.148736, 0.145047
52, 0.165013, 0.136267
53, 0.0933894, 0.104809
54, 0.311308, 0.422719
55, 0.0961426, 0.104899
56, 0.2319, 0.315018
57, 0.17852, 0.166743
58, 0.113745, 0.104922
59, 0.26675, 0.52702
60, 0.134984, 0.132457
61, 0.224174, 0.212445
62, 0.1111, 0.100928
63, 0.101138, 0.109569
64, 0.136438, 0.151232
65, 0.102157, 0.110344
66, 0.280329, 0.280686
67, 0.133571, 0.151972
68, 0.191221, 0.181165
69, 0.134306, 0.148532
70, 0.138182, 0.142323
71, 0.15237, 0.148817
72, 0.205105, 0.253012
73, 0.0996988, 0.110242
74, 0.09873, 0.10088
75, 0.137201, 0.125408
76, 0.245799, 0.158422
77, 0.318149, 0.35195
78, 0.135308, 0.157134
79, 0.0978026, 0.104394
80, 0.308597, 0.412547
81, 0.186598, 0.194558
82, 0.122842, 0.129224
83, 0.112905, 0.119817
84, 0.125478, 0.113029
85, 0.0899694, 0.107558
86, 0.240048, 0.275744
87, 0.136692, 0.148727
88, 0.0979223, 0.100753
89, 0.155197, 0.248116
90, 0.11092, 0.108279
91, 0.262027, 0.284527
92, 0.151146, 0.170473
93, 0.191361, 0.194747
94, 0.0982876, 0.102688
95, 0.254013, 0.285274
96, 0.27802, 0.385624
97, 0.2723, 0.348933
98, 0.393307, 0.280334
99, 0.174853, 0.211733
100, 0.0940796, 0.105235
101, 0.145915, 0.138783
102, 0.133518, 0.112175
103, 0.13733, 0.129356
104, 0.420962, 0.563139
105, 0.136312, 0.112199
106, 0.237932, 0.18155
107, 0.170642, 0.15934
108, 0.107666, 0.115105
109, 0.139872, 0.133655
110, 0.129924, 0.123922
111, 0.0729534, 0.104839
112, 0.224269, 0.263934
113, 0.137514, 0.151046
114, 0.130159, 0.150536
115, 0.108375, 0.114374
116, 0.130312, 0.11021
117, 0.103391, 0.100685
118, 0.288084, 0.311163
