NetworkId, hNodes, Total Passes, Effective Passes, Step Parameter, Validation Accuracy, Validation Accuracy (DN), Test Accuracy, Test Accuracy DN
0, 2, 48, 1700, 0.1, 0.0356445, 44.2312, 0.0542648, 67.3372
1, 2, 48, 3500, 0.1, 0.0390071, 48.4039, 0.0400262, 49.6685
2, 2, 48, 1000, 0.1, 0.0305966, 37.9674, 0.0488414, 60.6073
3, 2, 48, 1000, 0.1, 0.0399977, 49.6331, 0.0552963, 68.6171
4, 2, 48, 700, 0.1, 0.0380456, 47.2108, 0.0463537, 57.5203
5, 2, 48, 1500, 0.1, 0.0414069, 51.3819, 0.0401117, 49.7747
6, 2, 48, 200, 0.1, 0.0573614, 71.1798, 0.0686237, 85.1552
7, 2, 48, 400, 0.1, 0.0438752, 54.4447, 0.0387128, 48.0387
8, 2, 48, 13700, 0.1, 0.0363793, 45.1431, 0.0505073, 62.6745
9, 2, 48, 200, 0.1, 0.068518, 85.0239, 0.0824854, 102.356
