NetworkId, hNodes, Total Passes, Effective Passes, Step Parameter, Validation Accuracy, Validation Accuracy (DN), Test Accuracy, Test Accuracy DN, R^2, MRSE
0,2,48,1500,0.1,0.0442483,54.9077,0.0554003,68.7462,0.650977,0.0462781
1,2,48,400,0.1,0.0544902,67.6169,0.0583793,72.4429,0.662165,0.0576563
2,2,48,300,0.1,0.0553836,68.7256,0.0501431,62.2225,0.727926,0.0407346
3,2,48,400,0.1,0.0462867,57.4371,0.0570217,70.7582,0.604076,0.0629047
4,2,48,400,0.1,0.0638456,79.226,0.052233,64.8159,0.705771,0.0421839
5,2,48,300,0.1,0.0477285,59.2263,0.0581328,72.137,0.621299,0.047472
6,2,48,1400,0.1,0.0511783,63.5072,0.0512744,63.6264,0.596741,0.0389645
7,2,48,300,0.1,0.057877,71.8196,0.0560551,69.5587,0.602086,0.0631713
8,2,48,300,0.1,0.0419327,52.0343,0.0560087,69.5012,0.636507,0.0713544
9,2,48,700,0.1,0.0701108,87.0004,0.0449132,55.7328,0.639529,0.0491901
,,,600,0.1,0.05330817,66.15011,0.05395616,66.95418,0.6447077,0.05199099
