NetworkId, hNodes, Passes, Validation Accuracy, Test Accuracy
0, 2, 300, 0.00292373, 0.00434721
1, 2, 400, 0.00489806, 0.00312892
2, 2, 10000, 0.00256462, 0.00124651
3, 2, 9900, 0.00209835, 0.0022653
4, 2, 400, 0.00184972, 0.00361376
5, 2, 400, 0.00364466, 0.0037593
6, 2, 400, 0.00270788, 0.00371914
7, 2, 400, 0.0051137, 0.00340357
8, 2, 400, 0.00473434, 0.00187129
9, 2, 3000, 0.00336886, 0.00613871
10, 2, 10000, 0.00149142, 0.00155985
11, 2, 400, 0.00395534, 0.00214436
12, 2, 10000, 0.0031858, 0.00320369
13, 2, 2500, 0.00180395, 0.000955332
14, 2, 400, 0.00203815, 0.00330922
15, 2, 700, 0.00527808, 0.0045799
16, 2, 600, 0.00395593, 0.00363391
17, 2, 10000, 0.0036524, 0.00200653
18, 2, 400, 0.00439936, 0.00239073
19, 2, 300, 0.0037096, 0.00292783
20, 3, 400, 0.00177203, 0.00400311
21, 3, 500, 0.00267967, 0.00347755
22, 3, 10000, 0.000952363, 0.00222878
23, 3, 400, 0.00429372, 0.00308933
24, 3, 300, 0.00342674, 0.00378995
25, 3, 10000, 0.00190849, 0.00241771
26, 3, 400, 0.00276723, 0.00414723
27, 3, 400, 0.00390552, 0.00450572
28, 3, 400, 0.00323296, 0.00376558
29, 3, 300, 0.00305611, 0.00278615
30, 3, 10000, 0.00126379, 0.00215009
31, 3, 10000, 0.00152347, 0.00254136
32, 3, 400, 0.00153519, 0.00411558
33, 3, 10000, 0.0019548, 0.00185404
34, 3, 500, 0.00397013, 0.00267626
35, 3, 400, 0.00354623, 0.00259437
36, 3, 600, 0.0023109, 0.00367705
37, 3, 3500, 0.0011591, 0.00207787
38, 3, 10000, 0.00183402, 0.00217355
39, 3, 300, 0.00433836, 0.00448107
40, 4, 10000, 0.00147343, 0.00348981
41, 4, 700, 0.00283453, 0.00506847
42, 4, 600, 0.00243619, 0.00389721
43, 4, 7200, 0.00127446, 0.00199662
44, 4, 400, 0.00415192, 0.0031619
45, 4, 400, 0.00163058, 0.00459429
46, 4, 6300, 0.00195317, 0.001114
47, 4, 300, 0.00228855, 0.00274592
48, 4, 3900, 0.000891798, 0.0010329
49, 4, 300, 0.00439108, 0.00241935
50, 4, 5400, 0.00174511, 0.00100804
51, 4, 10000, 0.00206558, 0.00283222
52, 4, 600, 0.00370744, 0.00394991
53, 4, 400, 0.00361427, 0.00308972
54, 4, 400, 0.003894, 0.00367044
55, 4, 10000, 0.00143846, 0.00138687
56, 4, 3300, 0.00146551, 0.00191313
57, 4, 10000, 0.001911, 0.00216478
58, 4, 2700, 0.00158112, 0.00263322
59, 4, 300, 0.00457021, 0.00403756
60, 5, 300, 0.00294393, 0.00181725
61, 5, 300, 0.00290826, 0.00464028
62, 5, 10000, 0.000817541, 0.00243889
63, 5, 300, 0.00535569, 0.00292917
64, 5, 300, 0.00331172, 0.00206613
65, 5, 300, 0.00295875, 0.0053468
66, 5, 400, 0.00311476, 0.00444965
67, 5, 500, 0.006393, 0.00249481
68, 5, 500, 0.00584591, 0.00291362
69, 5, 400, 0.00200097, 0.00290779
70, 5, 2900, 0.00293119, 0.00189564
71, 5, 500, 0.00469356, 0.0019186
72, 5, 400, 0.00358651, 0.00325874
73, 5, 10000, 0.00118045, 0.00127563
74, 5, 600, 0.00389283, 0.00216914
75, 5, 10000, 0.0013077, 0.0021241
76, 5, 10000, 0.00187711, 0.00199523
77, 5, 300, 0.00430281, 0.00286017
78, 5, 1900, 0.0018949, 0.00204426
79, 5, 300, 0.00430235, 0.00321925
80, 6, 400, 0.00406238, 0.00215303
81, 6, 500, 0.00409583, 0.00211544
82, 6, 5300, 0.00219752, 0.00234547
83, 6, 400, 0.0041708, 0.00281298
84, 6, 400, 0.00402349, 0.00323225
85, 6, 10000, 0.00216938, 0.00206784
86, 6, 7700, 0.0013593, 0.00158405
87, 6, 300, 0.0028227, 0.00366461
88, 6, 300, 0.00298357, 0.0028913
89, 6, 4900, 0.00189062, 0.00188382
90, 6, 300, 0.00201178, 0.00421251
91, 6, 300, 0.00284322, 0.00326669
92, 6, 300, 0.00340187, 0.00408804
93, 6, 2200, 0.00173013, 0.00108463
94, 6, 300, 0.00369396, 0.00140664
95, 6, 300, 0.00395666, 0.00152125
96, 6, 300, 0.00232743, 0.00256317
97, 6, 300, 0.00327409, 0.00486913
98, 6, 2400, 0.00247351, 0.00165206
99, 6, 300, 0.00318169, 0.00336354
100, 7, 500, 0.0053916, 0.0019257
101, 7, 400, 0.00491521, 0.0024063
102, 7, 300, 0.00190017, 0.00307725
103, 7, 500, 0.0051183, 0.00222438
104, 7, 300, 0.00407734, 0.00528957
105, 7, 1900, 0.0015914, 0.00154659
106, 7, 10000, 0.00275106, 0.0021561
107, 7, 10000, 0.00155898, 0.0016142
108, 7, 300, 0.00264344, 0.00224412
109, 7, 600, 0.00437175, 0.00272078
110, 7, 300, 0.00185919, 0.00452402
111, 7, 10000, 0.00168704, 0.00268089
112, 7, 4200, 0.00181525, 0.0017915
113, 7, 10000, 0.00154915, 0.00250016
114, 7, 10000, 0.00181447, 0.00163047
115, 7, 2100, 0.0013334, 0.00146219
116, 7, 2600, 0.00135689, 0.00236068
117, 7, 500, 0.00559761, 0.00324363
118, 7, 2700, 0.00236339, 0.0016603
119, 7, 2600, 0.00131122, 0.00215991
120, 8, 300, 0.00326961, 0.00232221
121, 8, 600, 0.00382819, 0.00187995
122, 8, 5300, 0.00147149, 0.00224971
123, 8, 300, 0.00209855, 0.00263943
124, 8, 10000, 0.00150464, 0.00219062
125, 8, 300, 0.00285129, 0.00334098
126, 8, 8800, 0.00209408, 0.00143516
127, 8, 300, 0.00431972, 0.00288653
128, 8, 10000, 0.00264363, 0.00153641
129, 8, 200, 0.0039438, 0.00340265
130, 8, 5900, 0.00205455, 0.00258497
131, 8, 2700, 0.00137622, 0.00310678
132, 8, 10000, 0.00190806, 0.00204268
133, 8, 4300, 0.00140515, 0.00227675
134, 8, 300, 0.00445316, 0.00395196
135, 8, 3500, 0.00270918, 0.00142474
136, 8, 400, 0.00348474, 0.0039577
137, 8, 300, 0.00209128, 0.00253829
138, 8, 3800, 0.000970852, 0.00138834
139, 8, 500, 0.00685479, 0.00330535
140, 9, 500, 0.00313795, 0.00334096
141, 9, 10000, 0.00189507, 0.00191052
142, 9, 400, 0.00341942, 0.00340699
143, 9, 300, 0.00228989, 0.00596993
144, 9, 300, 0.00228178, 0.00228263
145, 9, 10000, 0.00158468, 0.00163805
146, 9, 2600, 0.00202329, 0.00210509
147, 9, 3100, 0.00131081, 0.00179469
148, 9, 300, 0.00333225, 0.00359655
149, 9, 300, 0.0014916, 0.00403487
150, 9, 500, 0.00266693, 0.00317345
151, 9, 300, 0.00313472, 0.00356269
152, 9, 400, 0.00249791, 0.00262946
153, 9, 10000, 0.00173946, 0.00165349
154, 9, 3600, 0.00176083, 0.00205491
155, 9, 500, 0.00475143, 0.00408795
156, 9, 300, 0.00367139, 0.00276457
157, 9, 3200, 0.00152313, 0.00140126
158, 9, 300, 0.00202873, 0.00567934
159, 9, 10000, 0.00230393, 0.001763
160, 10, 300, 0.0025697, 0.00483613
161, 10, 2500, 0.00239864, 0.00153725
162, 10, 10000, 0.00149701, 0.00196181
163, 10, 300, 0.00260137, 0.00379992
164, 10, 4100, 0.00162554, 0.00158266
165, 10, 400, 0.00308964, 0.00286746
166, 10, 300, 0.00264064, 0.00356654
167, 10, 10000, 0.00127528, 0.002445
168, 10, 10000, 0.00223228, 0.00162508
169, 10, 300, 0.00467689, 0.0028859
170, 10, 10000, 0.000904036, 0.00266731
171, 10, 10000, 0.0013048, 0.00205191
172, 10, 300, 0.00222509, 0.00253769
173, 10, 10000, 0.00222967, 0.00141799
174, 10, 4300, 0.00138522, 0.0013413
175, 10, 10000, 0.00145684, 0.00195883
176, 10, 300, 0.00295786, 0.00413539
177, 10, 2400, 0.00113416, 0.00133417
178, 10, 3300, 0.0015356, 0.00196392
179, 10, 300, 0.00541757, 0.00348646
180, 11, 3500, 0.00243008, 0.000516474
181, 11, 300, 0.00488728, 0.00363017
182, 11, 10000, 0.00225688, 0.00147397
183, 11, 5300, 0.000785975, 0.00171977
184, 11, 10000, 0.00116011, 0.00122728
185, 11, 2600, 0.00172903, 0.0019932
186, 11, 300, 0.00258377, 0.00324525
187, 11, 300, 0.00386998, 0.00244234
188, 11, 600, 0.00465724, 0.00591173
189, 11, 10000, 0.00153502, 0.00222958
190, 11, 300, 0.00309154, 0.00281243
191, 11, 400, 0.003594, 0.00440113
192, 11, 10000, 0.00160376, 0.00202705
193, 11, 300, 0.00392806, 0.0032996
194, 11, 3300, 0.00217001, 0.00207054
195, 11, 300, 0.00466977, 0.00272328
196, 11, 300, 0.00522199, 0.00269791
197, 11, 400, 0.00251772, 0.00425569
198, 11, 10000, 0.00199313, 0.00211886
199, 11, 300, 0.00297597, 0.0034104
200, 12, 10000, 0.00086861, 0.00261045
201, 12, 300, 0.00421456, 0.00328175
202, 12, 6400, 0.00241048, 0.00216538
203, 12, 400, 0.00227299, 0.00410838
204, 12, 300, 0.00319247, 0.0022087
205, 12, 2900, 0.00206171, 0.00272991
206, 12, 400, 0.00418329, 0.00243781
207, 12, 300, 0.00134165, 0.00282697
208, 12, 2000, 0.0021072, 0.00211718
209, 12, 300, 0.00301725, 0.00359181
210, 12, 7100, 0.00277531, 0.00185459
211, 12, 2400, 0.00115056, 0.00333208
212, 12, 400, 0.00468932, 0.00240231
213, 12, 500, 0.0036157, 0.00571417
214, 12, 3900, 0.00183027, 0.00201022
215, 12, 300, 0.00298183, 0.003781
216, 12, 300, 0.00269222, 0.00441386
217, 12, 300, 0.00319333, 0.00236513
218, 12, 9500, 0.00258833, 0.00128608
219, 12, 300, 0.00342548, 0.00526474
220, 13, 300, 0.00285791, 0.00375079
221, 13, 300, 0.00455929, 0.0029769
222, 13, 400, 0.00400226, 0.00235798
223, 13, 600, 0.00212743, 0.00424783
224, 13, 4200, 0.00163152, 0.0016113
225, 13, 10000, 0.00185197, 0.00218676
226, 13, 300, 0.00262282, 0.00364774
227, 13, 300, 0.00437485, 0.00267751
228, 13, 300, 0.00355173, 0.00355136
229, 13, 10000, 0.000860081, 0.00238228
230, 13, 300, 0.00344752, 0.00353594
231, 13, 3600, 0.00259302, 0.00239159
232, 13, 300, 0.0057812, 0.00261546
233, 13, 10000, 0.000872832, 0.00184108
234, 13, 300, 0.00385603, 0.00167131
235, 13, 400, 0.00447844, 0.00330841
236, 13, 400, 0.00288923, 0.0025436
237, 13, 400, 0.00366808, 0.00375901
238, 13, 200, 0.00304675, 0.0044881
239, 13, 4900, 0.00202844, 0.00225152
240, 14, 10000, 0.00242378, 0.0020999
241, 14, 10000, 0.000839991, 0.00205341
242, 14, 3400, 0.00196386, 0.00182827
243, 14, 10000, 0.00158558, 0.00154574
244, 14, 300, 0.00296602, 0.00313079
245, 14, 300, 0.00515229, 0.00308328
246, 14, 3600, 0.00169773, 0.00162985
247, 14, 500, 0.00462912, 0.00364159
248, 14, 400, 0.00299977, 0.00284389
249, 14, 300, 0.00369912, 0.00499349
