Row, Predicted, Correct
1, 0.119071, 0.109967
2, 0.181809, 0.176001
3, 0.115191, 0.108307
4, 0.0943218, 0.100685
5, 0.107982, 0.110344
6, 0.0950879, 0.100255
7, 0.110576, 0.110405
8, 0.131752, 0.125869
9, 0.165603, 0.128303
10, 0.294233, 0.385624
11, 0.203428, 0.167797
12, 0.120301, 0.10756
13, 0.267335, 0.40531
14, 0.15555, 0.140325
15, 0.292837, 0.249396
16, 0.199918, 0.200233
17, 0.379353, 0.321445
18, 0.104528, 0.11065
19, 0.17045, 0.137319
20, 0.126121, 0.132361
21, 0.439911, 0.233544
22, 0.147963, 0.120945
23, 0.231176, 0.164687
24, 0.194854, 0.208598
25, 0.142687, 0.118342
26, 0.128732, 0.115289
27, 0.564239, 0.439137
28, 0.209252, 0.210592
29, 0.192775, 0.210707
30, 0.132358, 0.113029
31, 0.324387, 0.321486
32, 0.143248, 0.141417
33, 0.149566, 0.129347
34, 0.238512, 0.342768
35, 0.201564, 0.208316
36, 0.116295, 0.105628
37, 0.133175, 0.151188
38, 0.103032, 0.105639
39, 0.116243, 0.112157
40, 0.133428, 0.108569
41, 0.14308, 0.123708
42, 0.117416, 0.115105
43, 0.192242, 0.16507
44, 0.116531, 0.103075
45, 0.151904, 0.181997
46, 0.107338, 0.107607
47, 0.135914, 0.115306
48, 0.334486, 0.311163
49, 0.211041, 0.150383
50, 0.144099, 0.135639
51, 0.150828, 0.11021
52, 0.489868, 0.329614
53, 0.0997344, 0.106939
54, 0.113025, 0.1073
55, 0.107737, 0.10798
56, 0.193321, 0.168939
57, 0.15415, 0.218798
58, 0.134068, 0.112726
59, 0.119553, 0.103673
60, 0.108379, 0.10088
61, 0.117255, 0.108747
62, 0.325277, 0.312054
63, 0.0891589, 0.100703
64, 0.0970706, 0.107558
65, 0.182986, 0.161236
66, 0.161554, 0.1432
67, 0.173195, 0.177498
68, 0.18976, 0.186049
69, 0.163523, 0.142718
70, 0.268355, 0.242264
71, 0.204719, 0.19893
72, 0.12252, 0.121157
73, 0.257709, 0.209358
74, 0.100379, 0.106737
75, 0.200723, 0.186072
76, 0.110522, 0.108471
77, 0.579036, 0.356558
78, 0.286843, 0.263934
79, 0.115323, 0.10672
80, 0.183513, 0.14751
81, 0.107117, 0.111186
82, 0.101458, 0.108836
83, 0.39736, 0.460326
84, 0.11455, 0.109821
85, 0.142242, 0.12537
86, 0.190291, 0.205717
87, 0.0932627, 0.102368
88, 0.167627, 0.156162
89, 0.10011, 0.102795
90, 0.147597, 0.105927
91, 0.408733, 0.217141
92, 0.109949, 0.110298
93, 0.142418, 0.132348
94, 0.228623, 0.216679
95, 0.115282, 0.113107
96, 0.143108, 0.11103
97, 0.109487, 0.1091
98, 0.360331, 0.299533
99, 0.155068, 0.128676
100, 0.144697, 0.120077
101, 0.125349, 0.129015
102, 0.0995707, 0.10816
103, 0.104942, 0.100579
104, 0.140775, 0.118588
105, 0.135142, 0.121994
106, 0.126365, 0.122349
107, 0.134623, 0.117316
108, 0.141412, 0.112265
109, 0.106886, 0.106337
110, 0.114987, 0.108279
111, 0.143137, 0.12775
112, 0.366549, 0.355434
113, 0.169152, 0.170473
114, 0.123235, 0.119817
115, 0.317937, 0.309347
116, 0.145082, 0.123991
117, 0.150934, 0.139162
118, 0.192497, 0.184531
