AREA,BFIHOST,LDP,PROPWET,RMED-1D,SAAR,Index flood,predicted,,m1,m2,m3,m4,m5,m6,b,,RMSE1,RMSE2,,pred avg,ssres,sstot1,R^2,,MSRE1,MSRE2
0.112462326,0.311825193,0.16922314,0.646031746,0.575766017,0.549606987,0.145451615,0.172458888,,-0.050176778,0.089500074,0.147749324,0.029928123,-0.070860937,0.826414372,-0.022854246,,0.000729393,0.058764855,,0.175991673,0.410943681,1.24806E-05,0.447380739,,0.024523944,0.064265654
0.147968526,0.426992288,0.221983471,0.633333333,0.336211699,0.304716157,0.170472568,0.184191414,,,,,,,,,,0.000188207,,,,,6.72357E-05,,,0.005547488,
0.116270985,0.869151671,0.160363636,0.265079365,0.37632312,0.209694323,0.10264248,0.078768706,,,,,,,,,,0.000569957,,,,,0.009452305,,,0.091861749,
0.117581248,0.400257069,0.195438017,0.607936508,0.432033426,0.291441048,0.128676423,0.165668748,,,,,,,,,,0.001368432,,,,,0.000106563,,,0.049858828,
0.197369443,0.606940874,0.354446281,0.201587302,0.319498607,0.139825328,0.114843498,0.159217762,,,,,,,,,,0.001969075,,,,,0.000281364,,,0.077674649,
0.113742929,0.631619537,0.151471074,0.176190476,0.375208914,0.146812227,0.102503062,0.083167322,,,,,,,,,,0.000373871,,,,,0.00861636,,,0.054052551,
0.165518369,0.419794344,0.233619835,0.658730159,0.432033426,0.34349345,0.199400026,0.20993586,,,,,,,,,,0.000111004,,,,,0.001152208,,,0.002518631,
0.271632202,0.313881748,0.340561983,0.633333333,0.550139276,0.436419214,0.602204887,0.310490903,,,,,,,,,,0.085097048,,,,,0.018090043,,,0.882707336,
0.147492225,0.276863753,0.218016529,0.531746032,0.449860724,0.34209607,0.210591677,0.187603855,,,,,,,,,,0.00052844,,,,,0.000134843,,,0.015014543,
0.159942338,0.229562982,0.254082645,0.417460317,0.351810585,0.233799127,0.208316276,0.182096835,,,,,,,,,,0.000687459,,,,,3.7273E-05,,,0.02073204,
0.103642914,0.340616967,0.129652893,0.480952381,0.377437326,0.269432314,0.108747018,0.13386339,,,,,,,,,,0.000630832,,,,,0.001774792,,,0.03520385,
0.109480649,0.302570694,0.13738843,0.734920635,0.528969359,0.488471616,0.162480659,0.181710362,,,,,,,,,,0.000369781,,,,,3.27034E-05,,,0.011199169,
